ActionAffinity/&DHFeeblemindSpellDescription	Impossible de lancer des sorts.
AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	CA est réglé sur 16.
AttributeModifier/&AncientForestAttributeModifierBarkskinTitle	Écorce
AttributeModifier/&DHFeeblemindChaSpellDescription	Le score de Charisme est fixé à 1.
AttributeModifier/&DHFeeblemindChaSpellTitle	Charisme faible
AttributeModifier/&DHFeeblemindIntSpellDescription	Le score de Charisme est fixé à 1.
AttributeModifier/&DHFeeblemindIntSpellTitle	Intelligence faible
BlueprintCategory/&FlatRoomsTitle	Chambres à plat
Caption/&GadgetParametersCustomRemoveDescription	Retirer:\n{0}.
Class/&ClassMonkDescription	Les moines sont unis dans leur capacité à exploiter comme par magie l'énergie qui circule dans leur corps. Qu'elle soit canalisée sous la forme d'une démonstration saisissante de prouesses au combat ou d'un objectif plus subtil de capacité défensive et de vitesse, cette énergie imprègne tout ce qu'un Moine fait.
Class/&ClassMonkTitle	Moine
Class/&ClassWarlockDescription	Les sorciers sont des chercheurs de la connaissance cachée dans le tissu du multivers. Grâce à des pactes conclus avec des êtres mystérieux au pouvoir surnaturel, les sorciers débloquent des effets magiques à la fois subtils et spectaculaires.
Class/&ClassWarlockTitle	démoniste
Class/&TinkererDescription	Les bricoleurs sont des inventeurs, des alchimistes, etc. Ils comblent l'espace entre la magie et la technologie.
Class/&TinkererTitle	En pensant
Class/&WitchArmorProficiencyDescription	Armure légère.
Class/&WitchArmorProficiencyTitle	Compétences en armure de sorcière
Class/&WitchBurnedFireResistanceDescription	Vous avez la résistance aux dégâts de feu.
Class/&WitchBurnedFireResistanceTitle	Brûlé : Résistance au feu
Class/&WitchBurnedProduceFlameDescription	Vous connaissez le sort mineur Produce Flame, qui ne compte pas dans votre nombre total de sorts mineurs connus.
Class/&WitchBurnedProduceFlameTitle	Brûlé : produit une flamme
Class/&WitchCacklePowerDescription	Vous pouvez utiliser votre action bonus pour caqueter. La durée de votre Malédiction est prolongée de 1 round pour chaque créature affectée dans un rayon de 18 mètres autour de vous.\nToutes les sorcières ne rient pas de manière maniaque lorsqu'elles ricanent, mais tous les ricanements nécessitent une composante verbale, comme un sort. Celles-ci vont des malédictions et des insultes banales au murmure de langues mortes et au parler à l'envers.
Class/&WitchCacklePowerTitle	Caqueter
Class/&WitchDescription	Affligées par une sinistre malédiction, les sorcières peuvent transformer la magie noire en malédictions, qu'elles utilisent pour affaiblir leurs ennemis. Ils sont également accompagnés de leurs familiers, fidèles compagnons magiques qu'ils utilisent pour porter le coup fatal.
Class/&WitchFamiliarPowerDescription	Vous apprenez le sort Witch Familiar, c'est-à-dire un sort Find Familiar amélioré, et pouvez le lancer comme un rituel sans composants matériels. Le sort ne compte pas dans votre nombre de sorts connus. Le sort améliore Find Familiar des manières suivantes :\n• Votre familier joue son tour immédiatement avant ou après votre tour à chaque tour (au choix).\n• Une fois par tour, en tant qu'action ou action bonus, vous pouvez ordonner mentalement à votre familier d'utiliser sa réaction pour effectuer une attaque.\n• Lorsque vous lancez un sort, vous pouvez le délivrer à travers votre familier comme s'il avait lancé le sort, même si le sort n'a pas de portée de contact.\n• Votre familier peut utiliser votre bonus d'attaque des sorts pour ses jets d'attaque.\n• Votre familier ajoute votre bonus de compétence à sa classe d'armure, ses jets de sauvegarde et ses jets de dégâts.\n• Vous ajoutez deux fois votre niveau de Sorcière aux points de vie maximum de votre familier.
Class/&WitchFamiliarPowerTitle	Familier
Class/&WitchFeatureSetBurnedCurseDescription	La quasi-totalité de votre corps a été brûlée par des flammes arcaniques, vous laissant avec des cicatrices noires saisissantes et des braises de magie qui brûlent sous la peau. En conséquence, vous avez une résistance aux dégâts de feu et vous connaissez le sort mineur Produce Flame, qui ne compte pas dans votre nombre total de sorts mineurs connus.
Class/&WitchFeatureSetBurnedCurseTitle	Brûlé
Class/&WitchFeatureSetLovelessCurseDescription	Tu es maudit de ne jamais trouver le véritable amour. Blasé et désaffecté, même la magie ne peut transformer votre cœur ; par conséquent, vous êtes immunisé contre le charme.
Class/&WitchFeatureSetLovelessCurseTitle	sans amour
Class/&WitchFeatureSetRitualCastingDescription	Vous pouvez lancer n'importe quel sort de sorcière que vous connaissez en tant que rituel si ce sort a l'étiquette de rituel.
Class/&WitchFeatureSetRitualCastingTitle	Sorcière : Casting Rituel
Class/&WitchFeatureSetVisionsCurseDescription	Vous êtes maudit d'avoir de terribles visions de l'avenir, présageant la mort de vos amis, de votre famille et de vous-même. Cependant, bon nombre de ces visions sont de cruelles tromperies, elles sont parfois d'une précision sinistre. Vous pouvez ajouter votre modificateur de Charisme, en plus de votre modificateur de Dextérité, à vos jets d'initiative.
Class/&WitchFeatureSetVisionsCurseTitle	Visions
Class/&WitchLovelessCharmImmunityDescription	Vous êtes immunisé contre le charme.
Class/&WitchLovelessCharmImmunityTitle	Sans amour : immunité aux charmes
Class/&WitchMaledictionAbateDescription	Par une action, choisissez une créature que vous pouvez voir dans un rayon de 18 mètres autour de vous pour effectuer un jet de sauvegarde de Charisme. En cas d'échec, la créature ne peut pas réagir avant la fin de votre prochain tour.
Class/&WitchMaledictionAbateTitle	Attrapez la malédiction
