Race/&DarkelfSurName1Title	Za'Moryra
Race/&DarkelfSurName2Title	DhalNeridthas
Race/&DarkelfSurName3Title	DhalNerwenys
Race/&DarkelfSurName4Title	Zo'Sonta
Race/&DarkelfSurName5Title	Zo'Remon
ModUi/&AddAllToStore	Add all to store
ModUi/&AddBleedingToLesserRestoration	Add the <color=orange>Bleeding</color> condition to the conditions removed by <color=orange>Greater and Lesser Restoration</color>
ModUi/&AddHelpActionToAllRaces	Add the <color=orange>Help</color> action to all races
ModUi/&AddNewWeaponsAndRecipesToShops	Add new weapons and recipes to shops <i><color=yellow>[hand wraps, halberds, pikes, long maces, hand crossbows]</color></i> <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&AddPickpocketableLoot	Add pickpocketable loot <i><color=yellow>[suggested if <color=orange>Pickpocket</color> feat is enabled]</color></i>
ModUi/&AddToStore	Add to store
ModUi/&Advanced	<color=yellow>Advanced:</color>
ModUi/&AdvancedHelp	. <b><color=#C04040E0>ATTENTION:</color></b> This setting will require the player to have this mod installed
ModUi/&Adventure	<color=yellow>Adventure:</color>
ModUi/&AllItemInDm	All items in DM
ModUi/&AllowAnyClassToWearSylvanArmor	Allow any class to wear sylvan armor or lightbringer clothes
ModUi/&AllowDruidToWearMetalArmor	Allow <color=orange>Druid</color> to wear metal armor
ModUi/&AllowDungeonsMaxLevel20	Allow dungeons with max level 20 <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&AllowGadgetsAndPropsToBePlacedAnywhere	Allow gadgets and props to be placed anywhere on the map <i><color=yellow>[press <color=cyan>CTRL</color> during placement to bypass any check]</color></i>
ModUi/&AllowStackedMaterialComponent	Allow stacked material component <i><color=yellow>[e.g. 2x500gp diamond is equivalent to 1000gp diamond]</color></i>
ModUi/&AllowTargetingSelectionWhenCastingChainLightningSpell	Allow target selection when casting the <color=orange>Chain Lightning</color> spell
ModUi/&AllowUnmarkedSorcerers	Allow unmarked <color=orange>Sorcerers</color>
ModUi/&AllRecipesInDm	All recipes in DM
ModUi/&AltOnlyHighlightItemsInPartyFieldOfView	<color=cyan>ALT</color> key only highlight gadgets in party field of view [only in custom dungeons]
ModUi/&AutoPauseOnVictory	Pause the UI when victorious in battle
ModUi/&Basic	<color=yellow>Basic:</color>
ModUi/&Battle	<color=yellow>Battle:</color>
ModUi/&Bestiary	Bestiary
ModUi/&BestowCurseNoConcentrationRequiredForSlotLevel5OrAbove	<color=orange>Bestow Curse</color> does not require concentration when cast with L5+ spell slot
ModUi/&BlindedConditionDontAllowAttackOfOpportunity	<color=orange>Blinded</color> condition doesn't allow attack of opportunity
ModUi/&Blueprints	Blueprints
ModUi/&Campaigns	<color=yellow>Campaigns:</color>
ModUi/&CampaignsAndLocations	<color=yellow>Campaigns and locations:</color>
ModUi/&Character	Character
ModUi/&CharactersPool	Characters Pool
ModUi/&Classes	<color=yellow>Classes</color>
ModUi/&Crafting	<color=yellow>Crafting:</color>
ModUi/&CraftingHelp	. Press the button to learn recipes instantly on the active party\n. Items added to stores might need the party to travel away from the location and come back
ModUi/&Credits	Credits
ModUi/&CreditsAndDiagnostics	Credits & Diagnostics
ModUi/&DisableAutoEquip	Disable auto-equip of items in inventory
ModUi/&DisableSenseDarkVisionFromAllRaces	Disable <color=orange>Sense Dark Vision</color> from all races <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&DisableSenseSuperiorDarkVisionFromAllRaces	Disable <color=orange>Superior Sense Dark Vision</color> from all races <b><i><color=#C04040E0>[Requires Restart]</color></i></b>
ModUi/&DisplayAllKnownSpellsDuringLevelUp	Display all known spells from other classes during level up
ModUi/&DontFollowCharacterInBattle	Battle camera doesn't follow when character is already on screen
ModUi/&DontFollowMargin	<i><color=white>+ Unless hero is off or within % of screen edge</color></i>
ModUi/&DungeonMaker	<color=yellow>Dungeon Maker:</color>
ModUi/&DungeonMakerBasicHelp	. These settings won't require the player to have this mod installed\n. You can embed any campaign variable in your dialogs, descriptions, etc.\n. CE will replace them with their value during gameplay <i><color=yellow>[i.e: Hello {Salute} Hero!]</color></i>
ModUi/&DungeonMakerMenu	Dungeon Maker
ModUi/&EmpressGarbAppearance	<color=orange>Empress Garb</color> appearance
