Name	Type	DatabaseType	GUID
KSRogueSubclassThugBrutalMethodsAction	ActionDefinition	ActionDefinition	4887ed85-b6fb-5542-9f1b-79a279736a86
TelemaDemoUnleashed	CampaignDefinition	CampaignDefinition	397df3dcfcd444f09df11d05034ec52e
ClassTinkerer	CharacterClassDefinition	CharacterClassDefinition	0bd993c5-be32-535c-96b5-70db46ed2ca8
ClassWitch	CharacterClassDefinition	CharacterClassDefinition	dedb5cef-3036-5d46-92b7-d1fbbfa265f1
DummyClass	CharacterClassDefinition	CharacterClassDefinition	062d696ab44146e0b316188f943d8079
TinkererConstruct	CharacterFamilyDefinition	CharacterFamilyDefinition	ab9d8ea6-3cc2-4c36-939a-b9a43bad023e
Alchemist	CharacterSubclassDefinition	CharacterSubclassDefinition	65074c1b-9692-5aaf-9c5f-2da693244dd0
ArcaneFighter	CharacterSubclassDefinition	CharacterSubclassDefinition	781e7978-cae9-51b0-9d07-44b249c19ac6
Artillerist	CharacterSubclassDefinition	CharacterSubclassDefinition	6a2ac050-eb4b-50c3-83de-05e8430f78f9
BattleSmith	CharacterSubclassDefinition	CharacterSubclassDefinition	09470c35-5fc0-558c-a93e-91704d82d938
DruidForestGuardianDruidSubclass	CharacterSubclassDefinition	CharacterSubclassDefinition	45a7595b-5d5f-4351-b7f1-cb78c9d0a136
FighterRoyalKnight	CharacterSubclassDefinition	CharacterSubclassDefinition	fd064807-2040-5f01-b407-0414ca005ebc
FighterSpellShield	CharacterSubclassDefinition	CharacterSubclassDefinition	d2d44af7-423a-5001-88b8-de5ecd9fe60e
GreenWitch	CharacterSubclassDefinition	CharacterSubclassDefinition	f0a88a03-8a49-56d4-8453-76da268e0252
KSRogueSubclassThug	CharacterSubclassDefinition	CharacterSubclassDefinition	eff5c8b6-a8b4-5323-baa2-d11ac7265c49
LifeTransmuter	CharacterSubclassDefinition	CharacterSubclassDefinition	3534a182-2fa7-58c0-bb6b-e07d1e23a5a4
MasterManipulator	CharacterSubclassDefinition	CharacterSubclassDefinition	4d428614-7b2b-5789-8b59-755c90b981b0
PathOfTheLight	CharacterSubclassDefinition	CharacterSubclassDefinition	69b21a8d-8f7a-5cda-b600-c68a44b6b280
RangerArcanistRangerSubclass	CharacterSubclassDefinition	CharacterSubclassDefinition	5ABD870D-9ABD-4953-A2EC-E2109324FAB9
RedWitch	CharacterSubclassDefinition	CharacterSubclassDefinition	c488da2d-9899-5b09-90dc-61d8a70e0dc2
RoguishConArtist	CharacterSubclassDefinition	CharacterSubclassDefinition	4ecda6fe-699e-549a-8a53-8ca394062b66
