Name	Type	DatabaseType	GUID
ActionSurge	ActionDefinition	ActionDefinition	eb25cf66be5d2a041a0c079be4a2befc
AssignTargetBonus	ActionDefinition	ActionDefinition	45582b785d90f194eb06b4ad092977d3
AssignTargetMain	ActionDefinition	ActionDefinition	8842a815499687b40bec0bda84cdd6d5
AttackFree	ActionDefinition	ActionDefinition	7177a5dc187c9124e8c0f28582745d22
AttackMain	ActionDefinition	ActionDefinition	8f42af261aae2db4dae3c0c3679781cf
AttackOff	ActionDefinition	ActionDefinition	c5f1e96e2948c7f40b09a34a31abffa3
AttackOpportunity	ActionDefinition	ActionDefinition	46880a215a8dcc54c978e70fdb2fe76e
AttackReadied	ActionDefinition	ActionDefinition	7e0883835671b304d80aa8787cdb22e4
Awaken	ActionDefinition	ActionDefinition	fe4c30f5cc724474798a050cd49e77eb
BlockAttack	ActionDefinition	ActionDefinition	4f3bca5985f7604459286625696beeef
BorrowLuck	ActionDefinition	ActionDefinition	8cff2e59da4a0f74abc42f904724da85
BreakEnchantment	ActionDefinition	ActionDefinition	cfd12a8e675a8964b9e5be01d5b2b1f5
BreakFree	ActionDefinition	ActionDefinition	af986c85a4c812647801ae6b7762b901
CastBonus	ActionDefinition	ActionDefinition	fd9857c287512d6439c504299bce3d62
CastInvocation	ActionDefinition	ActionDefinition	c74d89d670f7015498824ba2fdfe9d42
CastMain	ActionDefinition	ActionDefinition	218bdb35e1eb8ee41895c564ca2fd59a
CastNoCost	ActionDefinition	ActionDefinition	4ba988e73e41aa044b272446b6301fae
CastReaction	ActionDefinition	ActionDefinition	3fff5a12534803d47ac987149e86520d
CastReadied	ActionDefinition	ActionDefinition	f7db224022f1f3c4fae099301330e2e0
CastRitual	ActionDefinition	ActionDefinition	db6810818a57c8041b112fed5be52715
Cautious	ActionDefinition	ActionDefinition	9dc7bfcaa223b8b4f83fcfac56a20661
Charge	ActionDefinition	ActionDefinition	54e708e3c05303b47a5c494ff0faf712
Climb	ActionDefinition	ActionDefinition	88deafee4e3e4184ebb6cda38f08707d
CoordinatedDefense	ActionDefinition	ActionDefinition	0e9454035d4edf741b8782982f725a84
CounterAttackWithPower	ActionDefinition	ActionDefinition	8b1ee0d3787f6e342bb4767a6c889fbe
CunningAction	ActionDefinition	ActionDefinition	6b21ccd5e4bc4fd42a70524f703b687c
CunningActionFastHands	ActionDefinition	ActionDefinition	913d3ff3d11211048b35c8167e4ee291
DashBonus	ActionDefinition	ActionDefinition	f5855c9751db22f45a2aa36db1694e30
DashMain	ActionDefinition	ActionDefinition	036c8b12ff09a134483a89f09b05eab5
DeflectMissile	ActionDefinition	ActionDefinition	76fc8592ee5cca341bbe74f28d672574
DeflectMissileMonk	ActionDefinition	ActionDefinition	aea1a83978df1be468e496a977f658cb
DiamondSoul	ActionDefinition	ActionDefinition	9f89e8c51632c884a84c765ea0c94324
DisengageBonus	ActionDefinition	ActionDefinition	1037e6ac9e2e90644a1dea3ffd81c969
