Credits/&GameTechnicalVisionTitle	Game & Technical Vision
Credits/&ArtTeamTitle	Art Team
Credits/&ArtDirectorTitle	Art Director
Credits/&Lead3DArtistTitle	Lead 3D Artist
Credits/&LeadAnimatorTitle	Lead Animator
Credits/&3DCharacterArtistFemaleTitle	3D Character Artist
Credits/&3DEnvironmentArtistTitle	3D Environment Artist
Credits/&VisualEffectsArtistFemaleTitle	Visual Effects Artist
Credits/&ConceptArtistTitle	Concept Artist
Credits/&DesignTeamTitle	Design Team
Credits/&GameplayDirectorTitle	Gameplay Director
Credits/&SeniorLevelDesignerTitle	Senior Level Designer
Credits/&SeniorTechLevelDesignerTitle	Senior Tech Level Designer
Credits/&LevelDesignerTitle	Level Designer
Credits/&LevelBuilderTitle	Level Builder
Credits/&CutsceneDirectionTitle	Cutscene Artist
Credits/&NarrationTeamTitle	Narration Team
Credits/&UniverseStorylineTitle	Universe & Storyline
Credits/&NarrationDirection	Narration Direction
Credits/&ProductionTeamTitle	Production Team
Credits/&ProducerFemaleTitle	Producer
Credits/&QALeadFemaleTitle	QA Lead
Credits/&AutotestTitle	Autotest
Credits/&TechnicalTeamTitle	Technical Team
Credits/&TechLeadTitle	Lead Engineer
Credits/&GraphicsProgrammerTitle	Rendering Engineer
Credits/&UIRuleserProgrammerTitle	UI/Ruleset Engineer
Credits/&ToolsProgrammerTitle	Tools & Gameplay Engineer
Credits/&MarktingTeamTitle	Marketing Team
Credits/&MarketingDirectorTitle	Marketing Director
Credits/&LeadCommunityDeveloperTitle	Lead Community Developer
Credits/&AdministrationTeamTitle	Administration
Credits/&AdministrativeAndFinancialManagerFemaleTitle	Administrative and Financial Manager
Credits/&BoardMemberTitle	Board Member
Credits/&ExternalPartnersTitle	External Partners
Credits/&ExternalPartnersConceptTitle	Additionnal Concept Artist
Credits/&EnvironmentConceptArtistTitle	Environment & Key Art Concept Artist
Credits/&CharacterConceptArtistTitle	Character Concept Artist
Credits/&UIConceptArtistTitle	UI & Market Artist
Credits/&ExternalQAName	Quantic Lab
Credits/&ExternalQACEOTitle	CEO & Founder
Credits/&ExternalQAHeadBusiness	Head of Business Development
Credits/&ExternalQABusinessDev	Business Development Associate
Credits/&ExternalQATechDirector	Technical Director
Credits/&ExternalQAQADirector	QA Director
Credits/&ExternalQAQAManager	QA Managers
