Environment/&CatacombsTitle	Catacombs
Environment/&CatacombsDescription	An underground network of tombs & crypts
Environment/&NecropolisTitle	Necropolis
Environment/&NecropolisDescription	An underground domain of the dead
Environment/&SewersTitle	Sewers
Environment/&SewersDescription	A collection of sewer tunnels & drainage
Environment/&StrongholdTitle	Stronghold
Environment/&StrongholdDescription	The interior of a stone castle
Environment/&ElvenPalaceTitle	Elven Palace
Environment/&ElvenPalaceDescription	A luxurious vestige of the realm of Manacalon
Environment/&LavaCavesTitle	Lava Caves
Environment/&LavaCavesDescription	An underground network of caves inhabited by tribal creatures
Environment/&WoodlandTitle	Woodland
Environment/&WoodlandDescription	Navigate through a series of clearings inside a temperate forest
Environment/&TownTitle	Town
Environment/&TownDescription	Explore the streets of a medieval city
Environment/&TownInteriorTitle	Town Interiors
Environment/&TownInteriorDescription	A set of house / building interiors used to represent what is inside the buildings of a town
Environment/&JungleTitle	Jungle
Environment/&JungleDescription	A deep & moist tropical forest
Environment/&SwampTitle	Swamp
Environment/&SwampDescription	The mud and humidity make travel in the swamp less than pleasant.
Environment/&CityValleyTitle	City Valley
Environment/&CityValleyDescription	Explore the streets of a lost city hidden in the heart of the jungle.
Environment/&ValleyPalaceTitle	Valley Palace
Environment/&ValleyPalaceDescription	A luxurious palace, deep within the valley.
