EnvironmentEffect/&CollapsingRoofTitle	Collapsing Roof
EnvironmentEffect/&CollapsingRoofDescription	Several rocks and boulders fall to the ground
EnvironmentEffect/&DisturbingRunesTitle	Disturbing Runes
EnvironmentEffect/&DisturbingRunesDescription	Mind-affecting runes damage the soul and cause random behavior
EnvironmentEffect/&DeathGlyphTitle	Death Glyph
EnvironmentEffect/&DeathGlyphDescription	Stepping on this causes necrotic damage and terror
EnvironmentEffect/&FireBurstTitle	Fire Burst
EnvironmentEffect/&FireBurstDescription	An eruption causes fire damage
EnvironmentEffect/&GroundSpikesTitle	Ground Spikes
EnvironmentEffect/&GroundSpikesDescription	Spikes rise from the ground, causing piercing damage
EnvironmentEffect/&LightningDischargeTitle	Lightning Discharge
EnvironmentEffect/&LightningDischargeDescription	Discharges electricity in the vicinity, causing electrical damage
EnvironmentEffect/&PoisonCloudTitle	Poison Cloud
EnvironmentEffect/&PoisonCloudDescription	A noxious cloud inflicts poison damage and the poisoned condition
