BlueprintCategory/&BarrierTitle	Barrières
BlueprintCategory/&EmptyRoomsTitle	Salles vides
BlueprintCategory/&EncounterTitle	Confrontation
BlueprintCategory/&FurnishedRoomsTitle	Salles meublées
BlueprintCategory/&FurnitureTitle	Mobilier
BlueprintCategory/&LightingTitle	Lumière
BlueprintCategory/&LootTitle	Butin
BlueprintCategory/&LoreTitle	Savoir
BlueprintCategory/&NavigationTitle	Navigation
BlueprintCategory/&ObstacleTitle	Obstacles
BlueprintCategory/&OpeningsTitle	Ouvertures
BlueprintCategory/&OrnamentsTitle	Décoration
BlueprintCategory/&RestingTitle	Se reposer
BlueprintCategory/&StructureTitle	Structures
BlueprintCategory/&TrapsTitle	Pièges
BlueprintCategory/&ActivatorsTitle	Déclencheurs
BlueprintCategory/&PartitionsTitle	Cloisons
BlueprintCategory/&AdventuringTitle	Aventure
BlueprintCategory/&BlockersTitle	Obstacles
BlueprintCategory/&HarvestableTitle	Récoltables
BlueprintCategory/&RoadsTitle	Routes
