Environment/&CatacombsTitle	Catacombes
Environment/&CatacombsDescription	Un réseau souterrain de tombes et de cryptes
Environment/&NecropolisTitle	Nécropole
Environment/&NecropolisDescription	Un domaine souterrain destiné aux morts
Environment/&SewersTitle	Égouts
Environment/&SewersDescription	Un ensemble de tunnels d'égout et d'évacuation
Environment/&StrongholdTitle	Bastion
Environment/&StrongholdDescription	L'intérieur d'un château en pierre
Environment/&ElvenPalaceTitle	Palais elfique
Environment/&ElvenPalaceDescription	Un somptueux vestige du royaume de Manacalon
Environment/&LavaCavesTitle	Grottes de lave
Environment/&LavaCavesDescription	Un réseau souterrain de grottes habité par des créatures tribales
Environment/&WoodlandTitle	Forêt
Environment/&WoodlandDescription	Traversez une série de clairières à l'intérieur d'une forêt tempérée
Environment/&TownTitle	Ville
Environment/&TownDescription	Explorez les rues d'une ville médiévale
Environment/&TownInteriorTitle	Intérieurs de la ville
Environment/&TownInteriorDescription	Un ensemble d'intérieurs de maisons ou de bâtiments qui sert à représenter ce qui se trouve à l'intérieur des bâtiments d'une ville
Environment/&JungleTitle	Jungle
Environment/&JungleDescription	Une forêt tropicale dense et humide
Environment/&SwampTitle	Marécage
Environment/&SwampDescription	La boue et l'humidité rendent la traversée du marécage plus que déplaisante.
Environment/&CityValleyTitle	Ville cachée
Environment/&CityValleyDescription	Explorez les rues d'une ville oubliée, cachée au cœur de la jungle.
Environment/&ValleyPalaceTitle	Palais de la vallée
Environment/&ValleyPalaceDescription	Un palais luxueux, caché au plus profond de la vallée.
