FightingStyle/&ArcheryDescription	Vous obtenez un bonus de +2 aux jets d'attaque avec une arme à distance.
FightingStyle/&ArcheryTitle	Archerie
FightingStyle/&DefenseDescription	Si vous portez une armure, vous obtenez un bonus de +1 à la CA.
FightingStyle/&DefenseTitle	Défense
FightingStyle/&DuelingDescription	Lorsque vous attaquez avec une arme de corps à corps dans une main et aucune autre arme, vous obtenez un bonus de +2 aux jets de dégâts avec cette arme.
FightingStyle/&DuelingTitle	Duel
FightingStyle/&GreatWeaponDescription	Lorsque vous obtenez 1 ou 2 à un dé de dégâts lors d'une attaque que vous effectuez avec une arme de corps à corps que vous tenez avec vos deux mains, vous pouvez relancer le dé mais vous devrez obligatoirement prendre le nouveau résultat, même si celui-ci est un 1 ou un 2. L'arme doit avoir la propriété à deux mains ou polyvalente pour octroyer cet avantage.
FightingStyle/&GreatWeaponTitle	Arme à deux mains
FightingStyle/&ProtectionDescription	Quand une créature que vous pouvez voir attaque une cible autre que vous-même et qui se trouve à 1,50 mètre ou moins de vous, vous pouvez utiliser votre réaction pour imposer un désavantage à son jet d'attaque. Vous devez pour cela porter un bouclier.
FightingStyle/&ProtectionTitle	Protection
FightingStyle/&TwoWeaponDescription	Lorsque vous vous engagez dans un combat avec deux armes en mains, vous pouvez ajouter votre modificateur de caractéristique aux dégâts de la seconde attaque.
FightingStyle/&TwoWeaponTitle	Combat à deux mains
