Gadget/&CampfireTitle	Feu de camp
Gadget/&CampfireDescription	Un feu de camp interactif permettant au groupe d'entamer un repos long
Gadget/&ChestTitle	Coffre
Gadget/&ChestDescription	Un contenant pour le butin
Gadget/&DoubleDoorTitle	Porte double
Gadget/&DoubleDoorDescription	Une simple porte à ouvrir
Gadget/&EntranceTitle	Entrée
Gadget/&EntranceDescription	Le point de départ du groupe
Gadget/&ExitTitle	Sortie
Gadget/&ExitDescription	Un point de sortie pour le groupe pouvant mener à un autre lieu utilisateur
Gadget/&HiddenDoorTitle	Porte dérobée
Gadget/&HiddenDoorDescription	Une porte qui requiert un jet de Perception pour être détectée
Gadget/&InteractiveTorchTitle	Torche interactive
Gadget/&InteractiveTorchDescription	Une torche murale pouvant s'allumer/s'éteindre de façon dynamique
Gadget/&LoreAreaTitle	Zone du savoir
Gadget/&LoreAreaDescription	Entrer dans cette zone fera apparaître un texte
Gadget/&MonsterMTitle	Monstre M
Gadget/&MonsterMDescription	Génère un monstre moyen (ou petit) à l'emplacement du gadget
Gadget/&MonsterLTitle	Monstre L
Gadget/&MonsterLDescription	Génère un grand monstre à l'emplacement du gadget
Gadget/&MonsterMMultipleTitle	Monstre multi-M
Gadget/&MonsterMMultipleDescription	Génère un nombre de monstres moyens (ou petits) à l'emplacement du gadget
Gadget/&TrapTitle	Piège
Gadget/&TrapDescription	Un piège s'active en marchant sur la zone qu'il occupe
Gadget/&VirtualLoreTitle	Savoir virtuel
Gadget/&VirtualLoreDescription	Une interaction affichant un texte du savoir, pouvant être placée sur n'importe quel décor
Gadget/&VirtualLootTitle	Butin virtuel
Gadget/&VirtualLootDescription	Une interaction générique de butin, pouvant être placée sur n'importe quel décor pour simuler un contenant
Gadget/&ParameterExplicitItemsTitle	Objets définis
Gadget/&ParameterLootPackTitle	Pack de butin
Gadget/&ParameterItemListTitle	Liste d'objets
Gadget/&ParameterParam_LockedTitle	Verrouillé
Gadget/&ParameterUnlock_DCTitle	Déverrouiller DD
Gadget/&ParameterParam_TrappedTitle	Pris au piège
Gadget/&ParameterPerception_DCTitle	DD de perception
Gadget/&ParameterDisarm_DCTitle	DD de désarmement
Gadget/&ParameterReveal_DCTitle	DD de révélation
Gadget/&ParameterTrapEffectTitle	Effet de piège
Gadget/&ParameterEntranceIndexTitle	Index des entrées
Gadget/&ParameterDestinationLocationTitle	Lieu de destination
Gadget/&ParameterCreatureTitle	Créature
Gadget/&ParameterQuantityTitle	Quantité
Gadget/&ParameterPerceptionDCTitle	
Gadget/&ParameterSpeechTitle	Discours
Gadget/&ParameterEncounterGroupTitle	Groupe de confrontation
Gadget/&ParameterGroupIndexTitle	Index de groupe
Gadget/&ParameterExplicitItemsDescription	Détermine si le contenu sera un pack de butin prédéfini ou une liste précise d'objets
Gadget/&ParameterLootPackDescription	Une liste prédéfinie d'objets, dont certains changent aléatoirement
Gadget/&ParameterItemListDescription	Définissez une liste précise d'objets qui apparaîtront dans le contenant
Gadget/&ParameterParam_LockedDescription	Détermine si ce gadget est verrouillé ou non
Gadget/&ParameterUnlock_DCDescription	Le degré de difficulté pour déverrouiller ce gadget
Gadget/&ParameterParam_TrappedDescription	Détermine si ce gadget est piégé ou non
Gadget/&ParameterPerception_DCDescription	Le degré de difficulté pour repérer le piège sur ce gadget
Gadget/&ParameterDisarm_DCDescription	Le degré de difficulté pour désarmer le piège sur ce gadget
Gadget/&ParameterReveal_DCDescription	Le degré de difficulté pour révéler ce gadget
Gadget/&ParameterTrapEffectDescription	Le type d'effet qui affecte les créatures lorsque ce piège est déclenché
Gadget/&ParameterEntranceIndexDescription	Il est possible de pénétrer dans un lieu à partir de plusieurs points d'entrée. Cet index sert à définir l'entrée vers laquelle mène un gadget de sortie
Gadget/&ParameterDestinationLocationDescription	Le nom du lieu où mène cette entrée
Gadget/&ParameterCreatureDescription	Le type de créature engendrée
Gadget/&ParameterQuantityDescription	Le nombre de créatures
Gadget/&ParameterSpeechDescription	Le texte qui sera affiché en interagissant avec ce gadget
Gadget/&ParameterEncounterGroupDescription	Cochez cette case pour que la créature engendrée fasse partie d'un groupe de confrontation et participe aux combats
Gadget/&ParameterGroupIndexDescription	Les créatures possédant un index de groupe identique (quel que soit le nombre choisi) feront partie du même groupe de confrontation
Gadget/&ParameterSavingThrowDCTitle	DD de jet de sauvegarde
Gadget/&ParameterSavingThrowDCDescription	Le degré de difficulté de jet de sauvegarde
Gadget/&ParameterAddDiceTitle	Dés supplémentaires
Gadget/&ParameterAddDiceDescription	Augmente le nombre de dés pour cet effet
Gadget/&FallingChandelierTitle	Lustre instable
Gadget/&FallingChandelierDescription	Un lustre suspendu qui peut être endommagé et générer des dégâts de chute
Gadget/&GrateTitle	Grille
Gadget/&GrateDescription	Une barrière métallique dotée d'une porte coulissante, également en métal
Gadget/&InvisiblePlateTitle	Plaque invisible
Gadget/&InvisiblePlateDescription	Une plaque invisible activant d'autres gadgets lorsque l'on marche dessus
Gadget/&LorePlaqueTitle	Plaque murale
Gadget/&LorePlaqueDescription	Une plaque murale apportant des connaissances aux joueurs et aux joueuses
Gadget/&ManaLampTitle	Lampe de mana
Gadget/&ManaLampDescription	Une lampe interactive qui s'allume lorsqu'elle est ciblée par des sorts magiques
Gadget/&PrisonDoorTitle	Porte de prison
Gadget/&PrisonDoorDescription	Une porte métallique donnant accès à une zone de détention
Gadget/&ActivatorButtonTitle	Bouton de déclenchement
Gadget/&ActivatorButtonDescription	Un bouton permettant d'activer d'autres gadgets
Gadget/&ActivatorAreaTitle	Zone de déclenchement
Gadget/&ActivatorAreaDescription	Entrer dans cette zone active d'autres gadgets
Gadget/&ActivatorPlateTitle	Plaque de déclenchement
Gadget/&ActivatorPlateDescription	Une plaque activant d'autres gadgets lorsque l'on marche dessus
Gadget/&ActivatorTimedTitle	Déclencheur paramétré
Gadget/&ActivatorTimedDescription	Un gadget invisible activant d'autres gadgets à intervalles réguliers
Gadget/&WoodenDoorTitle	Porte en bois
Gadget/&WoodenDoorDescription	Une banale porte
Gadget/&ManaLampWallTitle	Lampe de mana (murale)
Gadget/&ParameterTargetGadgetsTitle	Gadgets cibles
Gadget/&ParameterTargetGadgetsDescription	Les gadgets qui seront déclenchés par l'activation ou la désactivation de ce gadget
Gadget/&ParameterSymetricalTitle	Symétrique
Gadget/&ParameterSymetricalDescription	Le déclencheur peut-il être utilisé de manière alternative, par exemple, pour ouvrir ou fermer une porte ?
Gadget/&ParameterOperationTitle	Opération
Gadget/&ParameterOperationDescription	Le type d'opération effectué sur les gadgets cibles
Gadget/&ParameterOperationActivateTitle	Activer
Gadget/&ParameterOperationActivateDescription	Active d'autres gadgets (exemple : ouverture d'une porte)
Gadget/&ParameterOperationDeactivateTitle	Désactiver
Gadget/&ParameterOperationDeactivateDescription	Désactive d'autres gadgets (exemple : fermeture d'une porte)
Gadget/&ParameterOperationActivateSymetricalTitle	Activer la symétrie
Gadget/&ParameterOperationActivateSymetricalDescription	Active et désactive l'utilisation alternative (exemple : ouverture et fermeture d'une porte)
Gadget/&ParameterOperationEnableTitle	Activer
Gadget/&ParameterOperationEnableDescription	Active un déclencheur pour qu'il puisse lui aussi activer d'autres gadgets
Gadget/&ParameterOperationDisableTitle	Désactiver
Gadget/&ParameterOperationDisableDescription	Désactive un déclencheur qui ne pourra plus activer d'autres gadgets (exemple : désactivation d'un déclencheur paramétré)
Gadget/&ParameterOperationEnableSymetricalTitle	Activer la symétrie
Gadget/&ParameterOperationEnableSymetricalDescription	Active et désactive l'utilisation alternative (exemple : un bouton peut activer et désactiver un déclencheur paramétré)
Gadget/&LavaBulbTitle	Bulbe de lave
Gadget/&MechanismTitle	Mécanisme
Gadget/&TorchPikeTitle	Torche à piques
Gadget/&ParameterParam_HardLockedTitle	Verrouillage complexe
Gadget/&ParameterParam_HardLockedDescription	Ce gadget ne peut pas être ouvert par des moyens conventionnels. Un déclencheur à distance est nécessaire pour l'ouvrir
Gadget/&ParameterParam_DefaultAsLitTitle	Allumé
Gadget/&ParameterParam_DefaultAsLitDescription	Cette option détermine si ce gadget est allumé par défaut ou non (si l'option est décochée).
Gadget/&ParameterParam_DefaultAsOpenedTitle	Ouvert
Gadget/&ParameterParam_DefaultAsOpenedDescription	Détermine si ce gadget est ouvert par défaut
Gadget/&MonsterHTitle	Monstre TG
Gadget/&MonsterHDescription	Génère un très grand monstre à l'emplacement du gadget
Gadget/&MonsterGTitle	Monstre Gig
Gadget/&MonsterGDescription	Génère un monstre gigantesque à l'emplacement du gadget
Gadget/&ParameterAutoSpawnTitle	Apparition automatique
Gadget/&ParameterAutoSpawnDescription	Quand cette option est désactivée, la proximité des héros ne permet pas de faire apparaître un monstre, et un déclencheur à distance est alors nécessaire
Gadget/&ParameterLoreFormatTitle	Format des connaissances
Gadget/&ParameterLoreFormatDescription	Le format dans lequel les informations à propos des connaissances sont présentées à l'utilisateur
Gadget/&ParameterLoreFormatMainCharacterTitle	Personnage principal
Gadget/&ParameterLoreFormatMainCharacterDescription	Le contenu est affiché sous forme de plaisanterie au-dessus de la tête du premier personnage conscient dans le groupe
Gadget/&ParameterLoreFormatRandomCharacterTitle	Personnage aléatoire
Gadget/&ParameterLoreFormatRandomCharacterDescription	Le contenu est affiché sous forme de plaisanterie au-dessus de la tête d'un personnage aléatoire conscient dans le groupe et disparaît à la fin de sa durée d'effet
Gadget/&ParameterLoreFormatGadgetFeedbackTitle	Retour au gadget
Gadget/&ParameterLoreFormatGadgetFeedbackDescription	Le contenu est affiché à l'endroit où le gadget déclencheur est positionné
Gadget/&ParameterLoreFormatTopHeaderTitle	En-tête
Gadget/&ParameterLoreFormatTopHeaderDescription	Le contenu apparaît en haut de l'écran dans une police de grande taille et disparaît à la fin de sa durée d'effet
Gadget/&ParameterLoreFormatTimedPanelTitle	Panneau chronométré
Gadget/&ParameterLoreFormatTimedPanelDescription	Le contenu est affiché sur un panneau en bas de l'écran et disparaît à la fin de sa durée d'effet
Gadget/&ParameterLoreFormatModalPanelTitle	Panneau modal
Gadget/&ParameterLoreFormatModalPanelDescription	Le contenu est affiché sur un panneau au centre de l'écran. Celui-ci reste visible jusqu'à ce que l'utilisateur ait reconnu qu'il en a bien pris connaissance
Gadget/&PushBlockTitle	Bloc déplaçable
Gadget/&PushBlockDescription	Un bloc pouvant être poussé d'une case par un personnage
Gadget/&FallingStalactiteTitle	Stalactite instable
Gadget/&FallingStalactiteDescription	Une stalactite qui peut être endommagée et générer des dégâts de chute
Gadget/&ParameterParam_DisplayOnceTitle	Affichage unique
Gadget/&ParameterParam_DisplayOnceDescription	Si cette option est cochée, les informations sur les connaissances ne s'afficheront qu'une seule fois lorsque le gadget sera déclenché
Gadget/&ActivatorEntryTitle	Déclencheur d'entrée
Gadget/&ParameterParam_EntryOnceTitle	Entrée unique
Gadget/&ParameterParam_EntryOnceDescription	Si cette option est cochée, les informations sur les connaissances ne s'afficheront qu'une seule fois lorsque le gadget sera déclenché
Gadget/&LoreActivatedTitle	Connaissances activées
Gadget/&LoreActivatedDescription	Ce gadget affichera des connaissances lorsqu'il sera activé par un gadget de déclenchement (comme un déclencheur d'entrée, par exemple). Il peut être placé à n'importe quel endroit où il y a de l'espace disponible puisqu'il est invisible et non interactif
Gadget/&ParameterParam_DefaultAsActivatedTitle	Activé
Gadget/&ParameterParam_DefaultAsActivatedDescription	Détermine si ce déclencheur est activé par défaut
Gadget/&ParameterKeyItemTitle	Objet clé
Gadget/&ParameterKeyItemDescription	L'objet s'ouvre automatiquement si le groupe transporte ceci
Gadget/&FoliageTitle	Feuillage
Gadget/&FoliageDescription	Feuillage destructible bloquant le passage
Gadget/&FallingTrunkTitle	Tronc instable
Gadget/&FallingTrunkDescription	Un tronc d'arbre pouvant être déplacé
Gadget/&PoisonBulbTitle	Bulbe vénéneux
Gadget/&PoisonBulbDescription	Une étrange fleur qui explose lorsqu'elle subit des dégâts ou qu'un joueur s'approche d'elle.
