Invocation/&AgonizingBlastTitle	Explosion insoutenable
Invocation/&AgonizingBlastDescription	Lorsque vous lancez le sort de décharge occulte, ajoutez votre modificateur de Charisme aux dégâts.
Invocation/&ArmorOfShadowsTitle	Armure des ombres
Invocation/&ArmorOfShadowsDescription	Vous pouvez lancer le sort d'armure de mage sur vous-même à volonté, sans dépenser d'emplacement de sort ni de composante matérielle.
Invocation/&AscendantStepTitle	Pas aérien
Invocation/&AscendantStepDescription	Vous pouvez lancer le sort de lévitation sur vous-même à volonté, sans dépenser d'emplacement de sort ni de composante matérielle.
Invocation/&BeguilingInfluenceTitle	Séduction
Invocation/&BeguilingInfluenceDescription	Vous gagnez la maîtrise en Tromperie et Persuasion. Si vous l'avez déjà, vous obtenez à la place de l'expertise.
Invocation/&BewitchingWhispersTitle	Murmures ensorcelants
Invocation/&BewitchingWhispersDescription	Vous pouvez lancer le sort de présage d'effroi une fois en utilisant un emplacement de sort d'occultiste, mais sans dépenser de composante matérielle. Vous ne pouvez le lancer de nouveau avant d'avoir terminé un repos long.
Invocation/&BookAncientSecretsTitle	Livre des secrets anciens
Invocation/&BookAncientSecretsDescription	Vous pouvez obtenir des sorts rituels dans n'importe quelle liste de sorts (de votre niveau de sort). Vous apprenez immédiatement deux rituels de niveau 1 de n'importe quelle liste de sorts, que vous ne pouvez lancer qu'en tant que rituels.
Invocation/&ChainsCarceriTitle	Chaînes des Carcères
Invocation/&ChainsCarceriDescription	Vous pouvez lancer le sort d'immobilisation de monstre à volonté (en ciblant un céleste, un fiélon ou un élémentaire) sans dépenser d'emplacement de sort ou de composante matérielle. Vous ne pouvez pas sélectionner la même cible avant 24 heures.
Invocation/&DevilsSightTitle	Vision du diable
Invocation/&DevilsSightDescription	Vous bénéficiez de Vision aveugle jusqu'à 16 cases, ce qui vous permet de percevoir les adversaires même en cas d'invisibilité et de ténèbres magiques.
Invocation/&DreadfulWordTitle	Mot d'effroi
Invocation/&DreadfulWordDescription	Vous pouvez lancer le sort de confusion une fois en utilisant un emplacement de sort d'occultiste. Vous ne pouvez le lancer de nouveau avant d'avoir terminé un repos long.
Invocation/&EldritchSightTitle	Vision occulte
Invocation/&EldritchSightDescription	Vous pouvez lancer le sort de détection de la magie à volonté, sans dépenser d'emplacement de sort.
Invocation/&EldritchSpearTitle	Lance occulte
Invocation/&EldritchSpearDescription	Lorsque vous lancez le sort de décharge occulte, vous ignorez tous les abris des cibles.
Invocation/&EyesRuneKeeperTitle	Œil du gardien des runes
Invocation/&EyesRuneKeeperDescription	Vous pouvez comprendre toutes les langues et écritures.
Invocation/&FiendishVigorTitle	Vigueur fiélonne
Invocation/&FiendishVigorDescription	Vous pouvez lancer le sort de simulacre de vie sur vous-même à volonté comme un sort de niveau 1, sans dépenser d'emplacement de sort ni de composante matérielle.
Invocation/&LifedrinkerTitle	Buveuse de vie
Invocation/&LifedrinkerDescription	Lorsque vous touchez une créature avec une attaque d'arme, elle subit des dégâts nécrotiques supplémentaires équivalents à votre modificateur de Charisme (minimum 1).
Invocation/&MinionsChaosTitle	Sbires du chaos
Invocation/&MinionsChaosDescription	Vous pouvez lancer le sort d'invocation d'élémentaire une fois en utilisant un emplacement de sort d'occultiste. Vous ne pouvez le lancer de nouveau avant d'avoir terminé un repos long.
Invocation/&MireMindTitle	Lenteur de l'esprit
Invocation/&MireMindDescription	Vous pouvez lancer le sort de lenteur une fois en utilisant un emplacement de sort d'occultiste. Vous ne pouvez le lancer de nouveau avant d'avoir terminé un repos long.
Invocation/&OneWithShadowsTitle	Maître des ombres
Invocation/&OneWithShadowsDescription	Lorsque vous êtes dans une zone de lumière faible ou de ténèbres, vous pouvez utiliser une action pour devenir invisible jusqu'à ce que vous bougiez ou que vous utilisiez une action ou une réaction.
Invocation/&OtherworldlyLeapTitle	Saut d'Outremonde
Invocation/&OtherworldlyLeapDescription	Vous pouvez lancer le sort de saut sur vous-même à volonté, sans dépenser d'emplacement de sort ni de composante matérielle.
Invocation/&RepellingBlastTitle	Décharge répulsive
Invocation/&RepellingBlastDescription	Lorsque vous touchez une créature avec le sort de décharge occulte, vous pouvez la repousser de 2 cases en ligne droite.
Invocation/&SignIllOmenTitle	Mauvais présage
Invocation/&SignIllOmenDescription	Vous pouvez lancer le sort de malédiction une fois en utilisant un emplacement de sort d'occultiste. Vous ne pouvez le lancer de nouveau avant d'avoir terminé un repos long.
Invocation/&ThiefFiveFatesTitle	Voleur des cinq destinées
Invocation/&ThiefFiveFatesDescription	Vous pouvez lancer le sort de fléau une fois en utilisant un emplacement de sort d'occultiste. Vous ne pouvez le lancer de nouveau avant d'avoir terminé un repos long.
Invocation/&ThirstingBladeTitle	Lame assoiffée
Invocation/&ThirstingBladeDescription	Vous pouvez attaquer deux fois au lieu d'une seule lorsque vous choisissez l'action Attaquer durant votre tour.
Invocation/&VoiceChainMasterTitle	Voix du maître des Chaînes
Invocation/&VoiceChainMasterDescription	Vous pouvez lier une créature à votre occultiste une fois de plus entre des repos longs.
Invocation/&WitchSightTitle	Vision de sorcier
Invocation/&WitchSightDescription	Vous êtes en permanence sous les effets du sort de voir l'invisible et vous identifiez automatiquement tous les objets magiques qui entrent en votre possession.
