MainMenu/&ChangeCampaignTitle	Changer
MainMenu/&ChangeCharacterSlotTitle	Modifier
MainMenu/&ContinueTitle	Continuer
MainMenu/&EmptySlotTitle	Vide
MainMenu/&ExportPdfDescription	Exportez le personnage choisi sous un format pdf à imprimer
MainMenu/&ExportPdfTitle	Exporter PDF
MainMenu/&InspectCharacterDescription	Ouvrez l'inventaire et la fiche du personnage.
MainMenu/&InspectCharacterTitle	Inspecter
MainMenu/&LevelUpCharacterDescription	Lancez la séquence d'obtention d'un niveau du personnage. Pour certaines campagnes, vous devrez ou ne pourrez pas utiliser de personnages d'un niveau supérieur à 1.
MainMenu/&LevelUpCharacterTitle	Niveau supérieur
MainMenu/&LicenseDescription	Affichez les informations sur la licence du jeu.
MainMenu/&LicenseTitle	Licence
MainMenu/&LoadGameDescription	Chargez une partie sauvegardée.
MainMenu/&LoadGameTitle	Charger une partie
MainMenu/&ManageCharactersDescription	Créez/consultez/modifiez votre réserve de personnages.
MainMenu/&ManageCharactersTitle	Personnages
MainMenu/&NewAdventureDescription	Lancez une nouvelle partie avec un groupe d'aventuriers.
MainMenu/&NewAdventureTitle	Nouvelle aventure
MainMenu/&NewCharacterDescription	Créez un nouveau personnage et choisissez son ascendance, sa classe, son historique…
MainMenu/&NewCharacterTitle	Nouveau perso
MainMenu/&PredefinedPartyTitle	Groupe prédéfini
MainMenu/&PrivacyDescription	Gérez vos paramètres de confidentialité.
MainMenu/&PrivacyTitle	Confidentialité
MainMenu/&QuitDescription	Quittez le jeu et retournez sur le bureau.
MainMenu/&QuitTitle	Quitter
MainMenu/&SaveDateHeader	Date de sauvegarde
MainMenu/&SelectCharacterSlotDescription	Sélectionnez un personnage dans votre réserve de personnages.
MainMenu/&SelectCharacterSlotTitle	Choisir
MainMenu/&SettingsDescription	Modifiez les paramètres de l'application.
MainMenu/&SettingsTitle	Paramètres
MainMenu/&StartGameDescription	Commencez la campagne avec les personnages choisis.
MainMenu/&StartGameTitle	Jouer
MainMenu/&StartingLevelRange	{0}-{1}
MainMenu/&StartingLevelTitle	Niveau de départ :
MainMenu/&CharacterSourceTogglePregenDescription	Afficher uniquement les personnages prégénérés par le jeu.
MainMenu/&CharacterSourceTogglePregenTitle	Prégénérés
MainMenu/&CharacterSourceTogglePersonalDescription	Afficher uniquement les personnages créés personnellement.
MainMenu/&CharacterSourceTogglePersonalTitle	Personnels
MainMenu/&CharacterSourceToggleAllDescription	Afficher tous les personnages.
MainMenu/&CharacterSourceToggleAllTitle	Tous
MainMenu/&CharacterSortAlphaneticalTitle	Nom
