Modal/&AssertionFailedTtitle	Échec de la confirmation
Modal/&CampaignSelectionButtonTitle	Choisir
Modal/&CampaignSelectionTitle	Campagne
Modal/&CampCaptionMultipleHoursFormat	Le groupe installe son campement pour {0} heures.
Modal/&CampCaptionSingleHourFormat	Le groupe installe son campement pour une heure.
Modal/&CancelButtonTitle	Annuler
Modal/&CancelPrepareDescription	Annulez les modifications sur cet écran.
Modal/&CancelPrepareTitle	Annuler
Modal/&CharacterReviveMessageCancel	Annuler
Modal/&CharacterReviveMessageContent	L'activation de cette option prend du temps et peut désactiver les autres options de durée. Voulez-vous continuer ?
Modal/&CharacterReviveMessageTitle	Avertissement
Modal/&CharacterReviveMessageValidate	Accepter
Modal/&CharacterReviveModalHeaderPluralTitle	Réanimer tous les personnages morts
Modal/&CharacterReviveModalHeaderSingularTitle	Réanimer le personnage mort
Modal/&CharacterReviveModalSubTitle	Vous ne pouvez pas poursuivre l'aventure avec un ou plusieurs personnages morts. Sélectionnez une option.
Modal/&CharacterReviveModalTooLateFormat	Il est trop tard pour utiliser cette option sur {0}.
Modal/&DefeatDescription	Le groupe ne peut plus réanimer ses morts… fin de la partie ! Essayez de donner des parchemins de réanimation aux personnages pouvant les utiliser.
Modal/&DefeatTitle	Fin de partie
Modal/&DeleteButtonTitle	Supprimer
Modal/&EquipementSelectionDescription	Sélectionnez vos options d'équipement préféré.
Modal/&EquipementSelectionTitle	Choix d'équipement
Modal/&ErrorModalContinuePlayingTitle	Continuer à jouer
Modal/&ErrorModalCopyToClipboardTitle	Copier dans le presse-papier
Modal/&ErrorModalIgnoreErrorTitle	Ignorer cette erreur
Modal/&ErrorModalQuitTitle	Quitter le jeu
Modal/&ErrorModalTitle	Une erreur grave est survenue.
Modal/&ExceptionModalTitle	Une exception critique est survenue.
Modal/&FactionRedeemCostDescription	Échanger un objet est souvent plus avantageux que de le vendre à un marchand
Modal/&FactionRedeemInstructionsDescription	Échanger des objets avec la faction '{0}' vous fera gagner de l'argent et améliorera vos relations avec cette faction.
Modal/&FactionRedeemRelationDescription	Vos relations avec cette faction s'améliorent
Modal/&FactionRedeemRelationGainFormat	Relation : {0}
Modal/&FactionRedeemSelectTitle	Sélectionnez un objet à échanger
Modal/&HigherLevelFeaturesTitle	Attributs des niveaux supérieurs
Modal/&InterruptCraftingCompleteTitle	Interruption quand un objet a été fabriqué.
Modal/&InterruptLevelUpAvailableTitle	Interruption quand un personnage peut obtenir un niveau.
Modal/&InterruptLongRestCompleteTitle	Interruption à la fin du repos long.
Modal/&LoadButtonTitle	Charger
Modal/&LoadGameHeader	Chargement
Modal/&LoadGamePlaceholder	Sélectionnez une sauvegarde.
Modal/&LoadingProceedButtonTitle	Cliquez ou appuyez sur une touche pour commencer.
Modal/&LoadingTitle	Chargement… veuillez patienter
Modal/&LoadLastSaveDescription	Reprenez votre partie à partir de la dernière sauvegarde
Modal/&LoadLastSaveTitle	Dernière sauvegarde
Modal/&MonsterListingCaption	{0} se concentre pour repérer la présence de monstres dans la zone… 
Modal/&MonsterListingFavoredEnemyTitle	Ennemi juré
Modal/&MonsterListingNotPerceivedTitle	Aucun
Modal/&MonsterListingPerceivedTitle	Présence
Modal/&NumberSelectionInstructionTitle	Combien de points ?
Modal/&NumberSelectionValidateTitle	Valider
Modal/&PartyWaitMinutesPluralFormat	Le groupe attend {0} minutes.
Modal/&PartyWaitMinutesSingleFormat	Le groupe attend {0} minute.
Modal/&RequiredRestsMultipleFormat	{0} repos longs
Modal/&RequiredRestsNoneFormat	Aucun
Modal/&RequiredRestsSingleFormat	1 repos long
Modal/&RequiredRestsTitle	Repos requis
Modal/&ResetDefaultsDescription	Réinitialisez les paramètres de voyage par défaut.
Modal/&ResetDefaultsTitle	Réinitialiser
Modal/&SaveButtonTitle	Sauvegarder
Modal/&SaveGameHeader	Sauvegarde
Modal/&SaveGamePlaceholder	Entrez un nom ou choisissez un fichier
Modal/&SelectCharacterMultipleTitle	Sélectionnez un ou plusieurs personnages.
Modal/&SelectCharacterSingleTitle	Sélectionnez un personnage
Modal/&SelectTitle	Choisir
Modal/&StartTravelDescription	Initiez le voyage vers la destination sélectionnée.
Modal/&StartTravelTitle	Voyager
Modal/&TravelDurationLessThanADayFormat	Moins d'un jour
Modal/&TravelDurationMultipleFormat	{0} jours
Modal/&TravelDurationSingleFormat	1 jour
Modal/&TravelDurationTitle	Durée
Modal/&TravelFromTitle	De
Modal/&TravelPaceNormalTitle	Normal
Modal/&TravelPaceTitle	Rythme de voyage
Modal/&TravelSettingsButtonDescriptionTitle	Modifiez les paramètres de voyage et de repos.
Modal/&TravelSettingsCustomTitle	Personnaliser
Modal/&TravelSettingsDefaultTitle	Défaut
Modal/&TravelSettingsTitle	Paramètres de voyage
Modal/&TravelToTitle	Vers
Modal/&ValidateButtonTitle	Valider
Modal/&LoadingShortTitle	Chargement
Modal/&LoadingTipTitle	Conseil
Modal/&UnitsSelectionInstructionTitle	Combien d'unités voulez-vous ?
Modal/&CastSpellBeforeLongRestTitle	Lancez le sort de {0} quand le repos long commence.
Modal/&ScavengerMissionsModalTitle	Expéditions des ferrailleurs
Modal/&ScavengerMissionsModalDescription	Les ferrailleurs partent en expédition pour récupérer et rapporter les butins abandonnés.
Modal/&ScavengerMissionLineEncounterTitle	Quelque part sur la route
Modal/&ScavengerMissionLineNewMissionFormat	Nouv. : {0} restant(s)
Modal/&ScavengerMissionLineOngoingMissionFormat	En cours : {0} restant(s)
Modal/&ScavengerMissionLineFinishedMissionDescription	Terminée
Modal/&ScavengerMissionModalToggleTitle	Afficher les expéditions associées à des rencontres
Modal/&ScavengerLootModalTitle	Objets récupérés durant les expéditions
Modal/&ScavengerLootModalInstructionsDescription	Cliquez sur un objet pour le récupérer au lieu de le vendre.
Modal/&ScavengerLootModalSellAllButton	Tout vendre
Modal/&ScavengerLootModalSellInstructionsDescription	Vous obtenez :
Modal/&DefeatStealthDescription	Vous avez été détecté·e lors d'une étape de furtivité critique ! Utilisez le mode Prudence et déplacez-vous discrètement.
Modal/&QuestBoardTitle	Missions disponibles
Modal/&QuestBoardDescription	Sélectionnez la mission que vous souhaitez accepter et appuyez sur Commencer.
Modal/&QuestBoardStartTitle	Commencer
Modal/&QuestBoardStartDescription	Accepter et commencer la mission sélectionnée.
Modal/&QuestInProgressTitle	En cours
Modal/&SolastaBackers	Contributeurs de Solasta
Modal/&EternalHeroesTitle	À nos héros éternels
Modal/&TeleportButtonTitle	Téléporter
Modal/&TeleportButtonDescription	Téléporte instantanément le groupe vers une destination près du Portrail Majeur
Modal/&VictoryTitle	Le groupe est victorieux !
Modal/&StatHitAccuracyTitle	Précision du coup
Modal/&StatHitAccuracyDescription	Le pourcentage de jets d'attaque magiques ou avec une arme réussis
Modal/&StatCriticalHitsTitle	Coups critiques
Modal/&StatCriticalHitsDescription	Le nombre de coups critiques effectués par ce personnage lors de jets d'attaque (magiques et avec une arme)
Modal/&StatCriticalFailuresTitle	Échecs critiques
Modal/&StatCriticalFailuresDescription	Le nombre d'échecs critiques subis par ce personnage lors de jets d'attaque (magiques et avec une arme)
Modal/&StatInflictedDamageTitle	Dégâts infligés
Modal/&StatInflictedDamageDescription	Le nombre total de points de dégâts infligés par des personnages
Modal/&StatSlainEnemiesTitle	Adversaires tués
Modal/&StatSlainEnemiesDescription	Le nombre d'adversaires achevés par ce personnage
Modal/&StatSustainedInjuriesTitle	Blessures subies
Modal/&StatSustainedInjuriesDescription	Le nombre total de points de vie perdus par ce personnage
Modal/&StatRestoredHealthTitle	Santé restaurée
Modal/&StatRestoredHealthDescription	Le nombre total de points de vie récupérés par ce personnage
Modal/&StatUsedMagicAndPowersTitle	Magie et pouvoirs utilisés
Modal/&StatUsedMagicAndPowersDescription	Le nombre total d'emplacements de sort et de charges de pouvoir utilisés par le personnage
Modal/&StatTravelledCellsTitle	Cases parcourues
Modal/&StatTravelledCellsDescription	Le nombre de cases, dans les 3 dimensions, sur lesquelles votre personnage a marché. Cela représente en quelque sorte le « kilométrage » du personnage
Modal/&StatKnockOutsTitle	KO
Modal/&StatKnockOutsDescription	Le nombre de fois où votre personnage est devenu mourant ou a perdu la vie
