MonsterAttacks/&Attack_Bite_Title	Morsure
MonsterAttacks/&Attack_Claws_Title	Griffes
MonsterAttacks/&Attack_DreadfulGlare_Title	Regard furieux
MonsterAttacks/&Attack_GhoulishClaw_Title	Griffe de goule
MonsterAttacks/&Attack_PoisonousBite_Title	Morsure venimeuse
MonsterAttacks/&Attack_RottingFist_Title	Poing putréfié
MonsterAttacks/&Attack_Shrieker_Description	Une lame maudite, forgée par les anciens forgerons des Sorr-Akkath dans les forges de Tirmar, et bénie par Sorr-Tarr.
MonsterAttacks/&Attack_Shrieker_Title	Lame Nekkesh
MonsterAttacks/&Attack_Spine_Title	Épine venimeuse
MonsterAttacks/&Attack_Spit_Title	Crachat
MonsterAttacks/&Attack_Talons_Title	Serres
MonsterAttacks/&Attack_Web_Title	Toile toxique
MonsterAttacks/&Attack_Slam_Title	Coup
MonsterAttacks/&Attack_Ghost_Blade_Title	Lame flétrissante
MonsterAttacks/&Attack_Ghost_Touch_Title	Toucher flétrissant
MonsterAttacks/&Attack_Beak_Title	Bec
MonsterAttacks/&Attack_SkeletalMarksman_Bow	Flèche nécrotique
MonsterAttacks/&Attack_SkeletalMarksman_Sword	Épée courte rouillée
MonsterAttacks/&Attack_Fire_Touch	Contact brûlant
MonsterAttacks/&Attack_Grimblade	Lame de glace
MonsterAttacks/&Attack_Grimblade_IceDagger	Dague de glace
MonsterAttacks/&Attack_AcidSpit	Crachat acide
MonsterAttacks/&Attack_AcidBite	Morsure acide
MonsterAttacks/&Attack_Freeze_Title	Gel
MonsterAttacks/&Attack_Fire_Title	Toucher
MonsterAttacks/&Attack_ShockingAntenna_Title	Antenne électrique
MonsterAttacks/&Attack_ShockingAntenna_Description	Les zélotes sont capables de lancer une puissante décharge électrique grâce à leurs antennes.
MonsterAttacks/&Attack_PheromoneSpray_Title	Vaporisation de phéromone
MonsterAttacks/&Attack_PheromoneSpray_Description	Les pèlerins sont capables d'asperger une cible avec une phéromone qui brûle la peau et rend tous ses alliés complètement fous.
MonsterAttacks/&Attack_Tail_Title	Queue
MonsterAttacks/&AttackNecroticBite_Title	Morsure nécrotique
MonsterAttacks/&Attack_Orenetis_Touch_Title	Contact électrique
MonsterAttacks/&Attack_Charge_Title	Charge
MonsterAttacks/&Attack_Gore_Title	Coup de corne
MonsterAttacks/&Attack_Necrotic_Axe_Title	Hache à deux mains nécrotique
MonsterAttacks/&Attack_WightLordSword_Title	Lame nécrotique
MonsterAttacks/&Attack_Beetle_Spray_Title	Vaporisation d'acide
MonsterAttacks/&Attack_Beetle_Spray_Description	Les punaises géantes peuvent cracher un petit nuage d'acide par leur appareil buccal.
MonsterAttacks/&Attack_TossRock_Title	Rocher
MonsterAttacks/&Attack_Punch_Title	Coup de poing
MonsterAttacks/&Attack_Slam_Description	Utiliser un coup
