NPC/&Kaseinax_Magister_Title	Le Magister
NPC/&MasterOfMagic_Title	Maître de la magie
NPC/&Merchant	Marchand
NPC/&NPC_Adam_the_twelfth_Title	Adam XII
NPC/&NPC_AkshaTitle	Aksha
NPC/&NPC_AlenaSwiftTitle	Alena Swift
NPC/&NPC_Angbi_Title	Angbi Kramsson
NPC/&NPC_AnnieBagmordahTitle	Annie Bagmordah
NPC/&NPC_ArwinMertonTitle	Arwin Merton
NPC/&NPC_ArwinMertonUnknownTitle	Ivrogne sans nom
NPC/&NPC_AtimaBladeburnTitle	Atima Brûlame
NPC/&NPC_BanditCrossbowDescription	Ce bandit se tient en retrait pour tirer avec une arbalète.
NPC/&NPC_BanditCrossbowTitle	Tirailleur bandit
NPC/&NPC_BanditDescription	Un guerrier malveillant utilisant un cimeterre.
NPC/&NPC_BanditDwarfDescription	Ce bandit, petit et costaud, manie un cimeterre.
NPC/&NPC_BanditDwarfTitle	Bandit nain
NPC/&NPC_BanditHalflingDescription	Ce bandit, court sur pattes et agile, porte une arbalète.
NPC/&NPC_BanditHalflingTitle	Bandit nain
NPC/&NPC_BanditLoanSharkDescription	Usurier
NPC/&NPC_BanditLoanSharkTitle	Usurier
NPC/&NPC_BanditQuartermasterTitle	Quartier-maître bandit
NPC/&NPC_BanditSwordsmanDescription	Ce bandit, grand et fort, manie une épée à deux mains.
NPC/&NPC_BanditSwordsmanTitle	Brigand
NPC/&NPC_BanditTitle	Bandit
NPC/&NPC_BericSunblazeTitle	Maréchal Beric Solembrase
NPC/&NPC_BerylStonebeardTitle	Beryl Barbepierre
NPC/&NPC_BradfordRavensworthTitle	Bradford Valcorbeaux
NPC/&NPC_CeiwadSilverflowerTitle	Princesse Ceiwad Fleur d'Argent
NPC/&NPC_CitizenTitle	Citoyen
NPC/&NPC_CityGuardTitle	Garde de la ville
NPC/&NPC_CoparannGuardTitle	Garde de Coparann
NPC/&NPC_DalonLarkTitle	Aumônier Dalon Lark
NPC/&NPC_DarikSunbirdTitle	Daliat Aiglardant
NPC/&NPC_DekTitle	Dek
NPC/&NPC_EdvanDanantarTitle	Grand maître Edvan Danantar
NPC/&NPC_Galar_Title	Galar Langdoré
NPC/&NPC_GorimIronsootTitle	Gorim Suiefer
NPC/&NPC_Gromnir_Title	Baron Gromnir Poinrocheux
NPC/&NPC_HalmanGormsdottirTitle	Chancelière Hertha Gormsdottir
NPC/&NPC_HalmanSummerTitle	Halman Summer
NPC/&NPC_HeatherMerranTitle	Capitaine Heather Merran
NPC/&NPC_HectorTitle	Hector
NPC/&NPC_HeddlonSurespellTitle	Heddlon Finsorcier
NPC/&NPC_Hieronymus	Héros sans nom
NPC/&NPC_HugoRequerTitle	Hugo Requer
NPC/&NPC_IdrielFairbrowTitle	Idriel Justefront
