NamedPlace/&AerElai_Title	AER-ELAI
NamedPlace/&BADLANDS_Title	LES BADLANDS
NamedPlace/&CopperheadRoad_Title	ROUTE DE LA\nVIPÈRE CUIVRÉE
NamedPlace/&DUCHY_caercyflen_Title	Duché de\nCaer Cyflen
NamedPlace/&DUCHY_easternforests_Title	Duché des\nForêts orientales
NamedPlace/&DUCHY_northernhills_Title	Duché des\nCollines du nord
NamedPlace/&DUCHY_northernplains_Title	Duché des\nPlaines du nord
NamedPlace/&DUCHY_southmarsh_Title	Duché des\nMarais du sud
NamedPlace/&DUCHY_westernfields_Title	Duché des\nChamps occidentaux
NamedPlace/&Einarium_Title	L'Einareum
NamedPlace/&GALLIVAN_Title	ROYAUME DE\nGALLIVAN
NamedPlace/&Kaupaapunki_Title	KAUPAAPUNKI
NamedPlace/&MASGARTH_Title	PRINCIPAUTÉ\nDE MASGARTH
NamedPlace/&NEWEMPIRE_Title	LE NOUVEL EMPIRE
NamedPlace/&Sandreed_Title	SANDREED
NamedPlace/&SNOWALLIANCE_Title	L'ALLIANCE DES NEIGES
NamedPlace/&MARCHES_Title	Les Marches
NamedPlace/&Jungle_Title	Jungle
NamedPlace/&City_Title	Monts Hyfryd
NamedPlace/&Swamp_Title	Marécages de Gessa
