Prop/&CandelabraTitle	Candélabre
Prop/&CandelabraDescription	Un candélabre décoratif
Prop/&ColumnATitle	Colonne A
Prop/&ColumnADescription	Une colonne décorative
Prop/&ColumnBTitle	Colonne B
Prop/&ColumnBDescription	Une colonne décorative
Prop/&FireBasinTitle	Bassin de feu
Prop/&FireBasinDescription	Un bassin ardent, qui éclaire son environnement
Prop/&BenchTitle	Banc
Prop/&BenchDescription	Un banc décoratif
Prop/&GuardrailsATitle	Rambardes
Prop/&GuardrailsADescription	Un muret pouvant faire office d'abri lourd
Prop/&DebrisATitle	Décombres
Prop/&DebrisADescription	Un tas de pierres empêchant tout mouvement
Prop/&GuardrailsBrokenATitle	Rambarde cassée A
Prop/&GuardrailsBrokenADescription	Un court muret brisé pouvant faire office d'abri lourd
Prop/&GuardrailsBrokenBTitle	Rambarde cassée B
Prop/&GuardrailsBrokenBDescription	Un long muret brisé pouvant faire office d'abri lourd
Prop/&GuardrailsLinkTitle	Pilier
Prop/&GuardrailsLinkDescription	Un pilier de muret
Prop/&GuardrailsStraightATitle	Rambarde droite A
Prop/&GuardrailsStraightADescription	Un court muret brisé pouvant faire office d'abri lourd
Prop/&GuardrailsStraightBTitle	Rambarde droite B
Prop/&GuardrailsStraightBDescription	Un long muret pouvant faire office d'abri lourd
Prop/&MausoleumTitle	Mausolée
Prop/&MausoleumDescription	Un monument funéraire inaccessible
Prop/&StatueTitle	Statue
Prop/&StatueDescription	Une statue décorative
Prop/&TombATitle	Tombe A
Prop/&TombADescription	Une tombe avec accès
Prop/&TombBTitle	Tombe B
Prop/&TombBDescription	Une tombe décorative empêchant tout mouvement
Prop/&TombCTitle	Tombe C
Prop/&VaseTitle	Vase
Prop/&VaseDescription	Une urne funéraire décorative
Prop/&WallBlockerATitle	Mur obstacle
Prop/&WallBlockerADescription	Un large mur bloquant un passage
Prop/&WallBlockerBTitle	Mur obstacle
Prop/&WallBlockerBDescription	Un large mur bloquant un passage
Prop/&WallChainTitle	Chaîne
Prop/&WallChainDescription	Une pièce de métal pendue au mur
Prop/&WallCrawl	Mur avec trou de souris
Prop/&WallCrawlDescription	Un large mur avec un grand trou par lequel il est possible de se faufiler
Prop/&WallTorchTitle	Torche murale
Prop/&WallTorchDescription	Une torche éternelle pouvant être accrochée à un mur
Prop/&BlockTitle	Bloc
Prop/&BlockDescription	Une structure solide pouvant être utilisée pour diviser une pièce en plusieurs parties
Prop/&AltarTitle	Autel
Prop/&AltarDescription	Une structure votive utilisée pour prier une divinité
Prop/&AlchemyTableTitle	Table d'alchimie
Prop/&ArmorStandTitle	Support d'armure
Prop/&BannerTitle	Bannière
Prop/&BarrelsTitle	Tonneaux
Prop/&BarrelStackTitle	Pile de tonneaux
Prop/&BedTitle	Lit
Prop/&BirdCageTitle	Volière
Prop/&BookShelfTitle	Bibliothèque
Prop/&BookStackTitle	Pile de livres
Prop/&CabinetTitle	Armoire
