Room/&Corner_12CTitle	Encoignure
Room/&Crossroad_12CTitle	Intersection
Room/&Hallway_12CTitle	Couloir
Room/&Line_12CTitle	Salle longue
Room/&Room_Big_24CTitle	Grande salle
Room/&Room_Small_24CTitle	Petite salle
Room/&Line_24CTitle	Couloir
Room/&Turn_12CTitle	Virage
Room/&Room_Big_48CTitle	Très grande pièce
Room/&Clearing_Large_24CTitle	Grande clairière
Room/&Clearing_Small_12CTitle	Petite clairière
Room/&Curve_12CTitle	Petite salle incurvée
Room/&Curve_24CTitle	Grande salle incurvée
Room/&Curve_U_24CTitle	Grande salle arrondie
Room/&Pond_Large_24CTitle	Grand étang
Room/&Pond_Small_12CTitle	Petit étang
Room/&Building_Lodge_24CTitle	Grande cabane
Room/&Building_Cabin_12CTitle	Petite hutte
Room/&Ruin_Large_24CTitle	Grande clairière parsemée de ruines
Room/&Ruin_Small_12CTitle	Petite clairière parsemée de ruines
Room/&Town_Large_24CTitle	Grand quartier
Room/&Town_Medium_12CTitle	Petit quartier
Room/&Town_Corner_12CTitle	Petit quartier pourvu de murs
Room/&Town_Entrance_24CTitle	Entrée de la ville
Room/&Town_Exterior_MediumTitle	Extérieur de petit quartier
Room/&Town_OuterWalls_MediumTitle	Petit quartier pourvu de murs
Room/&Big_HighGround_24CTitle	Grande salle avec une zone surélevée
Room/&Room_12CTitle	Petite salle
Room/&Room_High_12CTitle	Petite salle avec une zone surélevée
Room/&River_24CTitle	Rivière
Room/&Houses_12CTitle	Maisons
Room/&Lake_Title	Lac
