Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&AbilityCheckFormat	{0} d20 {1}
Rules/&AbilityCheckVersusDcFormat	{0} d20 {1} contre DD {2}
Rules/&ActivationTypeActionTitle	Action
Rules/&ActivationTypeBonusActionTitle	Act. bonus
Rules/&ActivationTypeHours1Title	1 heure
Rules/&ActivationTypeHours24Title	24 heures
Rules/&ActivationTypeMinute10Title	10 minutes
Rules/&ActivationTypeMinute1Title	1 minute
Rules/&ActivationTypeNoCostTitle	Act. gratuite
Rules/&ActivationTypeOnAttackHitTitle	À l'impact
Rules/&ActivationTypeOnAttackHitWithBowTitle	À l'impact (arc)
Rules/&ActivationTypePermanentUnlessIncapacitatedTitle	Permanente
Rules/&ActivationTypeReactionTitle	Réaction
Rules/&ActivationTypeRestDescription	Ce pouvoir peut être activé durant un repos
Rules/&ActivationTypeRestTitle	Repos
Rules/&AlignmentDescription	Une créature typique dans le monde du jeu possède un alignement qui décrit de façon générale ses attitudes morales et personnelles. L'alignement est une combinaison de deux facteurs : l'un identifie la morale (bien, mal, ou neutre), et l'autre décrit les attitudes envers la société et l'ordre (loyal, chaotique, ou neutre).
Rules/&AlignmentTitle	Alignement
Rules/&AlterationFormExtinguishFireFormat	Éteint le feu
Rules/&AlterationFormExtinguishLightFormat	Éteint les lumières
Rules/&AlterationFormRemoveDarknessFormat	Dissipe les ténèbres
Rules/&AlterationFormRevealTrapFormat	Révèle les pièges
Rules/&AlterationFormUnlockFormat	Déverrouille un objet ciblé
Rules/&ChallengeDifficultyDeadlyTitle	Mortel
Rules/&ChallengeDifficultyEasyTitle	Facile
Rules/&ChallengeDifficultyHardTitle	Difficile
Rules/&ChallengeDifficultyMediumTitle	Intermédiaire
Rules/&ConditionAcidifiedDescription	Subit des dégâts acides à chaque tour jusqu'à ce que l'effet prenne fin.
Rules/&ConditionAcidifiedTitle	Acidifié
Rules/&ConditionAidedDescription	Les points de vie (max/actuels) augmentent de 5 + progression.
Rules/&ConditionAidedTitle	Aidé
Rules/&ConditionAntitoxin	Avantage lors des jets de sauvegarde de Constitution contre le poison.
Rules/&ConditionAsleepDescription	Incapable d'agir jusqu'à son réveil
Rules/&ConditionAsleepTitle	Endormi
Rules/&ConditionAuraOfCourageDescription	Insensible à la condition 'effrayé'.
Rules/&ConditionAuraOfCourageTitle	Aura de courage
Rules/&ConditionAuraOfProtectionDescription	Octroie un bonus de modificateur +CHA aux jets de sauvegarde d'une créature.
Rules/&ConditionAuraOfProtectionTitle	Aura de protection
Rules/&ConditionBackFromTheDead1Description	-1 de pénalité sur les jets d'attaque, les jets de sauvegarde et les jets de caractéristique. Effectuez un repos long pour réduire la pénalité.
Rules/&ConditionBackFromTheDead2Description	-2 de pénalité sur les jets d'attaque, les jets de sauvegarde et les jets de caractéristique. Effectuez un repos long pour réduire la pénalité.
Rules/&ConditionBackFromTheDead3Description	-3 de pénalité sur les jets d'attaque, les jets de sauvegarde et les jets de caractéristique. Effectuez un repos long pour réduire la pénalité.
Rules/&ConditionBackFromTheDead4Description	-4 de pénalité sur les jets d'attaque, les jets de sauvegarde et les jets de caractéristique. Effectuez un repos long pour réduire la pénalité.
Rules/&ConditionBackFromTheDeadTitle	De retour d'entre les morts
