Setting/&ApplyDescription	Appliquez les changements sélectionnés.
Setting/&ApplyNoChangeDescription	Les paramètres n'ont pas été modifiés.
Setting/&ApplyTitle	Appliquer
Setting/&AutosaveCountDescription	Le nombre de sauvegardes automatiques conservées.
Setting/&AutosaveCountTitle	Nombre de sauvegardes automatiques
Setting/&CameraModeDescription	Sélectionne le mode de caméra d'exploration.
Setting/&CameraModeElasticDescription	La caméra d'exploration peut s'éloigner de votre groupe, mais reviendra automatiquement en mode Suivi après quelques secondes.
Setting/&CameraModeElasticTitle	Retour automatique
Setting/&CameraModeFollowDescription	La caméra d'exploration est verrouillée sur votre groupe.
Setting/&CameraModeFollowTitle	Suivi
Setting/&CameraModeFreeDescription	Vous pouvez déplacer la caméra d'exploration comme vous l'entendez, en dehors du brouillard.
Setting/&CameraModeFreeTitle	Libre
Setting/&CameraModeTitle	Type de caméra
Setting/&ConfineCursorToWindowDescription	Si cette option est activée, le curseur ne peut pas quitter la fenêtre de jeu, à moins qu'un autre écran ne soit sélectionné.
Setting/&ConfineCursorToWindowTitle	Verrouillage du curseur dans la fenêtre de jeu
Setting/&ContextualCameraFrequencyLevelDescription	Paramétrez la fréquence à laquelle la caméra se rapproche pour se focaliser sur des actions importantes.
Setting/&ContextualCameraFrequencyLevelTitle	Fréquence de la caméra contextuelle
Setting/&DamageAcidStyleDescription	Style de dé utilisé pour infliger ce type de dégâts.
Setting/&DamageAcidStyleTitle	Style : dégâts acides
Setting/&DamageBludgeoningStyleDescription	Style de dé utilisé pour infliger ce type de dégâts.
Setting/&DamageBludgeoningStyleTitle	Style : dégâts contondants
Setting/&DamageColdStyleDescription	Style de dé utilisé pour infliger ce type de dégâts.
Setting/&DamageColdStyleTitle	Style : dégâts de froid
Setting/&DamageFireStyleDescription	Style de dé utilisé pour infliger ce type de dégâts.
Setting/&DamageFireStyleTitle	Style : dégâts de feu
Setting/&DamageForceStyleDescription	Style de dé utilisé pour infliger ce type de dégâts.
Setting/&DamageForceStyleTitle	Style : dégâts de force
Setting/&DamageLightningStyleDescription	Style de dé utilisé pour infliger ce type de dégâts.
Setting/&DamageLightningStyleTitle	Style : dégâts de foudre
Setting/&DamageNecroticStyleDescription	Style de dé utilisé pour infliger ce type de dégâts.
Setting/&DamageNecroticStyleTitle	Style : dégâts nécrotiques
Setting/&DamagePiercingStyleDescription	Style de dé utilisé pour infliger ce type de dégâts.
Setting/&DamagePiercingStyleTitle	Style : dégâts perforants
Setting/&DamagePoisonStyleDescription	Style de dé utilisé pour infliger ce type de dégâts.
Setting/&DamagePoisonStyleTitle	Style : dégâts de poison
