Tutorial/&Factions_Title	Relations avec les factions
Tutorial/&Factions_Description	Les <b>cinq</b> factions du Conseil ont des représentants à Caer Cyflen. Ces derniers peuvent vous vendre de l'équipement, des sorts, et bien d'autres choses. Améliorez vos relations avec une faction, et ils vous proposeront davantage de produits à des prix plus compétitifs.\nCependant, ces factions sont toutes en concurrence, vous ne pourrez donc pas être dans les bonnes grâces de toutes. Vous aurez l'opportunité d'améliorer vos relations avec les différentes factions au cours de diverses quêtes secondaires.\nGardez un œil sur la section Faction du <b>Journal</b>.
Tutorial/&LightAsAWeapon_Title	Allumez la lumière !
Tutorial/&PartyStash_Title	Magot du groupe
Tutorial/&PartyStash_Description	Vous pouvez utiliser librement ce coffre. Personne ne peut le piller, vous pouvez y cacher jusqu'à 50 objets. De nombreux aventuriers utilisent ce service des Ferrailleurs pour conserver certaines de leurs affaires.
Tutorial/&QuickShopping_Title	Achat rapide
Tutorial/&QuickShopping_Description	Près d'un marchand, vous trouverez un système d'achat rapide. Il permet d'ouvrir immédiatement l'interface du marchand sans avoir à discuter avec lui. Vous pouvez toujours parler au marchand PNJ si besoin.
Tutorial/&LightAsAWeapon_Description	Rappelez-vous que la lumière est essentielle pour combattre certains ennemis de Solasta.\nLes Soraks, par exemple, sont plus puissants dans la lumière faible, et encore plus dans les ténèbres.\nC'est essentiel à votre survie. Utilisez des sorts de lumière et des torches. Cherchez des supports de torche pour éclairer votre environnement !
Tutorial/&DiffSettings_Title	Paramètres de difficultés
Tutorial/&DiffSettings_Description	Vous pouvez facilement modifier les paramètres de difficulté du jeu. Ouvrez simplement le menu, modifiez les paramètres, et reprenez la partie : tous vos changements seront appliqués.\n\nVous pouvez choisir des paramètres de difficulté prédéfinis ou parcourir les options détaillées pour une expérience de jeu personnalisée.
Tutorial/&Tutorial_Highlight_Title	Mise en surbrillance des objets interactifs
Tutorial/&Tutorial_Highlight_Description	Maintenez la touche ALT pour mettre différents objets interactifs en surbrillance : portes, coffres, etc.
Tutorial/&EgoPuzzle_Title	Le puzzle exaspérant
Tutorial/&EgoPuzzle_Description	Attention, cette section du niveau est destinée aux amateurs de puzzle ! Si vous prenez le raccourci de droite, vous vivrez l'aventure normalement. En revanche, si vous souhaitez relever un défi rotatif haut en couleur et en 3D, allez à gauche juste après le butin de L'esprit du maître. Si vous changez d'avis, vous devrez recharger votre partie. N'ayez crainte, nous venons tout juste de faire une sauvegarde automatique pour vous.
Tutorial/&PartyStash_Description_DLC3	Vous pouvez utiliser librement ce coffre. Personne ne peut le piller, et vous pouvez y cacher jusqu'à 50 objets.
Tutorial/&Tutorial_HighlightXbox_Description	Maintenez <sprite index={8}> et <sprite index={9}> en même temps pour mettre différents objets interactifs en surbrillance : portes, coffres, etc.
