Tutorials/&Tuto_DLCFaction_Orenetis_Title	Faction : le Dominion
Tutorials/&Tuto_DLCFaction_Orenetis_Description	Le seigneur protecteur Orenetis règne sur la vallée d'une main de fer. Servez-le, et il vous offrira tout ce que vous désirez en vous couvrant de richesses ; mais vous devrez en payer le prix d'une autre manière. Il n'a aucune tolérance pour la désobéissance, et il est capable de vous pousser à commettre des actes qui vous paraîtront inacceptables.
Tutorials/&Tuto_DLCFaction_Forge_Title	Faction : la Forge
Tutorials/&Tuto_DLCFaction_Forge_Description	Comme les pilleurs dans Crown of the Magister, la Forge récupère du butin pour vous afin que vous n'ayez pas à vous soucier de le transporter. Elle propose aussi des trésors magiques et financiers de toute la vallée, et d'autres secrets uniques bien à elle, dont des recettes rares de fabrication d'objets extraordinaires.
Tutorials/&Tuto_DLCFaction_Rebellion_Title	Faction : la Rébellion
Tutorials/&Tuto_DLCFaction_Rebellion_Description	La Rébellion est un groupe organisé complotant pour renverser Orenetis et son Dominion. Ses membres vous demanderont d'affronter publiquement l'autorité et de risquer votre vie pour leur cause. Avec un peu de chance, ils vous fourniront en échange des informations sur Marin Ving et vous aideront à fuir la vallée. Ils ont également des trésors magiques anciens à vous montrer.
Tutorials/&Tuto_DLCFaction_People_Title	Faction : le peuple
Tutorials/&Tuto_DLCFaction_People_Description	Le peuple de la vallée désire simplement vivre sa vie sans trop souffrir de la tyrannie d'Orenetis. Les habitants vous demanderont de leur rendre la vie plus facile, mais ils n'ont pas grand-chose à offrir en échange. D'un autre côté, ils sont les citoyens de ce lieu, plus nombreux que toutes les armées du Dominion.
Tutorials/&Tuto_DLCFaction_Mask_Title	Faction : le Masque
Tutorials/&Tuto_DLCFaction_Mask_Description	Le Masque est une organisation très secrète. Ses desseins ne sont pas clairs, bien que ses membres semblent graviter autour d'un guide aspirant au pouvoir. Ils vous demanderont de semer la discorde et le chaos dans la vallée, et ils offrent en échange… Eh bien, ça non plus, ce n'est pas clair.
Tutorials/&Tuto_DLC_Companions	Compagnons
Tutorials/&Tuto_DLC_Companions_Description	Dans la vallée perdue, tous les PNJ peuvent mourir. Certains peuvent temporairement rejoindre votre groupe, et si vous les laissez mourir, vous pouvez continuer de jouer normalement.\n \n Vous ne pouvez embaucher qu'un seul membre de la compagnie de Helia Justelame, même si vous en avez débloqué plus.
Tutorials/&Tutorial_DLC_PushTree_Title	Pousser des objets mobiles
Tutorials/&Tutorial_DLC_PushTree_Description	Assez fréquemment dans vos aventures, vous aurez besoin de pousser des objets mobiles pour dégager le chemin de vos héros. Les arbres de la jungle sont un exemple typique, mais vous pouvez également pousser des rochers, des colonnes, et ainsi de suite.\n \n Certains chemins resteront impraticables si vous n'avez pas la compétence Athlétisme, ou des sorts tels que saut, vol ou téléporter.
Tutorials/&Tutorial_DLC_ShootTree_Title	Déclencheurs à distance
Tutorials/&Tutorial_DLC_ShootTree_Description	La plupart de ces objets interactifs peuvent être déclenchés à distance en utilisant une arme à distance comme un arc, une arbalète, ou même une fléchette. Vous pouvez également utiliser des sorts mineurs d'attaque.\n Rappelez-vous cependant que vous devez quand même toucher votre cible pour la déclencher !
Tutorials/&Tutorial_DLC_HiddenMinorGate_Title	Portail magique dissimulé
Tutorials/&Tutorial_DLC_HiddenMinorGate_Description	Le Portail magique est dissimulé par ce feuillage. Détruisez celui-ci pour accéder au portail et empruntez-le.
Tutorials/&Tuto_Attack_Neutral_Title	Attaquer des personnages neutres
Tutorials/&Tuto_Attack_Neutral_Description	Pour attaquer un personnage neutre, activez le mode Prudence, approchez-vous de la cible et sélectionnez une option d'attaque ou un sort. Visez le personnage cible, puis confirmez. Si la cible est amicale, cela nuira à votre relation, et ce personnage vous en voudra peut-être au point de se venger.
