Validator/&ParameterMonsterTitle	Monstre
Validator/&ParameterMonsterDescription	Sélectionne un monstre pour ce valideur
Validator/&ParameterItemTitle	Objet
Validator/&ParameterItemDescription	Sélectionne un objet pour ce valideur
Validator/&ParameterMonsterQuantityTitle	Combien ?
Validator/&ParameterMonsterQuantityDescription	Détermine la quantité de l'élément spécifié
Validator/&ParameterItemQuantityTitle	Combien ?
Validator/&ParameterItemQuantityDescription	Détermine la quantité de l'élément spécifié
Validator/&ParameterLocationTitle	Lieu
Validator/&ParameterLocationDescription	Le titre du lieu à suivre
Validator/&ParameterRestTypeTitle	Court = 0 Long = 1
Validator/&ParameterRestTypeDescription	Le type de repos attendu
Validator/&ParameterSpellNameTitle	Nom du sort
Validator/&ParameterSpellNameDescription	Le nom interne exact (en anglais et en majuscules) du sort à spécifier
Validator/&ParameterCompletionDelayTitle	Délai (s)
Validator/&ParameterCompletionDelayDescription	Le délai en secondes avant l'achèvement. Les valeurs décimales sont autorisées
Validator/&ParameterVariableTitle	Variable
Validator/&ParameterVariableDescription	La variable à tester
Validator/&ParameterVariableTestVariableTitle	Variable
Validator/&ParameterVariableTestVariableDescription	La variable à évaluer
Validator/&ParameterVariableTestTypeTitle	Type de test
Validator/&ParameterVariableTestTypeDescription	Le type de test à effectuer sur la variable
Validator/&ParameterVariableTestTypeIsEqualToTitle	Est égale à
Validator/&ParameterVariableTestTypeIsEqualToDescription	Valide si la valeur de la variable correspond à la valeur spécifiée
Validator/&ParameterVariableTestTypeIsDifferentFromTitle	Est différente de
Validator/&ParameterVariableTestTypeIsDifferentFromDescription	Valide si la valeur de la variable est différente de la valeur spécifiée
Validator/&ParameterVariableTestTypeIsGreaterThanTitle	Est supérieure à
Validator/&ParameterVariableTestTypeIsGreaterThanDescription	Valide si la valeur de la variable est supérieure ou égale à la valeur spécifiée
Validator/&ParameterVariableTestTypeIsGreaterStrictlyThanTitle	Est strictement supérieure à
Validator/&ParameterVariableTestTypeIsGreaterStrictlyThanDescription	Valide si la valeur de la variable est strictement supérieure à la valeur spécifiée
Validator/&ParameterVariableTestTypeInferiorToTitle	Est inférieure à
Validator/&ParameterVariableTestTypeInferiorToDescription	Valide si la valeur de la variable est inférieure ou égale à la valeur spécifiée
Validator/&ParameterVariableTestTypeIsInferiorStrictlyToTitle	Est strictement inférieure à
Validator/&ParameterVariableTestTypeIsInferiorStrictlyToDescription	Valide si la valeur de la variable est strictement inférieure à la valeur spécifiée
Validator/&ParameterVariableTestValueIntTitle	Valeur de test
Validator/&ParameterVariableTestValueIntDescription	La valeur entière à comparer dans le test
Validator/&ParameterVariableTestValueBoolTitle	Valeur de test
Validator/&ParameterVariableTestValueBoolDescription	La valeur booléenne à comparer dans le test
Validator/&ParameterVariableTestValueStringTitle	Valeur de test
Validator/&ParameterVariableTestValueStringDescription	La valeur en chaîne de caractères à comparer dans le test
