VisualMood/&CryptTitle	Crypte
VisualMood/&InfernoTitle	Brasier
VisualMood/&StrangeTitle	Mystère
VisualMood/&ClearOutdoorTitle	Temps dégagé
VisualMood/&AcidTitle	Acide
VisualMood/&BluishTitle	Bleutée
VisualMood/&CalmTitle	Calme
VisualMood/&ColdTitle	Froide
VisualMood/&DevilishTitle	Diabolique
VisualMood/&DullTitle	Terne
VisualMood/&GloomyTitle	Sombre
VisualMood/&GoldenTitle	Dorée
VisualMood/&GreenishTitle	Verdâtre
VisualMood/&LovelyTitle	Agréable
VisualMood/&MossyTitle	Moussue
VisualMood/&MuddyTitle	Boueuse
VisualMood/&MysticTitle	Mystique
VisualMood/&OcherTitle	Ocre
VisualMood/&PastTitle	Rétro
VisualMood/&PichBlackTitle	Noir complet
VisualMood/&PurplishTitle	Pourpre
VisualMood/&RadiantTitle	Lumineuse
VisualMood/&SpookyTitle	Effrayante
VisualMood/&StenchTitle	Nauséabonde
VisualMood/&ToxicTitle	Toxique
VisualMood/&WarmTitle	Chaude
