FightingStyle/&ArcheryDescription	You gain a +2 bonus to attack rolls with ranged weapons.
FightingStyle/&ArcheryTitle	Archery
FightingStyle/&DefenseDescription	While you are wearing armor, you gain a +1 bonus to AC.
FightingStyle/&DefenseTitle	Defense
FightingStyle/&DuelingDescription	When you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon.
FightingStyle/&DuelingTitle	Dueling
FightingStyle/&GreatWeaponDescription	When you roll a 1 or 2 on a damage die for an attack you make with a melee weapon that you are wielding with two hands, you can reroll the die. You must use the new roll, even if it is a 1 or a 2. The weapon must have the two-handed or versatile property for you to gain this benefit.
FightingStyle/&GreatWeaponTitle	Great Weapon Fighting
FightingStyle/&ProtectionDescription	When a creature you can see attacks a target other than you that is within 5 feet of you, you can use your reaction to impose disadvantage on the attack roll. You must be wielding a shield.
FightingStyle/&ProtectionTitle	Protection
FightingStyle/&TwoWeaponDescription	When you engage in two-weapon fighting, you can add your ability modifier to the damage of the second attack.
FightingStyle/&TwoWeaponTitle	Two Weapon Fighting
