LootPack/&CR0_Loot_PackTitle	CR0 Loot
LootPack/&CR1_Loot_PackTitle	CR1 Loot
LootPack/&CR2_Loot_PackTitle	CR2 Loot
LootPack/&CR3_Loot_PackTitle	CR3 Loot
LootPack/&CR4_Loot_PackTitle	CR4 Loot
LootPack/&CR5_Loot_PackTitle	CR5 Loot
LootPack/&1D2Scrolls	1D2 Scrolls
LootPack/&1Potion1Poison	1 Potion + 1 Poison
LootPack/&1WondrousItem	1 Wondrous Item
LootPack/&1Recipe1Ingredient	1 Recipe + 1 Ingredient
LootPack/&1D3Food1D3MundaneItems	1d3 Food + 1\d3 Mundane Items
LootPack/&1LegendaryItem	1 Legendary Item
LootPack/&1MagicArmorPlus1	1 Magic Armor +1
LootPack/&1MagicArmorPlus2	1 Magic Armor +2
LootPack/&1MagicWeaponPlus1	1 Magic Weapon +1
LootPack/&1MagicWeaponPlus2	1 Magic Weapon +2
LootPack/&RandomAmmo	Random Ammunition
