NPC/&Kaseinax_Magister_Title	The Magister
NPC/&MasterOfMagic_Title	Master of Magic
NPC/&Merchant	Merchant
NPC/&NPC_Adam_the_twelfth_Title	Adam the Twelfth
NPC/&NPC_AkshaTitle	Aksha
NPC/&NPC_AlenaSwiftTitle	Alena Swift
NPC/&NPC_Angbi_Title	Angbi Kramsson
NPC/&NPC_AnnieBagmordahTitle	Annie Bagmordah
NPC/&NPC_ArwinMertonTitle	Arwin Merton
NPC/&NPC_ArwinMertonUnknownTitle	Unknown Drunk
NPC/&NPC_AtimaBladeburnTitle	Atima Bladeburn
NPC/&NPC_BanditCrossbowDescription	This bandit stands back to shoot with a crossbow.
NPC/&NPC_BanditCrossbowTitle	Bandit Skirmisher
NPC/&NPC_BanditDescription	A malevolent fighter using a scimitar.
NPC/&NPC_BanditDwarfDescription	Short and stout, this bandit wields a scimitar.
NPC/&NPC_BanditDwarfTitle	Dwarf Bandit
NPC/&NPC_BanditHalflingDescription	Short and nimble, this bandit carries a crossbow.
NPC/&NPC_BanditHalflingTitle	Dwarf Bandit
NPC/&NPC_BanditLoanSharkDescription	Loan Shark
NPC/&NPC_BanditLoanSharkTitle	Loan Shark
NPC/&NPC_BanditQuartermasterTitle	Bandit Quartermaster
NPC/&NPC_BanditSwordsmanDescription	Tall and powerful, this bandit wields a greatsword.
NPC/&NPC_BanditSwordsmanTitle	Highwayman
NPC/&NPC_BanditTitle	Bandit
NPC/&NPC_BericSunblazeTitle	Marshal Beric Sunblaze
NPC/&NPC_BerylStonebeardTitle	Beryl Stonebeard
NPC/&NPC_BradfordRavensworthTitle	Bradford Ravensworth
NPC/&NPC_CeiwadSilverflowerTitle	Princess Ceiwad Silverflower
NPC/&NPC_CitizenTitle	Citizen
NPC/&NPC_CityGuardTitle	City Guard
NPC/&NPC_CoparannGuardTitle	Coparann Guard
NPC/&NPC_DalonLarkTitle	Chaplain Dalon Lark
NPC/&NPC_DarikSunbirdTitle	Daliat Sunbird
NPC/&NPC_DekTitle	Dek
NPC/&NPC_EdvanDanantarTitle	Grandmaster Edvan Danantar
NPC/&NPC_Galar_Title	Galar Goldentongue
NPC/&NPC_GorimIronsootTitle	Gorim Ironsoot
NPC/&NPC_Gromnir_Title	Baron Gromnir Stonefist
NPC/&NPC_HalmanGormsdottirTitle	Chancellor Hertha Gormsdottir
NPC/&NPC_HalmanSummerTitle	Halman Summer
NPC/&NPC_HeatherMerranTitle	Captain Heather Merran
NPC/&NPC_HectorTitle	Hector
NPC/&NPC_HeddlonSurespellTitle	Heddlon Surespell
NPC/&NPC_Hieronymus	Unknown Hero
NPC/&NPC_HugoRequerTitle	Hugo Requer
NPC/&NPC_IdrielFairbrowTitle	Idriel Fairbrow
NPC/&NPC_IlastarKeenmindAirgetineDescription	Ilastar is a member of the noble house Airgetine, whose forefathers were wizards of the Arcaneum. As with many Imperial families of that time, his family was originally a minor branch of the clan and began to rise to prominence after the Cataclysm, as it backed the first Emperor ("The Wailing Emperor") who took the rough decisions ultimately leading to the survival of Civilization and to the rise of the New Empire. More than anybody else of his generation, Ilastar is aware of what was lost and was a major proponent of participating to the Council, in the hope of gathering magical materials and writings expanding his knowledge of magic and thus giving the empire an edge in future conflicts. His main worry is that historical documents come to the fore, revealing some truths better left alone. 
NPC/&NPC_IlastarKeenmindAirgetineTitle	Master Ilastar Keenmind Airgetine
NPC/&NPC_IolairFaisechTitle	Dean Iolair Faisech
NPC/&NPC_JorielFoxeyeTitle	Joriel Foxeye
NPC/&NPC_KarelMartelTitle	Karel Martel
NPC/&NPC_Kiaradth_Bright_SparkTitle	Mayor Kiaradth Bright-Spark
NPC/&NPC_Kythaela_Title	Kythaela
NPC/&NPC_LeiraKeanDescription	Leira Kean was born and raised in Heart of Valor, the city built around the Einareum. She discovered Einar fairly early in her life and many thought she would make a fine priestess. Instead she chose the path of the paladin, pledging her life to protect Solasta from all Sorr-Akkath-related dangers. Leira is a dedicated paladin with seriousness etched in her face. She is well-versed in history and fluent in ancient Tirmarian. She is a good fighter but also a keen judge of character. She is just and she listens and decides based on facts, not on hearsay or rumor. Those traits led to her nomination on the Council as Oathkeeper. 
NPC/&NPC_LeiraKeanTitle	Protector Leira Kean
NPC/&NPC_LenaTitle	Lena
NPC/&NPC_LiamTitle	Liam
NPC/&NPC_LisbathTownsendTitle	Lisbath Townsend
NPC/&NPC_Lizzaria_Title	Lizzaria of Grimhold
NPC/&NPC_LordCarranTitle	Lord Carran
NPC/&NPC_MaddyGreenisleTitle	Maddy Greenisle
NPC/&NPC_Mardracht_Title	Master Mardracht
NPC/&NPC_MedwalStrongfireTitle	Medwal Strongfire
NPC/&NPC_MordenKyreTitle	Morden Kyre
NPC/&NPC_NecromancerAcolyteTitle	Necromancer Acolyte
NPC/&NPC_NecromancerTitle	Necromancer
NPC/&NPC_Nikannen_Title	Joris Nikannen
NPC/&NPC_Priest_Of_ArunTitle	Priest of Arun
NPC/&NPC_Priest_Of_EinarTitle	Priest of Einar
NPC/&NPC_Priest_Of_MaraikeTitle	Priest of Maraike
NPC/&NPC_Priest_Of_PakriTitle	Priestess of Pakri
NPC/&NPC_RazanTitle	Razan
NPC/&NPC_RobarSharpTitle	Robar Sharp
NPC/&NPC_Talbut_Title	Talbut the Grey
NPC/&NPC_TEMP_Quest_GiverTitle	TEMP_Quest_Giver
NPC/&NPC_VerissaIronshellTitle	Captain Verissa Ironshell
NPC/&NPC_Wilf_Title	Wilf Warmhearth
NPC/&NPC_NecromancerBoneKeepTitle	Dark Apprentice
NPC/&NPC_NecromancerBoneKeepDescription	A dangerous but not yet fully learned necromancer, probably a student of a more experienced master residing nearby.
NPC/&Milan_ScavengersTitle	Milan
NPC/&NPC_Ceannard_Title	Ceannard
NPC/&NPC_Kebra_Title	Kebra
NPC/&NPC_Brok_Title	Brok
NPC/&NPC_Arbal_Title	Arbal
NPC/&NPC_Mildred_Title	Mildred Warmhearth
NPC/&NPC_Maid_Title	Maid
NPC/&NPC_CoparannGuardSorakAgentTitle	Corrupted Guard
NPC/&NPC_Gromnir_SorakTitle	Sorak Infiltrator
NPC/&NPC_Spectral_Servant_Title	Spectral Servant
NPC/&NPC_Bitterroot_Title	Bitterroot
NPC/&NPC_Dackin_Title	Master Dackin
NPC/&NPC_Adria_Title	Adria
NPC/&NPC_Lyria_Title	Lyria
NPC/&NPC_Drew_Title	Drew
NPC/&NPC_Notary_Title	Notary
NPC/&NPC_MajorGateOfficer_Title	Major Gate Officer
NPC/&NPC_MajorGateOfficer_Description	Interact to use the Major Gate.
NPC/&NPC_SpeakRavensworth_Description	Speak to enter the residence.
NPC/&NPC_Edrof_Title	Edrof
NPC/&NPC_Radulf_Title	Radulf
NPC/&NPC_Urka_Title	Urka
NPC/&NPC_Galaefin	Master Galeafin
NPC/&NPC_GalaefinsButler	Butler
NPC/&NPC_Illoreth	Illoreth
NPC/&NPC_Stig_Title	Stig
NPC/&NPC_CaporalDan_Title	Corporal Dann
NPC/&NPC_PrivateGarth_Title	Private Garth
NPC/&NPC_ShieldguardTradtsson_Title	Shieldguard Tradtsson
NPC/&NPC_PrivateRodric_Title	Rodric
NPC/&NPC_Bertram	Bertram
NPC/&NPC_CaerLemGarrison	Council Trooper
NPC/&NPC_Priest_Of_MisayeTitle	Nel
NPC/&NPC_Coparann_Archivist_Title	Archivist
NPC/&NPC_Arrok_Title	Arrok
NPC/&NPC_Joran_Title	Joran Crawley
NPC/&NPC_GenericSorakInfiltrator_Title	Sorak Infiltrator
NPC/&NPC_Belmont_Title	Lord Belmont
NPC/&NPC_CityGuard_Embassy_Empire_Title	New Empire Embassy Guard
NPC/&NPC_CityGuard_Embassy_Gallivan_Title	Gallivan Embassy Guard
NPC/&NPC_Priest_Of_MisayeDescription	Priest of Misaye
NPC/&NPC_Scavenger_TOM_Title	Ramin Blake
NPC/&NPC_Council_Trooper_Title	Legacy Council Trooper
NPC/&GunnarElderen_Title	Gunnar Elderen
NPC/&NPC_Galaefin_Plaque_Title	Master Galeafin, philosopher and peer of the kingdom.
NPC/&AllanMiller_Title	Allan Miller
NPC/&NPC_Backer_Ron_Title	Ron
NPC/&NPC_Backer_Zhoron_Title	Zhoron
NPC/&NPC_Estalla_Title	Estalla Mertvykh
NPC/&NPC_Rogrok_Title	Rogrok
NPC/&NPC_Rogrok_Description	A chieftain who decided to stop fighting with an axe to become a merchant.
NPC/&NPC_Circe_Title	Circe Gerardoirin
NPC/&NPC_Circe_Description	This mischievous lady moved here to explore and find all the books she could.
NPC/&NPC_Mogo_Title	Mogo the Poor
NPC/&NPC_Laethar_Title	Emperor Laethar
NPC/&NPC_Magister_Title	Kaseinax
NPC/&NPC_Adrasteia_Title	Adrasteia
NPC/&NPC_DLC_Mask_Fighter_Title	Mask Fighter
NPC/&NPC_DLC_Mask_Fighter_Description	A combatant serving the mysterious organization known as The Mask.
NPC/&NPC_DLC_Mask_Cleric_Title	Mask Cleric
NPC/&NPC_DLC_Mask_Cleric_Description	A cleric serving the mysterious organization known as The Mask.
NPC/&NPC_DLC_Mask_Spy_Title	Mask Spy
NPC/&NPC_DLC_Mask_Spy_Description	A spy serving the mysterious organization known as The Mask.
NPC/&NPC_DLC_Rebellion_Marksman_Title	Rebel Marksman
NPC/&NPC_DLC_Rebellion_Marksman_Description	An archer of the rebel army.
NPC/&NPC_DLC_Tower_Watchman_Title	Watchman
NPC/&NPC_DLC_Tower_Watchman_Description	A soldier posted to stop intruders.
NPC/&NPC_DLC_Praetorian_Title	Praetorian
NPC/&NPC_DLC_Praetorian_Description	An elite soldier serving Orenetis as a personal guard.
NPC/&NPC_DLC_ShoutingStone	Shouting Stone
NPC/&NPC_DLC_ShoutingStone_Description	You don't want to know.
NPC/&NPC_DLC_TownCrier	Town Crier
NPC/&NPC_DLC_TownCrier_Description	An official speaker of the Dominion who announces the latest news.
NPC/&NPC_Hendeolas_Title	Hendeolas Anfarel
NPC/&NPC_Hendeolas_Description	The leader of the Rebellion is actually... a mummy lord!
NPC/&NPC_Orenetis_RealName	Periphanos the Inquisitive Mind
NPC/&Guard_Captain_Title	Guard Captain
NPC/&Guard_Captain_Description	An officer in the complex's guard.
NPC/&Guard_Elite_Title	Elite Guard
NPC/&Guard_Elite_Description	A superior quality guard.
NPC/&Guard_Recruit_Title	Guard
NPC/&Guard_Recruit_Description	A guard.
NPC/&Guard_Trainer_Title	Guard Trainer
NPC/&Guard_Trainer_Description	A skilled trainer serving the complex's guard.
NPC/&Guard_Watcher_Title	Guard Watcher
NPC/&Guard_Watcher_Description	A sentry serving the complex's guard.
NPC/&Mana_Crafter_Title	Mana Crafter
NPC/&Mana_Scholar_Title	Mana Scholar
NPC/&Mana_Scientist_Title	Mana Scientist
NPC/&NPC_Auroc	Auroc
NPC/&NPC_Lorson	Lorson
NPC/&NPC_Sima_Temple	Sima Temple
NPC/&NPC_Ellaria_Anfarel	Ellaria Anfarel
NPC/&NPC_Renno_Highwater	Renno Highwater
NPC/&NPC_Store_Reya	Clerical services
NPC/&NPC_Marches_01_Title	Lord Hammond
NPC/&NPC_Marches_02_Title	Helia Fairblade
NPC/&NPC_Marches_03_Title	Leyrin Catpaw
NPC/&NPC_Marches_04_Title	Krim Sunsail
NPC/&NPC_Valley_Telerien_Purevoice_Title	Telerien Purevoice
NPC/&NPC_Valley_Samko_Flint_Title	Samko Flint
NPC/&NPC_Forge_Hasdrubal_Title	Hasdrubal
NPC/&NPC_Forge_Ravener_Title	Ravener
NPC/&NPC_Forge_Charmer_Title	Charmer
NPC/&NPC_Forge_Cook_Title	Badri
NPC/&NPC_Swamp_HillGiant_Title	Rugan
NPC/&NPC_Swamp_Apprentice_Title	Lysantir
NPC/&NPC_ThePeople_Henrik	Henrik Redhand
NPC/&NPC_ThePeople_Rose	Rose Fairwind
NPC/&NPC_ThePeople_Reya	Reya Schildberg
NPC/&NPC_ThePeople_Karelia	Karelia Snowfox
NPC/&NPC_Orenetis	Orenetis
NPC/&NPC_Orenetis_Malariel	Malariel Brogarad
NPC/&NPC_MarinVing	Marin Ving
NPC/&NPC_VandoKlarn	Vando Klarn
NPC/&NPC_Mask_CafrainShadow	Cafrain Shadow
NPC/&NPC_Orenetis_Finaliel	Finaliel Sharpmind
NPC/&NPC_DLC_City_Guard_Title	City Guard
NPC/&NPC_DLC_City_Guard_Description	A high elf guard bearing the arms of Orenetis.
NPC/&NPC_DLC1_Anfarel_Noble	Elerien Anfarel
NPC/&NPC_DLC1_ThePeople_Tortured	Prisoner
NPC/&NPC_Forge_Escorted_01	Badri
NPC/&NPC_Forge_Escorted_02	Gerta
NPC/&NPC_Tuznut_Title	Tuznan Anfarel
NPC/&NPC_Tuznut_Description	An adventurer without much experience.
NPC/&NPC_Forge_Guard_Title	Guard
NPC/&NPC_Forge_Guard_Description	A typical guard at the Forge camp.
NPC/&NPC_Forge_Charmer_Description	A member of the Forge camp.
NPC/&NPC_Forge_Hasdrubal_Description	Leader of the Forge.
NPC/&NPC_Forge_Ravener_Description	The Forge's master hunter.
NPC/&NPC_Forge_Cook_Description	The Forge's master cook.
NPC/&NPC_Forge_Merchant_Description	The Forge camp's merchant.
NPC/&NPC_Forge_Escorted_01_Description	Badri, the Forge envoy.
NPC/&NPC_Forge_Escorted_02_Description	Gerta, the Forge bodyguard.
NPC/&NPC_Forge_Merchant_Title	Hanno Mudstrider
NPC/&NPC_Swamp_HillGiant_Description	A friendly giant.
NPC/&NPC_Swamp_Apprentice_Description	An odd-looking elf wizard.
NPC/&DLC1_NPC_Jakson_Title	Hannik
NPC/&DLC1_NPC_Jakson_Description	Hannik is a popular musician in the capital.
NPC/&Mana_Scholar_Description	This elf looks exactly like Orenetis…
NPC/&Sitinero_Title	Sitenero
NPC/&DLC1_NPC_Marin_Ving	Marin Ving
NPC/&DLC1_NPC_Vando_Klarn	Vando Klarn
NPC/&DLC1_NPC_CityGuard_Captain_Sharp	Lieutenant Sharpeyes
NPC/&DLC1_NPC_Nobleman_ThePeople03_Title	Nobleman
NPC/&DLC1_NPC_Nobleman_ThePeople03_Description	Drunken Bully
NPC/&NPC_Red	Red
NPC/&NPC_Valley_Telerien_Purevoice_Speak	Forge Quartermaster
NPC/&Prisoner_Title	Prisoner
NPC/&NPC_DLC_Armorer	Gail Hunt
NPC/&NPC_Dominion_Soldier_Title	Dominion Soldier
NPC/&NPC_Dominion_Soldier_Description	A trooper in the Dominion's military forces.
NPC/&NPC_Dominion_Archer_Title	Dominion Archer
NPC/&NPC_Dominion_Archer_Description	An archer in the Dominion's military forces.
NPC/&NPC_Dominion_Arcanist_Title	Dominion Arcanist
NPC/&NPC_Dominion_Arcanist_Description	A battle mage in the Dominion's military forces.
NPC/&NPC_Dominion_Praetorian_Title	Dominion Praetorian
NPC/&NPC_Dominion_Praetorian_Description	An elite warrior from the Lord Protector's personal guard.
NPC/&NPC_Rebellion_Blue	Blue
NPC/&NPC_Rebellion_Blue_Description	Rebellion Negotiator
NPC/&NPC_Dominion_Rookie_Title	Dominion Rookie
NPC/&NPC_Dominion_Rookie_Description	A young and inexperienced fighter serving the Dominion.
NPC/&MaskMerchant_Yasmin_Title	Yasmin
NPC/&MaskMerchant_Yasmin_Description	The Mask's Quartermaster
NPC/&NPC_DLC_Rebellion_Soldier_Title	Rebel Fighter
NPC/&NPC_DLC_Rebellion_Soldier_Description	A member of the Rebellion, ready to die fighting the Dominion.
NPC/&NPC_DLC1_Drooly_Title	Drooly
NPC/&NPC_DLC1_Drooly_Description	Some kind of pet wolf. It looks like a nice little doggy - but with big fangs.
NPC/&NPC_Forge_Guard_HalflingScout_Title	Forge Scout
NPC/&NPC_Forge_Guard_HalflingScout_Description	A typical member of the Forge: small, sneaky, and stout.
NPC/&NPC_Forge_Guard_HalfElfRanger_Title	Forge Ranger
NPC/&NPC_Forge_Guard_HalfElfRanger_Description	A typical member of the Forge: an excellent combatant and archer.
NPC/&NPC_Forge_Guard_HumanDruid_Title	Forge Druid
NPC/&NPC_Forge_Guard_HumanDruid_Description	A typical member of the Forge, linking the faction with nature.
