NamedPlace/&AerElai_Title	THE AER-ELAI
NamedPlace/&BADLANDS_Title	THE BADLANDS
NamedPlace/&CopperheadRoad_Title	COPPERHEAD\nROAD
NamedPlace/&DUCHY_caercyflen_Title	Duchy of\nCaer Cyflen
NamedPlace/&DUCHY_easternforests_Title	Duchy of\nthe Eastern Forests
NamedPlace/&DUCHY_northernhills_Title	Duchy of\nthe Northern Hills
NamedPlace/&DUCHY_northernplains_Title	Duchy of\nthe Northern Plains
NamedPlace/&DUCHY_southmarsh_Title	Duchy of\nthe South Marsh
NamedPlace/&DUCHY_westernfields_Title	Duchy of\nthe Western Fields
NamedPlace/&Einarium_Title	THE Einareum
NamedPlace/&GALLIVAN_Title	KINGDOM OF\nGALLIVAN
NamedPlace/&Kaupaapunki_Title	KAUPAAPUNKI
NamedPlace/&MASGARTH_Title	PRINCIPALITY\nOF MASGARTH
NamedPlace/&NEWEMPIRE_Title	THE NEW EMPIRE
NamedPlace/&Sandreed_Title	SANDREED
NamedPlace/&SNOWALLIANCE_Title	THE SNOW ALLIANCE
NamedPlace/&MARCHES_Title	The Marches
NamedPlace/&Jungle_Title	Jungle
NamedPlace/&City_Title	Hyfryd Mounts
NamedPlace/&Swamp_Title	Gessa Swamps
