Powers/&Power_Deady_Leap_Title	Deadly Leap
Powers/&Power_Deady_Leap_Description	This monster can take a running jump and land on opponents with crushing force.
Powers/&Orenetis_DraconicRegen_Title	Draconic Regeneration
Powers/&Orenetis_DraconicRegen_Description	Orenetis has mutant powers from his draconic origin, which were modified by the first mana storm. He regenerates 10 HP at the start of his turn.
Powers/&ActioneStopTitle	Stop Raging
Powers/&Mummy_Lord_BlasphemousWords_Title	Blasphemous Words
Powers/&Mummy_Lord_BlasphemousWords_Description	Each creature within 2 cells of the mummy lord must make a successful DC 16 CON saving throw or will be stunned until the end of their next turn.
Powers/&Mummy_Lord_ChannelNegativeEnergy_Title	Channel Negative Energy
Powers/&Mummy_Lord_ChannelNegativeEnergy_Description	Creatures within 12 cells of the mummy lord cannot regain hit points until the end of their next turn.
Powers/&Mummy_Lord_BlindingDust_Title	Blinding Dust
Powers/&Mummy_Lord_BlindingDust_Description	Creatures within one cell must make a successful DC 16 CON saving throw or will be blinded until the end of their next turn.
Powers/&Mummy_Lord_WhirlwindOfSand_Title	Whirlwind of Sand
Powers/&Mummy_Lord_WhirlwindOfSand_Description	The mummy lord moves up to 12 cells in the form of a whirlwind of sand, immune to all attacks.
