Prop/&CandelabraTitle	Candelabra
Prop/&CandelabraDescription	A decorative candelabra
Prop/&ColumnATitle	Column A
Prop/&ColumnADescription	A decorative column
Prop/&ColumnBTitle	Column B
Prop/&ColumnBDescription	A decorative column
Prop/&FireBasinTitle	Fire Basin
Prop/&FireBasinDescription	A burning basin, illuminating its surroundings
Prop/&BenchTitle	Bench
Prop/&BenchDescription	A decorative bench
Prop/&GuardrailsATitle	Guardrails
Prop/&GuardrailsADescription	A low wall that can be used as a heavy cover
Prop/&DebrisATitle	Debris
Prop/&DebrisADescription	A heap of stone preventing movement
Prop/&GuardrailsBrokenATitle	Broken Guardrail A
Prop/&GuardrailsBrokenADescription	A short, broken, low wall that can be used as heavy cover
Prop/&GuardrailsBrokenBTitle	Broken Guardrail B
Prop/&GuardrailsBrokenBDescription	A long, broken, low wall that can be used as heavy cover
Prop/&GuardrailsLinkTitle	Guardrail Link
Prop/&GuardrailsLinkDescription	A low wall pillar
Prop/&GuardrailsStraightATitle	Straight Guardrail A
Prop/&GuardrailsStraightADescription	A short, low wall that can be used as heavy cover
Prop/&GuardrailsStraightBTitle	Straight Guardrail B
Prop/&GuardrailsStraightBDescription	A long, low wall that can be used as heavy cover
Prop/&MausoleumTitle	Mausoleum
Prop/&MausoleumDescription	An inaccessible funerary monument
Prop/&StatueTitle	Statue
Prop/&StatueDescription	A decorative statue
Prop/&TombATitle	Tomb A
Prop/&TombADescription	A tomb that can be entered
Prop/&TombBTitle	Tomb B
Prop/&TombBDescription	A decorative tomb blocking movement
Prop/&TombCTitle	Tomb C
Prop/&VaseTitle	Vase
Prop/&VaseDescription	A decorative funeral vase
Prop/&WallBlockerATitle	Wall Blocker
Prop/&WallBlockerADescription	A wide wall to block a passage
Prop/&WallBlockerBTitle	Wall Blocker
Prop/&WallBlockerBDescription	A wide wall to block a passage
Prop/&WallChainTitle	Chain
Prop/&WallChainDescription	A piece of metal hung on the wall
Prop/&WallCrawl	Wall with Crawl Hole
Prop/&WallCrawlDescription	A wide wall with a hole to crawl through
Prop/&WallTorchTitle	Wall Torch
Prop/&WallTorchDescription	An ever-burning torch that can be placed on a wall
Prop/&BlockTitle	Block
Prop/&BlockDescription	A solid structure that can be used to divide a room into sub-compartments
Prop/&AltarTitle	Altar
Prop/&AltarDescription	A votive structure used to pray to a deity
Prop/&AlchemyTableTitle	Alchemy Table
Prop/&ArmorStandTitle	Armor Stand
Prop/&BannerTitle	Banner
Prop/&BarrelsTitle	Barrels
Prop/&BarrelStackTitle	Barrel Stack
Prop/&BedTitle	Bed
Prop/&BirdCageTitle	Birdcage
Prop/&BookShelfTitle	Bookshelf
Prop/&BookStackTitle	Book Stack
Prop/&CabinetTitle	Cabinet
Prop/&CarpetTitle	Carpet
Prop/&ChairTitle	Chair
Prop/&CorpseTitle	Corpse
Prop/&CouchTitle	Couch
Prop/&CrateTitle	Crate
Prop/&CrateStackTitle	Crate Stack
Prop/&CushionsTitle	Cushions
Prop/&FakeDoorTitle	Fake Door
Prop/&FakeDoorDescription	A fake door used to represent a dungeon exit/entrance. For use in combination with an exit/entrance gadget
Prop/&FakeStairsTitle	Fake Stairs
Prop/&FakeStairsDescription	Fake stairs used to represent a dungeon exit/entrance. For use in combination with an exit/entrance gadget
Prop/&FireplaceTitle	Fireplace
Prop/&GlobeTitle	Globe
Prop/&GreenHouseTitle	Greenhouse
Prop/&HarpTitle	Harp
Prop/&MirrorTitle	Mirror
Prop/&PaintingTitle	Painting
Prop/&PlantTitle	Plant
Prop/&PrisonFenceTitle	Prison Fence
Prop/&ShelvesTitle	Shelves
Prop/&StillTitle	Still
Prop/&StoolTitle	Stool
Prop/&StoveTitle	Stove
Prop/&TableTitle	Table
Prop/&TelescopeTitle	Telescope
Prop/&TreasurePedestalTitle	Treasure Pedestal
Prop/&WindowTitle	Window
Prop/&WorkTableTitle	Work Table
Prop/&WallSimpleTitle	Free Wall
Prop/&WallThinTitle	Thin Wall
Prop/&ReadingDeskTitle	Reading Desk
Prop/&SpinningWheelTitle	Spinning Wheel
Prop/&DeskTitle	Desk
Prop/&SpiderWebsTitle	Spider Webs
Prop/&BasketTitle	Basket
Prop/&BedrollTitle	Bedroll
Prop/&BraseroTitle	Brazier
Prop/&CageTitle	Cage
Prop/&CartTitle	Cart
Prop/&CocoonTitle	Cocoon
Prop/&HutTitle	Hut
Prop/&LavaBasinTitle	Lava Basin
Prop/&MarketBoothTitle	Market Booth
Prop/&MushroomsTitle	Mushrooms
Prop/&RocksTitle	Rocks
Prop/&SkinsTitle	Skins
Prop/&SpiderEggsTitle	Spider Eggs
Prop/&RockTitle	Rock
Prop/&StalagmiteTitle	Stalagmite
Prop/&StoneTitle	Stone
Prop/&StrawTitle	Straw
Prop/&StructureTitle	Structure
Prop/&TotemTitle	Totem
Prop/&WoodenPlatformTitle	Wooden Platform
Prop/&FakeStairsUpTitle	Fake Stairs (up)
Prop/&FakeStairsDownTitle	Fake Stairs (down)
Prop/&MonumentTitle	Monument
