Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&AbilityCheckFormat	{0} d20{1}
Rules/&AbilityCheckVersusDcFormat	{0} d20{1} vs DC {2}
Rules/&AbilityScoreBonusFormat	+ Ability Bonus
Rules/&ActivationTypeActionTitle	Action
Rules/&ActivationTypeBonusActionTitle	Bonus act.
Rules/&ActivationTypeHours1Title	1 hour
Rules/&ActivationTypeHours24Title	24 hours
Rules/&ActivationTypeMinute10Title	10 minutes
Rules/&ActivationTypeMinute1Title	1 minute
Rules/&ActivationTypeNoCostTitle	Free act.
Rules/&ActivationTypeOnAttackHitTitle	On hit
Rules/&ActivationTypeOnAttackHitWithBowTitle	On hit (bow)
Rules/&ActivationTypePermanentUnlessIncapacitatedTitle	Permanent
Rules/&ActivationTypeReactionTitle	Reaction
Rules/&ActivationTypeRestDescription	This power can be activated during a rest
Rules/&ActivationTypeRestTitle	Rest
Rules/&AlignmentDescription	A typical creature in the game world has an alignment, which broadly describes its moral and personal attitudes. Alignment is a combination of two factors: one identifies morality (good, evil, or neutral), and the other describes attitudes toward society and order (lawful, chaotic, or neutral).
Rules/&AlignmentTitle	Alignment
Rules/&AlterationFormExtinguishFireFormat	Puts out fires
Rules/&AlterationFormExtinguishLightFormat	Puts out lights
Rules/&AlterationFormRemoveDarknessFormat	Removes Darkness
Rules/&AlterationFormRevealTrapFormat	Reveals traps
Rules/&AlterationFormUnlockFormat	Unlocks a target object
Rules/&ChallengeDifficultyDeadlyTitle	Deadly
Rules/&ChallengeDifficultyEasyTitle	Easy
Rules/&ChallengeDifficultyHardTitle	Hard
Rules/&ChallengeDifficultyMediumTitle	Medium
Rules/&ConditionAcidifiedDescription	Taking acid damage each turn until the effect ends.
Rules/&ConditionAcidifiedTitle	Acidified
Rules/&ConditionAidedDescription	Hit points (maximum/current) increased by 5 + advancement.
Rules/&ConditionAidedTitle	Aided
Rules/&ConditionAntitoxin	Advantage on Constitution saving throws against poison.
Rules/&ConditionAsleepDescription	Unable to act until awoken
Rules/&ConditionAsleepTitle	Asleep
Rules/&ConditionAuraOfCourageDescription	Immunity from being frightened.
Rules/&ConditionAuraOfCourageTitle	Aura of Courage
Rules/&ConditionAuraOfProtectionDescription	Grant a  + CHA modifier bonus to a creature's saving throws
Rules/&ConditionAuraOfProtectionTitle	Aura of Protection
Rules/&ConditionBackFromTheDead1Description	-1 penalty on attack rolls, saving throws and ability checks. Complete a long rest to reduce the penalty.
Rules/&ConditionBackFromTheDead2Description	-2 penalty on attack rolls, saving throws and ability checks. Complete a long rest to reduce the penalty.
Rules/&ConditionBackFromTheDead3Description	-3 penalty on attack rolls, saving throws and ability checks. Complete a long rest to reduce the penalty.
Rules/&ConditionBackFromTheDead4Description	-4 penalty on attack rolls, saving throws and ability checks. Complete a long rest to reduce the penalty.
Rules/&ConditionBackFromTheDeadTitle	Back from the Dead
Rules/&ConditionBanedDescription	-1d4 to attacks, -1d4 to saving throws.
Rules/&ConditionBanedTitle	Banestruck
Rules/&ConditionBarkskinDescription	The creature's Armor Class becomes at least 16.
Rules/&ConditionBarkskinTitle	Barkskin
Rules/&ConditionBeaconOfHopeDescription	Advantage on Wisdom and death saving throws; healing restores maximum possible hit points.
Rules/&ConditionBeaconOfHopeTitle	Beacon of Hope
Rules/&ConditionBearsEnduranceDescription	Advantage on Constitution saving throws.
Rules/&ConditionBlessedDescription	+1d4 to attacks, +1d4 to saving throws.
Rules/&ConditionBlessedTitle	Blessed
Rules/&ConditionBlessingSorr-TarrTitle	Blessing of Sorr-Tarr
Rules/&ConditionBlindedDescription	Cannot see anything; disadvantage on attacks; attacks against the creature have advantage.
Rules/&ConditionBlindedTitle	Blinded
Rules/&ConditionBlurredDescription	Attacks on creature have disadvantage.
Rules/&ConditionBlurredTitle	Blurred
Rules/&ConditionBrandedDescription	Emits light; cannot become invisible.
Rules/&ConditionBrandedTitle	Branded
Rules/&ConditionBullsStrengthDescription	Advantage on Strength saving throws.
Rules/&ConditionCatsGraceDescription	Advantage on Dexterity saving throws and reduced falling damage.
Rules/&ConditionCharmedByHypnoticPatternDescription	Incapacitated and speed is 0, until wounded or awoken.
