Tip/&LoadingTip01	Casting spells consumes spell slots. Most classes regain spell slots after a long rest.
Tip/&LoadingTip02	When rolling an attack or ability check with advantage, two d20s are rolled and the better result is used. When rolling with disadvantage, the worst result is kept.
Tip/&LoadingTip03	Open the Journal screen ($Shortcut[PartyJournal]) to consult your party progress, objectives, and achievements.
Tip/&LoadingTip04	You can customize your 3D dice in the Game Settings.
Tip/&LoadingTip05	Spells consume spell slots when cast, unlike cantrips which can be cast at will.
Tip/&LoadingTip06	Taking a long rest is the main way to recover all your spell slots, although wizards can use Arcane Recovery to recover a few low-level slots during short rests.
Tip/&LoadingTip07	Most spellcasters cannot use all the spells they know. They need to prepare a number of them and take a long rest.
Tip/&LoadingTip08	Wizards must learn new spells and write them in their spellbook before they can prepare and cast them.
Tip/&LoadingTip09	Clerics and paladins always know all the spells they can cast at their level, but still need to prepare those they want to be able to cast.
Tip/&LoadingTip10	Wizard spell scrolls are destroyed after casting. Wizards can also copy a spell from a scroll into their spellbook to acquire them, which also destroys the scroll.
Tip/&LoadingTip13	Some creatures are afraid of light and can even be hurt by it, allowing you to use light as a weapon.
Tip/&LoadingTip14	To perform a long rest, you must find a suitable place: either an inn such as the Gravekeep's Cask, or a campfire when exploring.
Tip/&LoadingTip15	In each turn of battle, a character has a main action and a bonus action. The main action is used to move or attack, for instance, while bonus actions are granted by specific class features, spells, or powers.
Tip/&LoadingTip16	Reactions allow them to interrupt someone else's action, for instance, to perform an opportunity attack. Each character can make one reaction, and recover it at the start of their next turn.
Tip/&LoadingTip17	Some characters or monsters can attack more than once per turn, and can move between attacks.
Tip/&LoadingTip18	Shoving can push an enemy one cell away or put them down until they get up. Enemies can shove, too.
Tip/&LoadingTip19	Dodging is a powerful defense even if it uses your main action: enemies have disadvantage on hitting you for the remainder of your turn.
Tip/&LoadingTip20	Switch to cautious mode when exploring. You'll be slow, but better able to notice traps and footsteps.
Tip/&LoadingTip21	In combat, you can move normally and then dash as your main action to go twice as far.
Tip/&LoadingTip22	Most characters can jump two cells without a problem. Longer jumps require strength, and proficiency with Athletics helps a lot. You always have a chance to fall prone when landing if you jump far.
Tip/&LoadingTip23	Most characters can climb two cells without a problem. Climbing higher requires strength, and proficiency with Athletics helps a lot. Some characters, like thieves or darkweavers, have superior climbing abilities.
Tip/&LoadingTip25	After moving the camera around to examine your surroundings, you can center on a character and follow them. Either double-click the character's portrait or press TAB while controlling this character.
Tip/&LoadingTip26	To better navigate in three dimensions, activate/deactivate the camera planar mode, with the button in the center of the compass (bottom right of the screen).
