Tutorials/&Tuto_DLCFaction_Orenetis_Title	Faction: The Dominion
Tutorials/&Tuto_DLCFaction_Orenetis_Description	Lord Protector Orenetis rules the valley with an iron hand. Serve him and he will give you what you desire and make you rich, but you'll have to pay a price of another kind. He doesn't tolerate disobedience and may push you to carry out acts that you may find unacceptable.
Tutorials/&Tuto_DLCFaction_Forge_Title	Faction: The Forge
Tutorials/&Tuto_DLCFaction_Forge_Description	Like the Scavengers in Crown of the Magister, the Forge will collect loot for you so you don't need to worry about carrying it. They also have magical and financial treasures from across the valley, and other unique secrets of their own, including rare recipes for crafting wondrous items.
Tutorials/&Tuto_DLCFaction_Rebellion_Title	Faction: The Rebellion
Tutorials/&Tuto_DLCFaction_Rebellion_Description	The Rebellion is an organized group planning to overthrow Orenetis and his Dominion. They will ask you to openly face the authorities and risk your life for their cause. Hopefully, they will repay you with information about Marin Ving and help you find a way out of the valley. They also have ancient magical treasures to share.
Tutorials/&Tuto_DLCFaction_People_Title	Faction: The People
Tutorials/&Tuto_DLCFaction_People_Description	The people of the valley simply want to live their lives without suffering too much under the tyranny of Orenetis. They will ask you to make life easier for them, but they don't have much to offer in return. On the other hand, they are the citizens of this place, more numerous than all the armies of the Dominion.
Tutorials/&Tuto_DLCFaction_Mask_Title	Faction: The Mask
Tutorials/&Tuto_DLCFaction_Mask_Description	The Mask is a very secretive organization. Their goals are unclear, though they seem to revolve around a leader with ambitions of power. They will ask you to sow dissent and chaos in the valley, and in exchange they offer... Well, that is also unclear.
Tutorials/&Tuto_DLC_Companions	Companions
Tutorials/&Tuto_DLC_Companions_Description	In the Lost Valley, all NPCs can die. Some of them can join your party for a time, and if you let them die, you can continue playing normally.\n \nYou can only hire one member of Helia Fairblade's company, even if you have unlocked more.
Tutorials/&Tutorial_DLC_PushTree_Title	Pushing Movable Objects
Tutorials/&Tutorial_DLC_PushTree_Description	Quite often on your adventures, you will need to push moveable objects to create a path for your heroes. Jungle trees are a typical example, but you can also push rocks, columns, and so on.\n \n Some paths may remain impassable if you don't have the Athletics skill, or spells like Jump, Fly, or Teleport.
Tutorials/&Tutorial_DLC_ShootTree_Title	Remote Triggers
Tutorials/&Tutorial_DLC_ShootTree_Description	Most of these interactable objects can be triggered from a distance by using a ranged weapon like a bow, crossbow, or even a dart. You can also use attack cantrips.\n Remember, though, you still have to hit your target to trigger it!
Tutorials/&Tutorial_DLC_HiddenMinorGate_Title	Hidden Minor Gate
Tutorials/&Tutorial_DLC_HiddenMinorGate_Description	The Minor Gate is hidden among this foliage. Destroy the foliage to access the gate and use it.
Tutorials/&Tuto_Attack_Neutral_Title	Attacking Neutral Characters
Tutorials/&Tuto_Attack_Neutral_Description	To attack a neutral character, put your party in cautious mode, approach the target, and select an attack option or spell. Aim at the target character, then confirm. If the target is friendly, your relationship will be damaged, and that character may hate you enough to retaliate.
