AridBadlandsEncounter	Title='Arid Test'.
AttackModifierFightingStyleArchery	Title='+2 to hit with bows'.
AttributeModifierDaggerSoulHuntingWisLower	Description='Your Strength is now equal to 8'.
AttributeModifierDazzled	Title='Daaaaal'.
AttributeModifierDazzled	Description='Daaaaal'.
CharacterPresentationBeltOfDwarvenKind	Description='50% chances to grow a glorious beard!'.
CombatAffinityEagerForBattle	Description='You have advantage on your initiative rolls.'.
CompletedInvestigation1	Title='CompletedInvestigation1'.
CompletedInvestigation1	Description='CompletedInvestigation1 Desc'.
CompletedInvestigation2	Title='CompletedInvestigation2'.
CompletedInvestigation2	Description='CompletedInvestigation2 Desc'.
ConditionAffinityMindControlledImmunity	Title='MIND CONTROLLED IMMUNITY'.
ConditionAffinityMindDominatedImmunity	Title='DOMINATED IMMUNITY'.
ConditionDebugInvicible	Title='Invicible'.
ConditionDebugInvicible	Description='The character is immune to all damages'.
ConditionDebugSpawnGuest	Title='Guest'.
ConditionDebugSpawnGuest	Description='Spawned with the SpawnGuest cheat.'.
ConditionDemonGreaseNightHuntHigherSpellAtk	Title='Higher Spell Attack'.
ConditionDemonGreaseNightHuntHigherSpellAtk	Description='Gain a +2 to your Spell Attack'.
ConditionDemonGreasePseudoLifeDisadvAttacks	Title='Attack Disadvantage'.
ConditionDemonGreasePseudoLifeDisadvAttacks	Description='Your attacks are made with Disadvantage.'.
ConditionDummy	Title='Dummy'.
ConditionDummy	Description='Dummy'.
ConditionSubstituteForm	Title='Substitute Form'.
ConditionSubstituteForm	Description='Substitute Form'.
ConditionWildShapeSubstituteForm	Title='Substitute Form'.
ConditionWildShapeSubstituteForm	Description='Substitute Form'.
CoTM - WorldMap	Title='World Map'.
CoTM - WorldMap	Description='Test World Map'.
DLC1_Valley - WorldMap	Title='DLC1 Valley - World Map'.
DLC1_Valley - WorldMap	Description='Test World Map'.
DLC3_NPC_Presentation_Generic_Citizen_Dwarf_Nobleman01	Description='TBC descri'.
DLC3_PalaceOfIce_CampaignMap	Title='MAP'.
DLC3_WhiteCity_SabotageWitness1_HumanSectorInhabitant	Title='!PH! Witness1_HumanSectorInhabitant'.
DLC3_WhiteCity_SabotageWitness1_HumanSectorInhabitant	Description='!PH! Witness1_HumanSectorInhabitant'.
DLC3_WhiteCity_SabotageWitness2_Guard	Title='!PH! Witness2_Guard'.
DLC3_WhiteCity_SabotageWitness2_Guard	Description='!PH! Witness2_Guard'.
Giant_Fire_Presentation_Citizen_WhiteCity	Title='!PH! ally giant'.
Giant_Fire_Presentation_Citizen_WhiteCity	Description='!PH! ally giant'.
Giant_Fire_Presentation_Citizen_WhiteCity_Hjalmar	Title='!PH! ally giant: Hjalmar'.
Giant_Fire_Presentation_Citizen_WhiteCity_Hjalmar	Description='!PH! ally giant: Hjalmar'.
MapWaypointDefinition_DLC3_Icehenge_WhiteCityQuestVar_Exit	Title='!PH! Exit'.
NPC_Presentation_Aksha	Title='Alena'.
NPC_Presentation_Alena_Swift	Title='Alena'.
NPC_Presentation_Annie_Bagmordah	Title='annie'.
NPC_Presentation_Bitterroot	Title='NPC/NPC_Bitterroot_Title'.
NPC_Presentation_Dek	Title='Hugo Requer'.
NPC_Presentation_DLC3_Undermountain_Guard_Male_01	Title='Leralyn'.
NPC_Presentation_DLC3_Undermountain_Guard_Male_01	Description='wife of estorgath'.
NPC_Presentation_DLC3_WhiteCity_SabotageWitness1_HumanSectorInhabitant	Title='!PH! SabotageWitness1_HumanSectorInhabitant'.
NPC_Presentation_DLC3_WhiteCity_SabotageWitness1_HumanSectorInhabitant	Description='!PH! SabotageWitness1_HumanSectorInhabitant'.
NPC_Presentation_Generic_Brood_of_blood	Title='Hugo Requer'.
NPC_Presentation_Generic_Brood_of_dread	Title='Hugo Requer'.
NPC_Presentation_Generic_Citizen_Dwarf_Nobleman01	Description='TBC descri'.
NPC_Presentation_Generic_Citizen_Halfling_Nobleman01	Title='Hugo Requer'.
NPC_Presentation_Generic_Citizen05	Title='Hugo Requer'.
NPC_Presentation_Generic_Citizen10	Title='Hugo Requer'.
NPC_Presentation_Generic_Citizen11	Title='Hugo Requer'.
NPC_Presentation_Generic_Citizen12	Title='Hugo Requer'.
NPC_Presentation_Halman_Summer	Title='Hugo Requer'.
NPC_Presentation_Hector	Title='Hugo Requer'.
NPC_Presentation_Herta_Gormsdottir	Title='Hugo Requer'.
NPC_Presentation_Ilastar_Keenmind	Title='Hugo Requer'.
NPC_Presentation_Leira_Kean	Title='Hugo Requer'.
NPC_Presentation_Lena	Title='Hugo Requer'.
NPC_Presentation_Maddy_Greenisle	Title='Hugo Requer'.
NPC_Presentation_Master_Mardracht	Title='Gorim'.
NPC_Presentation_Priest_Of_Arun	Title='Priest Arun'.
NPC_Presentation_Priest_Of_Einar	Title='Priest Einar'.
NPC_Presentation_Priest_Of_Einar_B	Title='Priest Einar'.
NPC_Presentation_Priest_Of_Einar_C	Title='Priest Einar'.
NPC_Presentation_Priest_Of_Einar_D	Title='Priest Einar'.
NPC_Presentation_Priest_Of_Maraike	Title='Priest Maraike'.
NPC_Presentation_Priestess_Of_Pakri	Title='Priest Pakri'.
NPC_Presentation_TEMP_Quest_Giver	Title='Hugo Requer'.
NPC_Presentation_Tutorial_Stealth_Bandit_Elf	Title='Stealth Elfmale'.
OngoingInvestigation1	Title='OngoingInvestigation1'.
OngoingInvestigation1	Description='OngoingInvestigation1 Desc'.
OngoingInvestigation2	Title='OngoingInvestigation2'.
OngoingInvestigation2	Description='OngoingInvestigation2 Desc'.
Origin_AF	Title='3'.
Origin_AS	Title='2'.
Origin_CA	Title='1'.
Origin_Dragonborn	Title='0'.
Origin_HO	Title='4'.
Origin_NonHuman	Title='0'.
PaceScavengers	Title='DEBUGscavengers'.
PaceScavengers	Description='DEBUGscavengers'.
PathfindRoom	Title='Title'.
PathfindRoom	Description='Description'.
Sergeant_Coparann	Title='Sergeant'.
Warlock_PatronFiend_Level02	Title='Warlock'.
Warlock_PatronFiend_Level02	Description='Fiend'.
Warlock_PatronFiend_Level04	Title='Warlock'.
Warlock_PatronFiend_Level04	Description='Fiend'.
Warlock_PatronFiend_Level08	Title='Warlock'.
Warlock_PatronFiend_Level08	Description='Fiend'.
Warlock_PatronFiend_Level10	Title='Warlock'.
Warlock_PatronFiend_Level10	Description='Fiend'.
Warlock_PatronFiend_PactBlade_Level16	Title='Warlock'.
Warlock_PatronFiend_PactBlade_Level16	Description='Fiend'.
Warlock_PatronFiend_PactChain_Level16	Title='Warlock'.
Warlock_PatronFiend_PactChain_Level16	Description='Fiend'.
Warlock_PatronFiend_PactTome_Level16	Title='Warlock'.
Warlock_PatronFiend_PactTome_Level16	Description='Fiend'.
Warlock_PatronHive_Level16	Title='Warlock'.
Warlock_PatronHive_Level16	Description='Fiend'.
Warlock_PatronTimekeeper_Level16	Title='Warlock'.
Warlock_PatronTimekeeper_Level16	Description='Timekeeper'.
Warlock_PatronTree_Level16	Title='Warlock'.
Warlock_PatronTree_Level16	Description='Fiend'.
