Functor/&GrantExperienceTitle	Grant Experience
Functor/&GrantExperienceDescription	Provides party members with experience points
Functor/&ParameterGrantExperienceModeTitle	Gain Mode
Functor/&ParameterGrantExperienceModeDescription	The mode used to grant experience
Functor/&ParameterGrantExperienceModeFlatTitle	Flat
Functor/&ParameterGrantExperienceModeFlatDescription	A flat value of experience points is granted to each party member
Functor/&ParameterGrantExperienceModeReachLevelTitle	Reach Level
Functor/&ParameterGrantExperienceModeReachLevelDescription	Enough experience is granted to each party member. Nothing is gained if the character is already at this level
Functor/&ParameterExperienceAmountTitle	Experience Amount
Functor/&ParameterExperienceAmountDescription	The amount of experience to be earned
Functor/&ParameterWantedLevelTitle	Required Level
Functor/&ParameterWantedLevelDescription	The level the party is required to reach
Functor/&InventoryOperationTitle	Inventory Operation
Functor/&InventoryOperationDescription	Allows you to perform a variety of operations related to items and treasury
Functor/&ParameterInventoryOperationTitle	Operation Type
Functor/&ParameterInventoryOperationDescription	The type of inventory operation to perform
Functor/&ParameterInventoryOperationGrantItemTitle	Grant Item
Functor/&ParameterInventoryOperationGrantItemDescription	Grants the selected item to the target characters
Functor/&ParameterInventoryOperationLoseItemTitle	Lose Item
Functor/&ParameterInventoryOperationLoseItemDescription	Removes the selected item from the target characters
Functor/&ParameterInventoryOperationStashAllTitle	Stash All
Functor/&ParameterInventoryOperationStashAllDescription	Hide all of the character's belongings in a special stash
Functor/&ParameterInventoryOperationRecoverStashTitle	Recover Stash
Functor/&ParameterInventoryOperationRecoverStashDescription	Recover the stashed item in addition to the items owned since the previous inventory was stashed
Functor/&ParameterInventoryOperationTargetTitle	Target
Functor/&ParameterInventoryOperationTargetDescription	Who is targeted by this operation
Functor/&ParameterInventoryOperationTargetFirstConsciousCharacterTitle	First Conscious Character
Functor/&ParameterInventoryOperationTargetFirstConsciousCharacterDescription	The first conscious character in the party will be selected
Functor/&ParameterInventoryOperationTargetAllPartyMembersTitle	All Party Members
Functor/&ParameterInventoryOperationTargetAllPartyMembersDescription	All Party Members will be targeted by this operation
Functor/&ParameterInventoryOperationOverrideQuantityTitle	Override Quantity?
Functor/&ParameterInventoryOperationOverrideQuantityDescription	Allows you to specify a quantity for the item
Functor/&ParameterInventoryOperationQuantityValueTitle	Quantity Value
Functor/&ParameterInventoryOperationQuantityValueDescription	The number of items of this kind
Functor/&ParameterInventoryOperationItemTitle	Item
Functor/&ParameterInventoryOperationItemDescription	The item to use for this operation
Functor/&QuestOperationTitle	Quest Operation
Functor/&QuestOperationDescription	Executes an operation on the specified quest
Functor/&VariableOperationTitle	Variable Operation
Functor/&VariableOperationDescription	Allows you to modify the value of a campaign variable
Functor/&ParameterVariableOperationVariableTitle	Variable
Functor/&ParameterVariableOperationVariableDescription	The variable upon which the operation is performed
Functor/&ParameterVariableOperationTypeTitle	Type
Functor/&ParameterVariableOperationTypeDescription	The type of operation that is performed. Some variable types only allow you to set the value
Functor/&ParameterVariableOperationTypeSetTitle	Set
Functor/&ParameterVariableOperationTypeSetDescription	The variable is set to the specified value
Functor/&ParameterVariableOperationTypeAddTitle	Add
Functor/&ParameterVariableOperationTypeAddDescription	The specified value is added to the variable
Functor/&ParameterVariableOperationTypeSubstractTitle	Subtract
Functor/&ParameterVariableOperationTypeSubstractDescription	The specified value is subtracted from the variable
Functor/&ParameterVariableOperationTypeIncrementTitle	Increment
Functor/&ParameterVariableOperationTypeIncrementDescription	The value increases by 1
Functor/&ParameterVariableOperationTypeDecrementTitle	Decrement
Functor/&ParameterVariableOperationTypeDecrementDescription	The value decreases by 1
Functor/&ParameterVariableOperationTypeMultiplyTitle	Multiply
Functor/&ParameterVariableOperationTypeMultiplyDescription	The variable is multiplied by the specified value
Functor/&ParameterVariableOperationTypeDivideTitle	Divide
Functor/&ParameterVariableOperationTypeDivideDescription	The variable is divided by the specified value
Functor/&ParameterVariableOperationValueIntTitle	Value
Functor/&ParameterVariableOperationValueIntDescription	The integer value used for the operation
Functor/&ParameterVariableOperationValueBoolTitle	Value
Functor/&ParameterVariableOperationValueBoolDescription	The Boolean value used for the operation
Functor/&ParameterVariableOperationValueStringTitle	Value
Functor/&ParameterVariableOperationValueStringDescription	The string value used for the operation
Functor/&ParameterVariableOperationTypeRollTitle	Roll
Functor/&ParameterVariableOperationTypeRollDescription	The variable is set with the result of a die roll.
Functor/&ParameterVariableOperationValueDieTitle	Die Type
Functor/&ParameterVariableOperationValueDieDescription	The type of die used for the roll.
Functor/&SetLocationStatusTitle	Set Location Status
Functor/&SetLocationStatusDescription	Change the status of a location to make it hidden/locked or available, reflected in multiple exit gadgets.
Functor/&ParameterLocationTitle	Location
Functor/&ParameterLocationDescription	The name of the target location
Functor/&ParameterLocationStatusTitle	Location Status
Functor/&ParameterLocationStatusDescription	The status of the specified location.
Functor/&ParameterLocationStatusHiddenTitle	Hidden
Functor/&ParameterLocationStatusHiddenDescription	The location will be hidden in multiple exit popups.
Functor/&ParameterLocationStatusLockedTitle	Locked
Functor/&ParameterLocationStatusLockedDescription	The location is visible but cannot be used in multiple exit popups.
Functor/&ParameterLocationStatusAvailableTitle	Available
Functor/&ParameterLocationStatusAvailableDescription	The location is available and can be used in multiple exit popups.
Functor/&ParameterInventoryOperationGrantTreasuryTitle	Grant Treasury
Functor/&ParameterInventoryOperationGrantTreasuryDescription	The type of inventory operation to perform
Functor/&ParameterInventoryOperationLoseTreasuryTitle	Lose Treasury
Functor/&ParameterInventoryOperationLoseTreasuryDescription	The type of inventory operation to perform. If no quantity is specified, all items of this kind are removed from the target
Functor/&ParameterInventoryOperationTreasuryTitle	Treasury
Functor/&ParameterInventoryOperationTreasuryDescription	The amount of treasury for this operation
