MonsterAttacks/&Attack_Bite_Title	Bite
MonsterAttacks/&Attack_Claws_Title	Claws
MonsterAttacks/&Attack_DreadfulGlare_Title	Dreadful Glare
MonsterAttacks/&Attack_GhoulishClaw_Title	Ghoulish Claw
MonsterAttacks/&Attack_PoisonousBite_Title	Poisonous Bite
MonsterAttacks/&Attack_RottingFist_Title	Rotting Fist
MonsterAttacks/&Attack_Shrieker_Description	A cursed blade, forged by the ancient smiths of the Sorr-Akkath in the forges of Tirmar and blessed by Sorr-Tarr.
MonsterAttacks/&Attack_Shrieker_Title	Nekkesh Blade
MonsterAttacks/&Attack_Spine_Title	Poisonous Spine
MonsterAttacks/&Attack_Spit_Title	Spit
MonsterAttacks/&Attack_Talons_Title	Talons
MonsterAttacks/&Attack_Web_Title	Poison Web
MonsterAttacks/&Attack_Slam_Title	Slam
MonsterAttacks/&Attack_Ghost_Blade_Title	Withering Blade
MonsterAttacks/&Attack_Ghost_Touch_Title	Withering Touch
MonsterAttacks/&Attack_Beak_Title	Beak
MonsterAttacks/&Attack_SkeletalMarksman_Bow	Necrotic Arrow
MonsterAttacks/&Attack_SkeletalMarksman_Sword	Rusty Shortsword
MonsterAttacks/&Attack_Fire_Touch	Burning Touch
MonsterAttacks/&Attack_Grimblade	Ice Blade
MonsterAttacks/&Attack_Grimblade_IceDagger	Ice Dagger
MonsterAttacks/&Attack_AcidSpit	Acid Spit
MonsterAttacks/&Attack_AcidBite	Acid Bite
MonsterAttacks/&Attack_Freeze_Title	Freeze
MonsterAttacks/&Attack_Fire_Title	Touch
MonsterAttacks/&Attack_ShockingAntenna_Title	Shocking Antenna
MonsterAttacks/&Attack_ShockingAntenna_Description	Zealots can transmit a powerful electrical discharge with their antennae.
MonsterAttacks/&Attack_PheromoneSpray_Title	Pheromone Spray
MonsterAttacks/&Attack_PheromoneSpray_Description	Pilgrims can spray a target with a pheromone that burns the skin and makes its allies frenzied.
MonsterAttacks/&Attack_Tail_Title	Tail
MonsterAttacks/&AttackNecroticBite_Title	Necrotic Bite
MonsterAttacks/&Attack_Orenetis_Touch_Title	Shocking Touch
MonsterAttacks/&Attack_Charge_Title	Charge
MonsterAttacks/&Attack_Gore_Title	Gore
MonsterAttacks/&Attack_Necrotic_Axe_Title	Necrotic Greataxe
MonsterAttacks/&Attack_WightLordSword_Title	Necrotic Blade
MonsterAttacks/&Attack_Beetle_Spray_Title	Acid Spray
MonsterAttacks/&Attack_Beetle_Spray_Description	Giant beetles can spit a small cloud of acid from their mouth.
MonsterAttacks/&Attack_TossRock_Title	Rock
MonsterAttacks/&Attack_Punch_Title	Punch
MonsterAttacks/&Attack_Slam_Description	Use Slam
