Music/&NoneTitle	<None>
Music/&CaerLemTitle	Caer Lem
Music/&CaerCyflenTitle	Caer Cyflen
Music/&DarkCastleExteriorTitle	Dark Castle (Exterior)
Music/&CoparanTitle	Coparann
Music/&WizardsTowerTitle	Wizard's Tower
Music/&MastermindTitle	Mastermind
Music/&CradleOfFireTitle	Cradle of Fire
Music/&AerElaiTitle	Aer Elai
Music/&TheNecromancerTitle	The Necromancer
Music/&RuinsOfTelemaTitle	Ruins of Telema
Music/&PrisonEscapeTitle	Prison Escape
Music/&TheLightBringersTitle	The Lightbringers
Music/&ShadowsTitle	Shadows
