Tutorial/&Factions_Title	Faction Relations
Tutorial/&Factions_Description	The <b>five</b> Council factions have representatives in Caer Cyflen. They can sell you equipment, spells, and many other things. The better your relationship with a faction, the more they have to offer, and the lower their prices.\nHowever, these factions are in competition with each other, which means you can't please them all. Various sub-quests will give you opportunities to improve your relationship with one faction or another.\nKeep an eye on the Faction section of the <b>Journal</b>.
Tutorial/&LightAsAWeapon_Title	Turn on the Light!
Tutorial/&PartyStash_Title	Party Stash
Tutorial/&PartyStash_Description	This chest is yours to use. No one can loot it, you can stash up to 50 items inside it. Many adventurers use this Scavenger service to store some of their stuff.
Tutorial/&QuickShopping_Title	Quick Shopping
Tutorial/&QuickShopping_Description	Near a merchant, you'll find a quick shopping interaction. This bypasses the discussion to instantly open the merchant interface. You can still talk to the NPC merchant if needed.
Tutorial/&LightAsAWeapon_Description	Don't forget that light is critical to fighting certain enemies in Solasta.\nSoraks, for instance, are more powerful in dim light, and even more so in complete darkness.\nThis is critical for your survival. Use light spells and torches - check for torch holders to illuminate in the environment!
Tutorial/&DiffSettings_Title	Difficulty Settings
Tutorial/&DiffSettings_Description	You can change the difficulty settings of the game on the fly. Just open up the menu, change the settings, and return to play: the changes are applied.\n\nYou can pick a difficulty preset or browse the detailed options for a more customized experience.
Tutorial/&Tutorial_Highlight_Title	Highlighting Interactable Objects
Tutorial/&Tutorial_Highlight_Description	Press and hold the ALT key to highlight various interactable objects: doors, chests, etc.
Tutorial/&EgoPuzzle_Title	The Maddening Puzzle
Tutorial/&EgoPuzzle_Description	This section of the level is for puzzle enthusiasts. Be warned! Take the shortcut on the right, and you will experience the adventure normally. If you're ready for a rotating, colorful, 3D challenge, go left after the loot of the Mind of the Master. If you change your mind, you'll have to reload. We just autosaved for you, by the way.
Tutorial/&PartyStash_Description_DLC3	This chest is yours to use. No one can loot it, and you can stash up to 50 items inside it.
Tutorial/&Tutorial_HighlightXbox_Description	Press and hold <sprite index={8}> and <sprite index={9}> together to highlight various interactable objects: doors, chests, etc.
