Validator/&ParameterMonsterTitle	Monster
Validator/&ParameterMonsterDescription	Select a monster for this validator
Validator/&ParameterItemTitle	Item
Validator/&ParameterItemDescription	Select an item for this validator
Validator/&ParameterMonsterQuantityTitle	How many?
Validator/&ParameterMonsterQuantityDescription	Determines the quantity of the specified element
Validator/&ParameterItemQuantityTitle	How many?
Validator/&ParameterItemQuantityDescription	Determines the quantity of the specified element
Validator/&ParameterLocationTitle	Location
Validator/&ParameterLocationDescription	The title of the location to track
Validator/&ParameterRestTypeTitle	Short=0 Long=1
Validator/&ParameterRestTypeDescription	The type of expected rest
Validator/&ParameterSpellNameTitle	Spell Name
Validator/&ParameterSpellNameDescription	The exact internal name (in English & enforcing caps) of the spell to specify
Validator/&ParameterCompletionDelayTitle	Delay (s)
Validator/&ParameterCompletionDelayDescription	The delay in seconds before this is completed. Decimal values are allowed
Validator/&ParameterVariableTitle	Variable
Validator/&ParameterVariableDescription	The variable to test
Validator/&ParameterVariableTestVariableTitle	Variable
Validator/&ParameterVariableTestVariableDescription	The variable to evaluate
Validator/&ParameterVariableTestTypeTitle	Test Type
Validator/&ParameterVariableTestTypeDescription	The test type to perform on the variable
Validator/&ParameterVariableTestTypeIsEqualToTitle	Is Equal To
Validator/&ParameterVariableTestTypeIsEqualToDescription	Valid if the variable value matches the specified value
Validator/&ParameterVariableTestTypeIsDifferentFromTitle	Is Different From
Validator/&ParameterVariableTestTypeIsDifferentFromDescription	Valid if the variable value differs from the specified value
Validator/&ParameterVariableTestTypeIsGreaterThanTitle	Is Greater Than
Validator/&ParameterVariableTestTypeIsGreaterThanDescription	Valid if the variable value is superior or equal to the specified value
Validator/&ParameterVariableTestTypeIsGreaterStrictlyThanTitle	Is Strictly Greater Than
Validator/&ParameterVariableTestTypeIsGreaterStrictlyThanDescription	Valid if the variable value is strictly greater than the specified value
Validator/&ParameterVariableTestTypeInferiorToTitle	Is Less Than
Validator/&ParameterVariableTestTypeInferiorToDescription	Valid if the variable value is less than or equal to the specified value
Validator/&ParameterVariableTestTypeIsInferiorStrictlyToTitle	Is Strictly Less Than
Validator/&ParameterVariableTestTypeIsInferiorStrictlyToDescription	Valid if the variable value is strictly less than the specified value
Validator/&ParameterVariableTestValueIntTitle	Test Value
Validator/&ParameterVariableTestValueIntDescription	The integer value to compare in the test
Validator/&ParameterVariableTestValueBoolTitle	Test Value
Validator/&ParameterVariableTestValueBoolDescription	The Boolean value to compare in the test
Validator/&ParameterVariableTestValueStringTitle	Test Value
Validator/&ParameterVariableTestValueStringDescription	The string value to compare in the test
