VisualMood/&CryptTitle	Crypt
VisualMood/&InfernoTitle	Inferno
VisualMood/&StrangeTitle	Strange
VisualMood/&ClearOutdoorTitle	Clear Weather
VisualMood/&AcidTitle	Acid
VisualMood/&BluishTitle	Bluish
VisualMood/&CalmTitle	Calm
VisualMood/&ColdTitle	Cold
VisualMood/&DevilishTitle	Devilish
VisualMood/&DullTitle	Dull
VisualMood/&GloomyTitle	Gloomy
VisualMood/&GoldenTitle	Golden
VisualMood/&GreenishTitle	Greenish
VisualMood/&LovelyTitle	Lovely
VisualMood/&MossyTitle	Mossy
VisualMood/&MuddyTitle	Muddy
VisualMood/&MysticTitle	Mystic
VisualMood/&OcherTitle	Ocher
VisualMood/&PastTitle	Ancient
VisualMood/&PichBlackTitle	Pitch Black
VisualMood/&PurplishTitle	Purple
VisualMood/&RadiantTitle	Radiant
VisualMood/&SpookyTitle	Spooky
VisualMood/&StenchTitle	Stench
VisualMood/&ToxicTitle	Toxic
VisualMood/&WarmTitle	Warm
