BlueprintCategory/&BarrierTitle	Barreiras
BlueprintCategory/&EmptyRoomsTitle	Salas Vazias
BlueprintCategory/&EncounterTitle	Encontros
BlueprintCategory/&FurnishedRoomsTitle	Salas Mobiliadas
BlueprintCategory/&FurnitureTitle	Mobília
BlueprintCategory/&LightingTitle	Iluminação
BlueprintCategory/&LootTitle	Espólios
BlueprintCategory/&LoreTitle	Narrativa
BlueprintCategory/&NavigationTitle	Navegação
BlueprintCategory/&ObstacleTitle	Obstáculos
BlueprintCategory/&OpeningsTitle	Passagens
BlueprintCategory/&OrnamentsTitle	Ornamentos
BlueprintCategory/&RestingTitle	Descansos
BlueprintCategory/&StructureTitle	Estruturas
BlueprintCategory/&TrapsTitle	Armadilhas
BlueprintCategory/&ActivatorsTitle	Interruptores
BlueprintCategory/&PartitionsTitle	Partições
BlueprintCategory/&AdventuringTitle	Aventura
BlueprintCategory/&BlockersTitle	Bloqueio
BlueprintCategory/&HarvestableTitle	Coletável
BlueprintCategory/&RoadsTitle	Estradas
