Class/&CharacterClassSubTitle	Classe do Personagem
Class/&CharacterRaceSubTitle	Ancestralidade do Personagem
Class/&ClericDescription	Clérigos são servos da divindade escolhida. Em troca de sua fé e devoção, ganham poderes milagrosos, contanto que se limitem a seguir o credo de seu deus e realizar os rituais da religião.
Class/&ClericTitle	Clérigo
Class/&FighterDescription	Guerreiros são treinados na arte do combate. Têm aptidão para usar quase todas as armas, mas costumam se especializar em uma ou poucas. Todos os guerreiros podem usar armaduras, escudos e armas de combate à distância.
Class/&FighterTitle	Guerreiro
Class/&PaladinDescription	Paladinos são combatentes de elite que fizeram o juramento sagrado e irrevogável de lutar contra o mal. Além das armas e armaduras, eles se valem de poderes divinos e magias de clérigo.
Class/&PaladinTitle	Paladino
Class/&RangerDescription	Vagando pelos ermos de Solasta, os patrulheiros são caçadores furtivos treinados na arte da sobrevivência, e também implacáveis em batalha. Exímios rastreadores e arqueiros, também contam com alguma capacidade de conjurar magia.
Class/&RangerTitle	Patrulheiro
Class/&RogueDescription	Ladinos são, acima de tudo, versáteis. Usam seus talentos intrínsecos para dominar várias perícias e encontrar uma forma própria de sobreviver. Quase sempre criativos, eles são famosos pela astúcia e pela capacidade de executar ataques furtivos letais.
Class/&RogueTitle	Ladino
Class/&WizardDescription	Magos passam a vida estudando feitiçaria e aprendendo magias cada vez mais poderosas. Apesar da fraqueza em combate físico, é graças a suas habilidades mágicas que os magos são adversários perigosíssimos.
Class/&WizardTitle	Mago
Class/&SorcererDescription	Feiticeiros têm a habilidade inata de canalizar magia arcana, geralmente por meio de uma origem sobrenatural. Ademais, eles são capazes de alterar o tecido da magia ao usarem pontos de feitiçaria.
Class/&SorcererTitle	Feiticeiro
Class/&BarbarianDescription	Bárbaros são guerreiros ferozes, oriundos dos confins da civilização. Sua fúria de batalha os torna combatentes perigosos.
Class/&BarbarianTitle	Bárbaro
Class/&DruidDescription	Os druidas integram uma ordem antiga de devotos da natureza. Eles possuem poderes e magias vinculadas aos animais, às plantas e às forças elementais.
Class/&DruidTitle	Druida
