ContentPack/&BackerItemsTitle	Pacote de Itens dos Financiadores
ContentPack/&BackerItemsDescription	Desbloqueia o Um Anel, Pão Anão, Botas de Seis Léguas, Colher da Discórdia e os itens de quem chegou cedo. Encontre-o no baú perto do monumento ao lado do Conselho.
ContentPack/&DigitalBackerContentTitle	Pacote da Edição Digital
ContentPack/&DigitalBackerContentDescription	Desbloqueia o item Tocha Eterna e versões especiais dos efeitos de Mãos Flamejantes e Chama Sagrada. Encontre-o no baú perto do monumento ao lado do Conselho.
ContentPack/&LoadedDiceTitle	Pacote Dados Viciados
ContentPack/&LoadedDiceDescription	Desbloqueia o item Dados Viciados. Encontre-o no baú perto do monumento ao lado do Conselho.
ContentPack/&SorcererUpdateTitle	Atualização dos Feiticeiros
ContentPack/&SorcererUpdateDescription	Desbloqueia a classe Feiticeiro e suas 3 subclasses, o modo Provação e novos conteúdos do Criador de Mapas.
ContentPack/&SupporterPackTitle	Pacote dos Apoiadores
ContentPack/&SupporterPackDescription	Desbloqueia dados exclusivos, uma série de artes conceituais em alta definição e o amor eterno da equipe de Tactical Adventures.
ContentPack/&PrimalCallingTitle	Primal Calling
ContentPack/&PrimalCallingDescription	Desbloqueia as classes de personagem Bárbaro e Druida, a ancestralidade Meio-orc e o histórico Andarilho para qualquer aventura em Solasta.
ContentPack/&LostValleyTitle	O Vale Perdido
ContentPack/&LostValleyDescription	Uma nova aventura no mundo de Solasta.
