Credits/&GameTechnicalVisionTitle	Jogo e Visão Técnica
Credits/&ArtTeamTitle	Equipe de Arte
Credits/&ArtDirectorTitle	Direção de Arte
Credits/&Lead3DArtistTitle	Líder de Artes 3D
Credits/&LeadAnimatorTitle	Líder de Animação
Credits/&3DCharacterArtistFemaleTitle	Arte de Personagens 3D
Credits/&3DEnvironmentArtistTitle	Arte de Ambiente 3D
Credits/&VisualEffectsArtistFemaleTitle	Efeitos Visuais
Credits/&ConceptArtistTitle	Arte Conceitual
Credits/&DesignTeamTitle	Equipe de Design
Credits/&GameplayDirectorTitle	Direção de Jogo
Credits/&SeniorLevelDesignerTitle	Design de Nível Sênior
Credits/&SeniorTechLevelDesignerTitle	Téc. de Design de Nível Sênior
Credits/&LevelDesignerTitle	Design de Nível
Credits/&LevelBuilderTitle	Construção de Nível
Credits/&CutsceneDirectionTitle	Arte Cinemática
Credits/&NarrationTeamTitle	Equipe de Narrativa
Credits/&UniverseStorylineTitle	Universo e Enredo
Credits/&NarrationDirection	Direção Narrativa
Credits/&ProductionTeamTitle	Equipe de Produção
Credits/&ProducerFemaleTitle	Produção
Credits/&QALeadFemaleTitle	Chefe de CQ
Credits/&AutotestTitle	Autoteste
Credits/&TechnicalTeamTitle	Equipe Técnica
Credits/&TechLeadTitle	Chefe de Engenharia
Credits/&GraphicsProgrammerTitle	Engenharia de Renderização
Credits/&UIRuleserProgrammerTitle	Engenharia de Sistema/Interface
Credits/&ToolsProgrammerTitle	Engenharia de Jogo e Ferramentas
Credits/&MarktingTeamTitle	Equipe de Marketing
Credits/&MarketingDirectorTitle	Direção de Marketing
Credits/&LeadCommunityDeveloperTitle	Chefe de Desenv. de Comunidade
Credits/&AdministrationTeamTitle	Administração
Credits/&AdministrativeAndFinancialManagerFemaleTitle	Gerência de Administração e Finanças
Credits/&BoardMemberTitle	Membro do Conselho
Credits/&ExternalPartnersTitle	Parceiros Externos
Credits/&ExternalPartnersConceptTitle	Arte Conceitual Adicional
Credits/&EnvironmentConceptArtistTitle	Arte Ambiente e Conceitual Essencial
Credits/&CharacterConceptArtistTitle	Arte Conceitual de Personagens
Credits/&UIConceptArtistTitle	Arte de Mercado e Interface
Credits/&ExternalQAName	Quantic Lab
