FactionStatus/&AllianceDescription	A facção ajudará você.
FactionStatus/&AllianceTitle	Aliança
FactionStatus/&AnimosityDescription	A facção tentará atrapalhar você.
FactionStatus/&AnimosityTitle	Animosidade
FactionStatus/&AttacksOnSightDescription	Atacará de imediato. 
FactionStatus/&BrotherhoodDescription	Você é importante e influente na facção.
FactionStatus/&BrotherhoodTitle	Irmandade
FactionStatus/&HatredDescription	A facção tentará matar você.
FactionStatus/&HatredTitle	Aversão
FactionStatus/&IndifferenceDescription	A facção não se importa com você.
FactionStatus/&IndifferenceTitle	Indiferença
FactionStatus/&JoinsAllyInBattleDescription	Luta ao seu lado. 
FactionStatus/&JoinsEnemiesDescription	Luta ao lado dos seus inimigos. 
FactionStatus/&LivingLegendDescription	Você é membro fundamental da facção e parte da história deles.
FactionStatus/&LivingLegendTitle	Lenda Viva
FactionStatus/&MerchantOverchargeFormat	Sobretaxa do mercador: {0}%.
FactionStatus/&MerchantOverchargeFormatTrade	{0}: sobretaxa de {1}%
FactionStatus/&MerchantRebateFormat	Desconto do mercador: {0}%.
FactionStatus/&MerchantRebateFormatTrade	{0}: desconto de {1}%
FactionStatus/&SympathyDescription	A facção será favorável a você.
FactionStatus/&SympathyTitle	Simpatia
