FightingStyle/&ArcheryDescription	Você ganha +2 de bônus em rolagens de ataque com armas de combate à distância.
FightingStyle/&ArcheryTitle	Arquearia
FightingStyle/&DefenseDescription	Enquanto estiver usando armadura, você ganha +1 de bônus de CA.
FightingStyle/&DefenseTitle	Defesa
FightingStyle/&DuelingDescription	Enquanto usar uma arma corpo a corpo em uma das mãos e nenhuma outra arma, você ganha +2 de bônus em rolagens de dano com essa arma.
FightingStyle/&DuelingTitle	Duelo
FightingStyle/&GreatWeaponDescription	Se rolar 1 ou 2 de dano para um ataque com uma arma corpo a corpo empunhada com duas mãos, você pode rolar o dado novamente. Você precisará usar o novo resultado, mesmo que seja 1 ou 2. Somente armas de duas mãos ou de propriedade versátil proporcionam esse benefício.
FightingStyle/&GreatWeaponTitle	Combate com Armas Grandes
FightingStyle/&ProtectionDescription	Ao empunhar um escudo, você pode usar sua reação para causar desvantagem na rolagem de ataque de uma criatura, desde que você possa vê-la e não esteja a mais de 1 espaço de distância do alvo dela.
FightingStyle/&ProtectionTitle	Proteção
FightingStyle/&TwoWeaponDescription	Ao entrar em combate usando duas armas, você pode adicionar seu modificador de habilidade ao dano do segundo ataque.
FightingStyle/&TwoWeaponTitle	Combate com Duas Armas
