Gadget/&CampfireTitle	Fogueira
Gadget/&CampfireDescription	Fogueira interativa que serve para iniciar um descanso longo com o grupo.
Gadget/&ChestTitle	Baú
Gadget/&ChestDescription	Serve para armazenar itens.
Gadget/&DoubleDoorTitle	Portas Duplas
Gadget/&DoubleDoorDescription	Portas simples de abrir.
Gadget/&EntranceTitle	Entrada
Gadget/&EntranceDescription	Ponto de onde o grupo começa.
Gadget/&ExitTitle	Saída
Gadget/&ExitDescription	Ponto por onde o grupo sai do mapa. Pode levar a outro local de usuário.
Gadget/&HiddenDoorTitle	Porta Oculta
Gadget/&HiddenDoorDescription	Porta que só é notada quando o jogador passa em um teste de percepção.
Gadget/&InteractiveTorchTitle	Tocha Interativa
Gadget/&InteractiveTorchDescription	Tocha de parede que o jogador pode acender/apagar de forma dinâmica.
Gadget/&LoreAreaTitle	Área de Narrativa
Gadget/&LoreAreaDescription	Quando o jogador entra nesta área, aparece um texto.
Gadget/&MonsterMTitle	Monstro M
Gadget/&MonsterMDescription	Gera um monstro médio (ou menor) na posição do dispositivo.
Gadget/&MonsterLTitle	Monstro G
Gadget/&MonsterLDescription	Gera um monstro grande na posição do dispositivo.
Gadget/&MonsterMMultipleTitle	Vários Monstros M
Gadget/&MonsterMMultipleDescription	Gera certo número de monstros médios (ou menores) na posição do dispositivo.
Gadget/&TrapTitle	Armadilha
Gadget/&TrapDescription	Armadilha que é ativada quando pisam a superfície que ela ocupa.
Gadget/&VirtualLoreTitle	Narrativa Virtual
Gadget/&VirtualLoreDescription	Interação que exibe um texto de narrativa e pode ser colocada em qualquer adereço.
Gadget/&VirtualLootTitle	Item Virtual
Gadget/&VirtualLootDescription	Interação de item de finalidade genérica que pode ser colocada em qualquer adereço para simular um recipiente.
Gadget/&ParameterExplicitItemsTitle	Itens Específicos
Gadget/&ParameterLootPackTitle	Pacote de Itens
Gadget/&ParameterItemListTitle	Lista de Itens
Gadget/&ParameterParam_LockedTitle	Com tranca
Gadget/&ParameterUnlock_DCTitle	CD de Destrancar
Gadget/&ParameterParam_TrappedTitle	Com armadilha
Gadget/&ParameterPerception_DCTitle	CD de Percepção
Gadget/&ParameterDisarm_DCTitle	CD de Desarmar
Gadget/&ParameterReveal_DCTitle	CD de Revelar
Gadget/&ParameterTrapEffectTitle	Efeito de Armadilha
Gadget/&ParameterEntranceIndexTitle	Índice de Entrada
Gadget/&ParameterDestinationLocationTitle	Local de Destino
Gadget/&ParameterCreatureTitle	Criatura
Gadget/&ParameterQuantityTitle	Quantidade
Gadget/&ParameterPerceptionDCTitle	CD de Percepção
Gadget/&ParameterSpeechTitle	Fala
Gadget/&ParameterEncounterGroupTitle	Encontro Agrupado
Gadget/&ParameterGroupIndexTitle	Índice do Grupo
Gadget/&ParameterExplicitItemsDescription	Determina se o conteúdo será um pacote de itens predefinido ou uma lista de itens específicos.
Gadget/&ParameterLootPackDescription	Lista predefinida de itens, dos quais alguns são sorteados.
Gadget/&ParameterItemListDescription	Especifica uma lista de itens que podem aparecer no recipiente.
Gadget/&ParameterParam_LockedDescription	Determina se o dispositivo fica trancado.
Gadget/&ParameterUnlock_DCDescription	Indica a classe de dificuldade para destrancar este dispositivo.
Gadget/&ParameterParam_TrappedDescription	Determina se o dispositivo tem armadilha.
Gadget/&ParameterPerception_DCDescription	Indica a classe de dificuldade para notar a armadilha deste dispositivo.
Gadget/&ParameterDisarm_DCDescription	Indica a classe de dificuldade para desarmar a armadilha deste dispositivo.
Gadget/&ParameterReveal_DCDescription	Indica a classe de dificuldade para revelar este dispositivo.
Gadget/&ParameterTrapEffectDescription	Indica o tipo de efeito que atinge as criaturas afetadas quando esta armadilha é ativada.
Gadget/&ParameterEntranceIndexDescription	É possível que um local tenha mais de uma entrada. Este índice serve para especificar a entrada à qual um dispositivo de saída leva.
Gadget/&ParameterDestinationLocationDescription	Nome do local que pode ser acessado através desta entrada
Gadget/&ParameterCreatureDescription	Indica o tipo de criatura que surge.
Gadget/&ParameterQuantityDescription	Indica a quantidade de criaturas.
Gadget/&ParameterSpeechDescription	Define o texto que aparece quando ocorre uma interação com este dispositivo.
Gadget/&ParameterEncounterGroupDescription	Marque esta opção para que a criatura apareça como parte de um encontro agrupado, iniciando batalhas ao mesmo tempo.
Gadget/&ParameterGroupIndexDescription	Criaturas com o mesmo índice de grupo (qualquer número à sua escolha) farão parte do mesmo encontro agrupado.
Gadget/&ParameterSavingThrowDCTitle	CD do Teste de Resistência
Gadget/&ParameterSavingThrowDCDescription	Indica a classe de dificuldade do teste de resistência.
Gadget/&ParameterAddDiceTitle	Dados Extras
Gadget/&ParameterAddDiceDescription	Aumenta o número de dados usados neste efeito.
Gadget/&FallingChandelierTitle	Lustre Frouxo
Gadget/&FallingChandelierDescription	Lustre de teto que pode cair e causar dano se for danificado.
Gadget/&GrateTitle	Grade
Gadget/&GrateDescription	Cerca de metal contendo uma porta de metal desabando.
Gadget/&InvisiblePlateTitle	Placa Invisível
Gadget/&InvisiblePlateDescription	Placa visível que ativa outros dispositivos quando alguém pisa nela.
Gadget/&LorePlaqueTitle	Placa Informativa
Gadget/&LorePlaqueDescription	Placa usada para oferecer informações ao jogador.
Gadget/&ManaLampTitle	Lâmpada de Mana
Gadget/&ManaLampDescription	Lâmpada interativa que acende quando é acertada por magias.
Gadget/&PrisonDoorTitle	Porta de Prisão
Gadget/&PrisonDoorDescription	Porta de metal que abre ou fecha o acesso à área de detenção.
Gadget/&ActivatorButtonTitle	Botão de Ativação
Gadget/&ActivatorButtonDescription	Botão que pode ser usado para ativar outros dispositivos.
Gadget/&ActivatorAreaTitle	Interruptor de Área
Gadget/&ActivatorAreaDescription	Entrar na área deste interruptor ativa outros dispositivos.
Gadget/&ActivatorPlateTitle	Placa de Ativação
Gadget/&ActivatorPlateDescription	Placa que ativa outros dispositivos quando alguém pisa nela.
Gadget/&ActivatorTimedTitle	Interruptor Temporizado
Gadget/&ActivatorTimedDescription	Dispositivo invisível que ativa outros dispositivos em intervalos regulares.
Gadget/&WoodenDoorTitle	Porta de Madeira
Gadget/&WoodenDoorDescription	Porta simples.
Gadget/&ManaLampWallTitle	Lâmpada de Mana (parede)
Gadget/&ParameterTargetGadgetsTitle	Dispositivos-Alvo
Gadget/&ParameterTargetGadgetsDescription	Dispositivos que serão ativados ou desativados pela interação com este dispositivo.
Gadget/&ParameterSymetricalTitle	Simétrico
Gadget/&ParameterSymetricalDescription	O interruptor pode ser ativado e desativado para, por exemplo, abrir e fechar uma porta?
Gadget/&ParameterOperationTitle	Operação
Gadget/&ParameterOperationDescription	O tipo de operação realizada nos dispositivos-alvo.
Gadget/&ParameterOperationActivateTitle	Ativar
Gadget/&ParameterOperationActivateDescription	Ativa outros dispositivos (por exemplo: abre uma porta).
Gadget/&ParameterOperationDeactivateTitle	Desativar
Gadget/&ParameterOperationDeactivateDescription	Desativa outros dispositivos (por exemplo: fecha uma porta).
Gadget/&ParameterOperationActivateSymetricalTitle	Ativação Simétrica
Gadget/&ParameterOperationActivateSymetricalDescription	Ativa e desativa (por exemplo: abre e fecha uma porta).
Gadget/&ParameterOperationEnableTitle	Habilitar
Gadget/&ParameterOperationEnableDescription	Um interruptor é habilitado para que possa ativar outros dispositivos.
Gadget/&ParameterOperationDisableTitle	Desabilitar
Gadget/&ParameterOperationDisableDescription	Um interruptor é desabilitado para que não possa mais ativar outros dispositivos (por exemplo: desabilitação de um interruptor temporizado).
Gadget/&ParameterOperationEnableSymetricalTitle	Habilitação Simétrica
Gadget/&ParameterOperationEnableSymetricalDescription	Habilita e desabilita (por exemplo: um botão pode habilitar e desabilitar um interruptor temporizado).
Gadget/&LavaBulbTitle	Bulbo de Lava
Gadget/&MechanismTitle	Mecanismo
Gadget/&TorchPikeTitle	Pique de Tocha
Gadget/&ParameterParam_HardLockedTitle	Trancado por Interruptor
