Modal/&AssertionFailedTtitle	Asserção Fracassada
Modal/&CampaignSelectionButtonTitle	Selecionar
Modal/&CampaignSelectionTitle	Campanha
Modal/&CampCaptionMultipleHoursFormat	O grupo está montando acampamento há {0} horas.
Modal/&CampCaptionSingleHourFormat	O grupo está montando acampamento há uma hora.
Modal/&CancelButtonTitle	Cancelar
Modal/&CancelPrepareDescription	Cancele todas as alterações feitas neste painel.
Modal/&CancelPrepareTitle	Cancelar
Modal/&CharacterReviveMessageCancel	Cancelar
Modal/&CharacterReviveMessageContent	Esta opção tem um longo tempo de ativação e pode invalidar outras opções temporais. Quer continuar?
Modal/&CharacterReviveMessageTitle	Aviso
Modal/&CharacterReviveMessageValidate	Aceitar
Modal/&CharacterReviveModalHeaderPluralTitle	Reviver Todos os Personagens Mortos
Modal/&CharacterReviveModalHeaderSingularTitle	Reviver Personagem Morto
Modal/&CharacterReviveModalSubTitle	Não é possível continuar a aventura com ou um ou mais personagens mortos. Escolha uma opção.
Modal/&CharacterReviveModalTooLateFormat	É tarde demais para usar esta opção em {0}.
Modal/&DefeatDescription	O grupo não tinha recursos para reviver os mortos. Fim de jogo! Dê pergaminhos de revivificação aos personagens que podem usá-los.
Modal/&DefeatTitle	Fim de Jogo
Modal/&DeleteButtonTitle	Excluir
Modal/&EquipementSelectionDescription	Escolha opções preferidas de equipamentos.
Modal/&EquipementSelectionTitle	Escolha de Equipamento
Modal/&ErrorModalContinuePlayingTitle	Continuar Jogando
Modal/&ErrorModalCopyToClipboardTitle	Copiar p/ Área de Transferência
Modal/&ErrorModalIgnoreErrorTitle	Ignorar Erro
Modal/&ErrorModalQuitTitle	Sair do Jogo
Modal/&ErrorModalTitle	Houve um erro grave.
Modal/&ExceptionModalTitle	Houve uma exceção crítica.
Modal/&FactionRedeemCostDescription	Geralmente, resgatar um item é mais lucrativo que vendê-lo a um mercador.
Modal/&FactionRedeemInstructionsDescription	Ao resgatar itens da facção "{0}", você ganha dinheiro e melhora as relações com ela.
Modal/&FactionRedeemRelationDescription	Suas relações com esta facção melhoram
Modal/&FactionRedeemRelationGainFormat	Relação: {0}
Modal/&FactionRedeemSelectTitle	Escolher um item para resgatar
Modal/&HigherLevelFeaturesTitle	Recursos de Nível Superior
Modal/&InterruptCraftingCompleteTitle	Interrompa quando criar um item.
Modal/&InterruptLevelUpAvailableTitle	Interrompa quando um personagem puder subir de nível.
