MonsterAttacks/&Attack_Bite_Title	Mordida
MonsterAttacks/&Attack_Claws_Title	Garras
MonsterAttacks/&Attack_DreadfulGlare_Title	Olhar Pavoroso
MonsterAttacks/&Attack_GhoulishClaw_Title	Garra Carniçal
MonsterAttacks/&Attack_PoisonousBite_Title	Picada Venenosa
MonsterAttacks/&Attack_RottingFist_Title	Punho Pútrido
MonsterAttacks/&Attack_Shrieker_Description	Esta lâmina amaldiçoada foi forjada por ferreiros antigos de Sorr-Akkath nas fornalhas de Tirmar e abençoada por Sorr-Tarr.
MonsterAttacks/&Attack_Shrieker_Title	Lâmina Nekkesh
MonsterAttacks/&Attack_Spine_Title	Espinha Venenosa
MonsterAttacks/&Attack_Spit_Title	Espeto
MonsterAttacks/&Attack_Talons_Title	Gadanhos
MonsterAttacks/&Attack_Web_Title	Teia Venenosa
MonsterAttacks/&Attack_Slam_Title	Pancada
MonsterAttacks/&Attack_Ghost_Blade_Title	Lâmina Definhadora
MonsterAttacks/&Attack_Ghost_Touch_Title	Toque Definhador
MonsterAttacks/&Attack_Beak_Title	Bico
MonsterAttacks/&Attack_SkeletalMarksman_Bow	Flecha Necrótica
MonsterAttacks/&Attack_SkeletalMarksman_Sword	Espada Curta Enferrujada
MonsterAttacks/&Attack_Fire_Touch	Mãos Flamejantes
MonsterAttacks/&Attack_Grimblade	Lâmina de Gelo
MonsterAttacks/&Attack_Grimblade_IceDagger	Adaga de Gelo
MonsterAttacks/&Attack_AcidSpit	Cusparada Ácida
MonsterAttacks/&Attack_AcidBite	Mordida Ácida
MonsterAttacks/&Attack_Freeze_Title	Congelar
MonsterAttacks/&Attack_Fire_Title	Toque
MonsterAttacks/&Attack_ShockingAntenna_Title	Antena Eletrizada
MonsterAttacks/&Attack_ShockingAntenna_Description	Zelotes são capazes de transmitir uma descarga elétrica poderosa usando as antenas.
MonsterAttacks/&Attack_PheromoneSpray_Title	Jato de Feromônios
MonsterAttacks/&Attack_PheromoneSpray_Description	Peregrinos são capazes de borrifar um alvo com um feromônio que queima a pele e deixa os aliados em frenesi.
MonsterAttacks/&Attack_Tail_Title	Cauda
MonsterAttacks/&AttackNecroticBite_Title	Mordida Necrótica
MonsterAttacks/&Attack_Orenetis_Touch_Title	Contato Chocante
MonsterAttacks/&Attack_Charge_Title	Investida
MonsterAttacks/&Attack_Gore_Title	Dilacerar
MonsterAttacks/&Attack_Necrotic_Axe_Title	Machado Grande Necrótico
MonsterAttacks/&Attack_WightLordSword_Title	Lâmina Necrótica
MonsterAttacks/&Attack_Beetle_Spray_Title	Leque Ácido
MonsterAttacks/&Attack_Beetle_Spray_Description	Besouros gigantes são capazes de cuspir nuvens de ácido.
MonsterAttacks/&Attack_TossRock_Title	Rocha
MonsterAttacks/&Attack_Punch_Title	Soco
MonsterAttacks/&Attack_Slam_Description	Usar Pancada
