NPC/&Kaseinax_Magister_Title	O Magistrado
NPC/&MasterOfMagic_Title	Mestre da Magia
NPC/&Merchant	Mercador
NPC/&NPC_Adam_the_twelfth_Title	Adam XII
NPC/&NPC_AkshaTitle	Aksha
NPC/&NPC_AlenaSwiftTitle	Alena Célere
NPC/&NPC_Angbi_Title	Angbi Kramsson
NPC/&NPC_AnnieBagmordahTitle	Annie Bagmordah
NPC/&NPC_ArwinMertonTitle	Arwin Merton
NPC/&NPC_ArwinMertonUnknownTitle	Bêbado Desconhecido
NPC/&NPC_AtimaBladeburnTitle	Atima Laminardente
NPC/&NPC_BanditCrossbowDescription	Este bandido faz disparos a distância com uma balestra.
NPC/&NPC_BanditCrossbowTitle	Escaramuçador Bandido
NPC/&NPC_BanditDescription	Este combatente malévolo usa uma cimitarra.
NPC/&NPC_BanditDwarfDescription	Este robusto e diminuto bandido brande uma cimitarra.
NPC/&NPC_BanditDwarfTitle	Bandido Anão
NPC/&NPC_BanditHalflingDescription	Este lépido e diminuto bandido porta uma balestra.
NPC/&NPC_BanditHalflingTitle	Bandido Anão
NPC/&NPC_BanditLoanSharkDescription	Agiota
NPC/&NPC_BanditLoanSharkTitle	Agiota
NPC/&NPC_BanditQuartermasterTitle	Intendente dos Bandidos
NPC/&NPC_BanditSwordsmanDescription	Este altivo e poderoso bandido brande uma espada larga.
NPC/&NPC_BanditSwordsmanTitle	Bandoleiro
NPC/&NPC_BanditTitle	Bandido
NPC/&NPC_BericSunblazeTitle	Marechal Beric Chamastral
NPC/&NPC_BerylStonebeardTitle	Beryl Petribarba
NPC/&NPC_BradfordRavensworthTitle	Bradford Corvorgulho
NPC/&NPC_CeiwadSilverflowerTitle	Princesa Ceiwad Florargêntea
NPC/&NPC_CitizenTitle	Cidadão
NPC/&NPC_CityGuardTitle	Guarda da Cidade
NPC/&NPC_CoparannGuardTitle	Guarda de Coparann
NPC/&NPC_DalonLarkTitle	Capelão Dalon Lark
NPC/&NPC_DarikSunbirdTitle	Daliat Aurorave
NPC/&NPC_DekTitle	Dek
NPC/&NPC_EdvanDanantarTitle	Grão-mestre Edvan Danantar
NPC/&NPC_Galar_Title	Galar Aurilíngua
NPC/&NPC_GorimIronsootTitle	Gorim Ferrotisne
NPC/&NPC_Gromnir_Title	Barão Gromnir Petripunho
NPC/&NPC_HalmanGormsdottirTitle	Chanceler Hertha Gormsdottir
NPC/&NPC_HalmanSummerTitle	Halman Verano
NPC/&NPC_HeatherMerranTitle	Capitã Heather Merran
NPC/&NPC_HectorTitle	Hector
NPC/&NPC_HeddlonSurespellTitle	Heddlon Feiticerto
NPC/&NPC_Hieronymus	Herói Desconhecido
NPC/&NPC_HugoRequerTitle	Hugo Requer
NPC/&NPC_IdrielFairbrowTitle	Idriel Frontebela
NPC/&NPC_IlastarKeenmindAirgetineDescription	Ilastar é membro da nobre casa dos Airgetine, cujos antepassados eram magos do Arcaneum. Tal como muitas famílias imperiais da época, a linhagem de Ilastar é oriunda de uma ramificação menor do clã e começou a ganhar prestígio após o Cataclismo, pois apoiou o primeiro imperador ("O Imperador das Lamentações"), cujas resolutas decisões culminaram na sobrevivência da Civilização e na ascensão do Novo Império. Mais que qualquer outro contemporâneo, Ilastar tem noção das perdas ocorridas e defendeu de forma assertiva a participação no Conselho, na esperança de angariar materiais mágicos e escrituras voltadas ao conhecimento arcano, para garantir ao império um lastro em futuros conflitos. Contudo, Ilastar tem receio de que documentos históricos venham à tona, revelando verdades perigosas. 
NPC/&NPC_IlastarKeenmindAirgetineTitle	Mestre Ilastar Mentevivaz Airgetine
NPC/&NPC_IolairFaisechTitle	Decano Iolair Faisech
NPC/&NPC_JorielFoxeyeTitle	Joriel Vulpinolho
NPC/&NPC_KarelMartelTitle	Karel Martel
NPC/&NPC_Kiaradth_Bright_SparkTitle	Prefeita Kiaradth Lumesplendor
NPC/&NPC_Kythaela_Title	Kythaela
NPC/&NPC_LeiraKeanDescription	Leira Kean nasceu e cresceu em Coração da Valentia, a cidade construída perto de Einareum. Ainda muito jovem, ela encontrou Einar, e muitos pensaram que ela seria uma boa sacerdotisa. Contudo, Leira escolheu o caminho dos paladinos, jurando dar a vida para proteger Solasta contra as ameaças de Sorr-Akkath. Leira é uma paladina de postura diligente e feição resoluta. Ela é versada em história e fluente em tirmariano arcaico. Ademais, é hábil ao lutar e sagaz ao julgar o caráter alheio. Leira é justa e toma decisões com base em fatos, em vez de rumores ou fofocas. Tais atributos levaram à nomeação de Leira ao Conselho como guardiã do juramento. 
NPC/&NPC_LeiraKeanTitle	Protetora Leira Kean
NPC/&NPC_LenaTitle	Lena
NPC/&NPC_LiamTitle	Liam
NPC/&NPC_LisbathTownsendTitle	Lisbath Findoburgo
NPC/&NPC_Lizzaria_Title	Lizzaria de Funesterra
NPC/&NPC_LordCarranTitle	Lorde Carran
NPC/&NPC_MaddyGreenisleTitle	Maddy Verdilha
NPC/&NPC_Mardracht_Title	Mestre Mardracht
NPC/&NPC_MedwalStrongfireTitle	Medwal Fogoforte
NPC/&NPC_MordenKyreTitle	Morden Kyre
NPC/&NPC_NecromancerAcolyteTitle	Acólito Necromante
NPC/&NPC_NecromancerTitle	Necromante
NPC/&NPC_Nikannen_Title	Joris Nikannen
NPC/&NPC_Priest_Of_ArunTitle	Sacerdote de Arun
NPC/&NPC_Priest_Of_EinarTitle	Sacerdote de Einar
NPC/&NPC_Priest_Of_MaraikeTitle	Sacerdote de Maraike
NPC/&NPC_Priest_Of_PakriTitle	Sacerdotisa de Pakri
NPC/&NPC_RazanTitle	Razan
NPC/&NPC_RobarSharpTitle	Robar Acre
NPC/&NPC_Talbut_Title	Talbut, o Cinzento
NPC/&NPC_TEMP_Quest_GiverTitle	TEMP_Quest_Giver
NPC/&NPC_VerissaIronshellTitle	Capitã Verissa Hirtacouraça
NPC/&NPC_Wilf_Title	Wilf Larcálido
NPC/&NPC_NecromancerBoneKeepTitle	Aprendiz das Trevas
NPC/&NPC_NecromancerBoneKeepDescription	Um necromante perigoso, ainda que não totalmente instruído, provavelmente estudante de um mestre mais experiente que habita por perto.
NPC/&Milan_ScavengersTitle	Milan
NPC/&NPC_Ceannard_Title	Keannard
NPC/&NPC_Kebra_Title	Kebra
NPC/&NPC_Brok_Title	Brok
NPC/&NPC_Arbal_Title	Arbal
NPC/&NPC_Mildred_Title	Mildred Larcálido
NPC/&NPC_Maid_Title	Criada
NPC/&NPC_CoparannGuardSorakAgentTitle	Guarda Corrompido
NPC/&NPC_Gromnir_SorakTitle	Sorak Infiltrador
NPC/&NPC_Spectral_Servant_Title	Servo Espectral
NPC/&NPC_Bitterroot_Title	Ágrea
NPC/&NPC_Dackin_Title	Mestre Dackin
NPC/&NPC_Adria_Title	Adria
NPC/&NPC_Lyria_Title	Lyria
NPC/&NPC_Drew_Title	Drew
NPC/&NPC_Notary_Title	Tabelião
NPC/&NPC_MajorGateOfficer_Title	Oficial do Portal Maior
NPC/&NPC_MajorGateOfficer_Description	Interaja para usar o Portal Maior.
NPC/&NPC_SpeakRavensworth_Description	Fale para entrar na residência.
NPC/&NPC_Edrof_Title	Edrof
NPC/&NPC_Radulf_Title	Radulf
NPC/&NPC_Urka_Title	Urka
NPC/&NPC_Galaefin	Mestre Galeafin
NPC/&NPC_GalaefinsButler	Mordomo
NPC/&NPC_Illoreth	Illoreth
NPC/&NPC_Stig_Title	Stig
NPC/&NPC_CaporalDan_Title	Cabo Dann
NPC/&NPC_PrivateGarth_Title	Soldado Garth
NPC/&NPC_ShieldguardTradtsson_Title	Guarda-Escudeiro Tradtsson
NPC/&NPC_PrivateRodric_Title	Rodric
NPC/&NPC_Bertram	Bertram
NPC/&NPC_CaerLemGarrison	Soldado do Conselho
NPC/&NPC_Priest_Of_MisayeTitle	Nel
NPC/&NPC_Coparann_Archivist_Title	Arquivista
NPC/&NPC_Arrok_Title	Arrok
NPC/&NPC_Joran_Title	Joran Crawley
NPC/&NPC_GenericSorakInfiltrator_Title	Sorak Infiltrador
NPC/&NPC_Belmont_Title	Lorde Belmont
NPC/&NPC_CityGuard_Embassy_Empire_Title	Guarda da Embaixada do Novo Império
NPC/&NPC_CityGuard_Embassy_Gallivan_Title	Guarda da Embaixada de Gallivan
NPC/&NPC_Priest_Of_MisayeDescription	Sacerdote de Misaye
NPC/&NPC_Scavenger_TOM_Title	Ramin Bleik
NPC/&NPC_Council_Trooper_Title	Soldado do Conselho dos Legados
NPC/&GunnarElderen_Title	Gunnar Ancion
NPC/&NPC_Galaefin_Plaque_Title	Mestre Galeafin, filósofo e companheiro do reino.
NPC/&AllanMiller_Title	Allan Moinhos
NPC/&NPC_Backer_Ron_Title	Ron
NPC/&NPC_Backer_Zhoron_Title	Zhoron
NPC/&NPC_Estalla_Title	Estalla Mertvykh
NPC/&NPC_Rogrok_Title	Rogrok
NPC/&NPC_Rogrok_Description	Chefe de tribo que decidiu parar de lutar com machado para se tornar um mercador.
NPC/&NPC_Circe_Title	Circe Gerardoirin
NPC/&NPC_Circe_Description	Esta mulher suspicaz se mudou para cá para explorar e encontrar todos os livros que puder.
NPC/&NPC_Mogo_Title	Mogo, o Pobre
NPC/&NPC_Laethar_Title	Imperador Laethar
NPC/&NPC_Magister_Title	Kaseinax
NPC/&NPC_Adrasteia_Title	Adrasteia
NPC/&NPC_DLC_Mask_Fighter_Title	Combatente da Máscara
NPC/&NPC_DLC_Mask_Fighter_Description	Faz parte dos combatentes que servem à misteriosa organização conhecida como "A Máscara".
NPC/&NPC_DLC_Mask_Cleric_Title	Clérigo da Máscara
NPC/&NPC_DLC_Mask_Cleric_Description	Clérigo que serve à misteriosa organização conhecida como "A Máscara".
NPC/&NPC_DLC_Mask_Spy_Title	Espião da Máscara
NPC/&NPC_DLC_Mask_Spy_Description	Faz parte dos espiões que servem à misteriosa organização conhecida como "A Máscara".
NPC/&NPC_DLC_Rebellion_Marksman_Title	Atirador Rebelde
NPC/&NPC_DLC_Rebellion_Marksman_Description	Faz parte dos arqueiros do exército rebelde.
NPC/&NPC_DLC_Tower_Watchman_Title	Vigilante
NPC/&NPC_DLC_Tower_Watchman_Description	Soldado a postos para deter intrusos.
NPC/&NPC_DLC_Praetorian_Title	Pretor
NPC/&NPC_DLC_Praetorian_Description	Soldado de elite a serviço da guarda pessoal de Orenetis.
NPC/&NPC_DLC_ShoutingStone	Pedra do Grito
NPC/&NPC_DLC_ShoutingStone_Description	Nem queira saber.
NPC/&NPC_DLC_TownCrier	Anunciador da Cidade
NPC/&NPC_DLC_TownCrier_Description	Um porta-voz oficial do Domínio que anuncia as últimas notícias.
NPC/&NPC_Hendeolas_Title	Hendeolas Anfarel
NPC/&NPC_Hendeolas_Description	O líder da Rebelião na verdade era... um senhor das múmias!
NPC/&NPC_Orenetis_RealName	Periphanos, a Mente Curiosa
NPC/&Guard_Captain_Title	Capitão da Guarda
NPC/&Guard_Captain_Description	Oficial que integra a guarda do complexo.
NPC/&Guard_Elite_Title	Guarda de Elite
NPC/&Guard_Elite_Description	Guarda de qualidade superior.
NPC/&Guard_Recruit_Title	Guarda
NPC/&Guard_Recruit_Description	Membro da guarda.
NPC/&Guard_Trainer_Title	Treinador da Guarda
NPC/&Guard_Trainer_Description	Presta treinamento à guarda do complexo.
NPC/&Guard_Watcher_Title	Patrulha da Guarda
NPC/&Guard_Watcher_Description	Esta sentinela serve à guarda do complexo.
NPC/&Mana_Crafter_Title	Artífice de Mana
NPC/&Mana_Scholar_Title	Estudioso de Mana
NPC/&Mana_Scientist_Title	Cientista de Mana
NPC/&NPC_Auroc	Auroc
NPC/&NPC_Lorson	Lorson
NPC/&NPC_Sima_Temple	Sima Templo
NPC/&NPC_Ellaria_Anfarel	Ellaria Anfarel
NPC/&NPC_Renno_Highwater	Renno Altágua
NPC/&NPC_Store_Reya	Serviços clericais
NPC/&NPC_Marches_01_Title	Lorde Hammond
NPC/&NPC_Marches_02_Title	Helia Belgume
NPC/&NPC_Marches_03_Title	Leyrin Felipoda
NPC/&NPC_Marches_04_Title	Krim Velassolar
