Powers/&Power_Deady_Leap_Title	Salto Mortífero
Powers/&Power_Deady_Leap_Description	Este monstro pode correr e saltar para atacar inimigos com um poderoso impacto.
Powers/&Orenetis_DraconicRegen_Title	Regeneração Dracônica
Powers/&Orenetis_DraconicRegen_Description	Orenetis tem poderes mutantes por sua origem dracônica, e eles foram alterados pela primeira tempestade de mana. Ele regenera 10 PV no começo do turno dele.
Powers/&ActioneStopTitle	Parar Fúria
Powers/&Mummy_Lord_BlasphemousWords_Title	Palavras Profanas
Powers/&Mummy_Lord_BlasphemousWords_Description	Cada criatura dentro do raio de 2 espaços do senhor das múmias tem de passar em um teste de resistência de CON (CD 16), ou sofrerá atordoamento até o fim do próximo turno.
Powers/&Mummy_Lord_ChannelNegativeEnergy_Title	Canalizar Energia Negativa
Powers/&Mummy_Lord_ChannelNegativeEnergy_Description	Até o fim do próximo turno, criaturas dentro do raio de 12 espaços do senhor das múmias não podem recuperar pontos de vida.
Powers/&Mummy_Lord_BlindingDust_Title	Poeira Cegante
Powers/&Mummy_Lord_BlindingDust_Description	Criaturas dentro do raio de um espaço têm de passar em um teste de resistência de CON (CD 16), ou sofrerão cegueira até o fim do próximo turno.
Powers/&Mummy_Lord_WhirlwindOfSand_Title	Redemoinho de Areia
Powers/&Mummy_Lord_WhirlwindOfSand_Description	O senhor das múmias se move por até 12 espaços na forma de um redemoinho de areia, imune a todos os ataques.
