Room/&Corner_12CTitle	Sala Cantonada
Room/&Crossroad_12CTitle	Encruzilhada
Room/&Hallway_12CTitle	Corredor
Room/&Line_12CTitle	Linha
Room/&Room_Big_24CTitle	Sala Grande
Room/&Room_Small_24CTitle	Sala Pequena
Room/&Line_24CTitle	Corredor
Room/&Turn_12CTitle	Curva
Room/&Room_Big_48CTitle	Câmara Enorme
Room/&Clearing_Large_24CTitle	Clareira Grande
Room/&Clearing_Small_12CTitle	Clareira Pequena
Room/&Curve_12CTitle	Câmara Recurva Pequena
Room/&Curve_24CTitle	Câmara Recurva Grande
Room/&Curve_U_24CTitle	Câmara Recurva Grande
Room/&Pond_Large_24CTitle	Lago Grande
Room/&Pond_Small_12CTitle	Lago Pequeno
Room/&Building_Lodge_24CTitle	Alojamento Grande
Room/&Building_Cabin_12CTitle	Cabana Pequena
Room/&Ruin_Large_24CTitle	Clareira Grande com Ruínas
Room/&Ruin_Small_12CTitle	Clareira Pequena com Ruínas
Room/&Town_Large_24CTitle	Distrito Grande
Room/&Town_Medium_12CTitle	Distrito Pequeno
Room/&Town_Corner_12CTitle	Distrito Pequeno com Muros
Room/&Town_Entrance_24CTitle	Entrada da Cidade
Room/&Town_Exterior_MediumTitle	Exterior de Distrito Pequeno
Room/&Town_OuterWalls_MediumTitle	Distrito Pequeno com Muros
Room/&Big_HighGround_24CTitle	Sala Grande com Piso Elevado
Room/&Room_12CTitle	Sala Pequena
Room/&Room_High_12CTitle	Sala Pequena com Piso Elevado
Room/&River_24CTitle	Rio
Room/&Houses_12CTitle	Casas
Room/&Lake_Title	Lago
