Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&AbilityCheckFormat	{0} d20{1}
Rules/&AbilityCheckVersusDcFormat	{0} d20{1} vs CD {2}
Rules/&AbilityScoreBonusFormat	+ Bônus de Habilidade
Rules/&ActivationTypeActionTitle	Ação
Rules/&ActivationTypeBonusActionTitle	Ação Bônus
Rules/&ActivationTypeHours1Title	1 hora
Rules/&ActivationTypeHours24Title	24 horas
Rules/&ActivationTypeMinute10Title	10 minutos
Rules/&ActivationTypeMinute1Title	1 minuto
Rules/&ActivationTypeNoCostTitle	Ação Grat.
Rules/&ActivationTypeOnAttackHitTitle	Ao acertar
Rules/&ActivationTypeOnAttackHitWithBowTitle	Ao acertar (arco)
Rules/&ActivationTypePermanentUnlessIncapacitatedTitle	Permanente
Rules/&ActivationTypeReactionTitle	Reações
Rules/&ActivationTypeRestDescription	É possível ativar este poder durante um descanso.
Rules/&ActivationTypeRestTitle	Descanso
Rules/&AlignmentDescription	No mundo do jogo, as criaturas têm um alinhamento, que descreve atitudes morais e pessoais. O alinhamento é uma combinação de dois fatores: a moralidade (boa, má ou neutra) e o comportamento perante a ordem e a sociedade (ordeiro, caótico ou neutro).
Rules/&AlignmentTitle	Alinhamento
Rules/&AlterationFormExtinguishFireFormat	Apaga chamas
Rules/&AlterationFormExtinguishLightFormat	Apaga luzes
Rules/&AlterationFormRemoveDarknessFormat	Remove trevas
Rules/&AlterationFormRevealTrapFormat	Revela armadilhas
Rules/&AlterationFormUnlockFormat	Desbloqueia um objeto escolhido
Rules/&ChallengeDifficultyDeadlyTitle	Letal
Rules/&ChallengeDifficultyEasyTitle	Fácil
Rules/&ChallengeDifficultyHardTitle	Difícil
Rules/&ChallengeDifficultyMediumTitle	Médio
Rules/&ConditionAcidifiedDescription	Sofre dano de ácido a cada turno até o efeito terminar.
Rules/&ConditionAcidifiedTitle	Acidificação
Rules/&ConditionAidedDescription	+5 de pontos de vida (máximos/atuais).
Rules/&ConditionAidedTitle	Ajuda
Rules/&ConditionAntitoxin	Vantagem em testes de resistência de Constituição contra veneno.
Rules/&ConditionAsleepDescription	Incapaz de agir até despertar.
Rules/&ConditionAsleepTitle	Sono
Rules/&ConditionAuraOfCourageDescription	Imunidade contra amedrontamento.
Rules/&ConditionAuraOfCourageTitle	Aura de Coragem
Rules/&ConditionAuraOfProtectionDescription	Aplica o modificador de CAR aos testes de resistência da criatura.
Rules/&ConditionAuraOfProtectionTitle	Aura de Proteção
Rules/&ConditionBackFromTheDead1Description	-1 em rolagens de ataque, testes de resistência e testes de habilidade. Para reduzir a penalidade, conclua um descanso longo.
Rules/&ConditionBackFromTheDead2Description	-2 em rolagens de ataque, testes de resistência e testes de habilidade. Para reduzir a penalidade, conclua um descanso longo.
Rules/&ConditionBackFromTheDead3Description	-3 em rolagens de ataque, testes de resistência e testes de habilidade. Para reduzir a penalidade, conclua um descanso longo.
Rules/&ConditionBackFromTheDead4Description	-4 em rolagens de ataque, testes de resistência e testes de habilidade. Para reduzir a penalidade, conclua um descanso longo.
Rules/&ConditionBackFromTheDeadTitle	De Volta à Vida
Rules/&ConditionBanedDescription	-1d4 em ataques, -1d4 em testes de resistência.
Rules/&ConditionBanedTitle	Sofreu Perdição
Rules/&ConditionBarkskinDescription	A criatura terá uma Classe de Armadura de, no mínimo, 16.
Rules/&ConditionBarkskinTitle	Pele de Árvore
Rules/&ConditionBeaconOfHopeDescription	Vantagem em testes de resistência à morte e de Sabedoria; a cura recupera o máximo possível de vida.
Rules/&ConditionBeaconOfHopeTitle	Farol de Esperança
Rules/&ConditionBearsEnduranceDescription	Vantagem em testes de resistência de Constituição.
Rules/&ConditionBlessedDescription	+1d4 em ataques, +1d4 em testes de resistência.
Rules/&ConditionBlessedTitle	Bênção
Rules/&ConditionBlessingSorr-TarrTitle	Bênção de Sorr-Tarr
Rules/&ConditionBlindedDescription	Não enxerga; desvantagem em ataques; ataques contra a criatura têm vantagem.
Rules/&ConditionBlindedTitle	Cegueira
Rules/&ConditionBlurredDescription	Ataques à criatura têm desvantagem.
Rules/&ConditionBlurredTitle	Desfoque
Rules/&ConditionBrandedDescription	Emite luz; incapaz de ficar invisível.
Rules/&ConditionBrandedTitle	Marca
Rules/&ConditionBullsStrengthDescription	Vantagem em testes de resistência de Força.
Rules/&ConditionCatsGraceDescription	Vantagem em testes de resistência de Destreza e redução do dano de queda.
Rules/&ConditionCharmedByHypnoticPatternDescription	Sofre incapacitação; velocidade é 0, até sofrer ferimento ou despertar.
Rules/&ConditionCharmedByHypnoticPatternTitle	Enfeitiçamento de Hipnose
Rules/&ConditionCharmedDescription	Considera o conjurador um aliado.
Rules/&ConditionCharmedTitle	Enfeitiçamento
Rules/&ConditionChilledDescription	Incapaz de ganhar pontos de vida. Se for morto-vivo, têm desvantagem ao atacar o conjurador.
Rules/&ConditionChilledTitle	Frio
Rules/&ConditionCriticalCharacterDescription	Se este personagem morrer, o jogo acaba.
Rules/&ConditionCriticalCharacterTitle	Personagem Crítico
Rules/&ConditionCursedActionDescription	Tem de fazer um teste de resistência de SAB para agir.
Rules/&ConditionCursedActionTitle	Maldição (Ação)
Rules/&ConditionCursedAttackRollDescription	Desvantagem em rolagem de ataque contra o conjurador.
Rules/&ConditionCursedAttackRollTitle	Maldição (Rolagem de Ataque)
Rules/&ConditionCursedCharismaDescription	Desvantagem em testes de habilidade e de resistência de CAR.
Rules/&ConditionCursedCharismaTitle	Maldição (Carisma)
Rules/&ConditionCursedConstitutionDescription	Desvantagem em testes de habilidade e de resistência de CON.
Rules/&ConditionCursedConstitutionTitle	Maldição (Constituição)
Rules/&ConditionCursedDamageDescription	Os ataques e as magias do conjurador causam +1d8 de dano necrótico ao alvo.
Rules/&ConditionCursedDamageTitle	Maldição (Dano)
