Setting/&ApplyDescription	Aplique as alterações escolhidas.
Setting/&ApplyNoChangeDescription	As configurações não mudaram.
Setting/&ApplyTitle	Aplicar
Setting/&AutosaveCountDescription	Quantidade de salvamentos automáticos.
Setting/&AutosaveCountTitle	Contagem de Salvamentos Automáticos
Setting/&CameraModeDescription	Selecione um modo de câmera de exploração.
Setting/&CameraModeElasticDescription	A câmera de exploração pode se afastar do seu grupo, mas volta automaticamente ao modo seguir após alguns segundos.
Setting/&CameraModeElasticTitle	Mola
Setting/&CameraModeFollowDescription	A câmera de exploração foca no seu grupo.
Setting/&CameraModeFollowTitle	Seguir
Setting/&CameraModeFreeDescription	Mova livremente a câmera de exploração em áreas fora da névoa.
Setting/&CameraModeFreeTitle	Modo Livre
Setting/&CameraModeTitle	Modo da Câmera
Setting/&ConfineCursorToWindowDescription	Ao ativar, o cursor não sai da janela do jogo, a menos que você selecione outra tela.
Setting/&ConfineCursorToWindowTitle	Confinar Cursor à Janela
Setting/&ContextualCameraFrequencyLevelDescription	Defina a frequência do close da câmera em ações importantes.
Setting/&ContextualCameraFrequencyLevelTitle	Frequência da Câmera Contextual
Setting/&DamageAcidStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamageAcidStyleTitle	Estilo do Dano de Ácido
Setting/&DamageBludgeoningStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamageBludgeoningStyleTitle	Estilo do Dano de Concussão
Setting/&DamageColdStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamageColdStyleTitle	Estilo do Dano de Frio
Setting/&DamageFireStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamageFireStyleTitle	Estilo do Dano de Fogo
Setting/&DamageForceStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamageForceStyleTitle	Estilo do Dano de Energia
Setting/&DamageLightningStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamageLightningStyleTitle	Estilo do Dano Elétrico
Setting/&DamageNecroticStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamageNecroticStyleTitle	Estilo do Dano Necrótico
Setting/&DamagePiercingStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamagePiercingStyleTitle	Estilo do Dano Perfurante
Setting/&DamagePoisonStyleDescription	Estilo de dado usado para este tipo de dano.
Setting/&DamagePoisonStyleTitle	Estilo do Dano de Veneno
