Tutorial/&Factions_Title	Relações com Facções
Tutorial/&Factions_Description	As <b>cinco</b> facções do Conselho têm representantes em Castro Kyflen. Elas podem vender equipamentos, magias e muitas outras coisas. Quanto melhor for seu relacionamento com uma facção, mais ela terá a oferecer, e os preços serão mais baixos.\nContudo, essas facções competem entre si, o que significa que não é possível agradar a todas. Várias missões paralelas darão oportunidades de melhorar seu relacionamento com diferentes facções.\nConfira a seção Facção do <b>Diário</b>.
Tutorial/&LightAsAWeapon_Title	Acenda a Luz!
Tutorial/&PartyStash_Title	Estoque do Grupo
Tutorial/&PartyStash_Description	Pode usar o baú à vontade. Ninguém pode roubá-lo, e você pode guardar até 50 itens nele. Muitos aventureiros usam este serviço do Catador para armazenar algumas coisas.
Tutorial/&QuickShopping_Title	Compras Rápidas
Tutorial/&QuickShopping_Description	Você encontrará uma interação de compras rápidas perto de um mercador. Com isso, você pula a conversa para ir diretamente para a interface do mercador. Ainda será possível conversar com o mercador NPC, se necessário.
Tutorial/&LightAsAWeapon_Description	Não se esqueça que a luz é essencial para enfrentar certos inimigos em Solasta.\nSoraks, por exemplo, são mais poderosos sob luz fraca e ainda mais na escuridão.\nIsso é importantíssimo para sua sobrevivência. Use magias de luz e tochas. Procure suportes de tochas para iluminar o ambiente!
Tutorial/&DiffSettings_Title	Configurações de Dificuldade
Tutorial/&DiffSettings_Description	Você pode mudar as configurações de dificuldade do jogo quando quiser. Para isso, é só abrir o menu, mudar as configurações, voltar para o jogo, e elas serão aplicadas.\n\nVocê pode escolher uma configuração predefinida ou explorar as opções para ter uma experiência mais personalizada.
Tutorial/&Tutorial_Highlight_Title	Destacar Objetos Interativos
Tutorial/&Tutorial_Highlight_Description	Pressione a tecla ALT e segure para destacar vários objetos interativos, como portas, baús e mais.
Tutorial/&EgoPuzzle_Title	O Quebra-Cabeça Enlouquecedor
Tutorial/&EgoPuzzle_Description	Que fique avisado que este trecho do nível é para quem gosta de quebra-cabeças. Pegue o atalho à direita para jogar a aventura normalmente. Se tiver interesse em um desafio 3D giratório e colorido, pegue o caminho da esquerda após os espólios da Mente do Mestre. Se mudar de ideia, vai ter que recarregar o jogo. Mas está tudo bem, porque a gente acabou de salvar tudo automaticamente para você.
Tutorial/&PartyStash_Description_DLC3	Pode usar o baú à vontade. Ninguém pode roubá-lo, e você pode guardar até 50 itens nele.
Tutorial/&Tutorial_HighlightXbox_Description	Pressione e segure <sprite index={8}> e <sprite index={9}> juntos para destacar vários objetos interativos, como portas, baús etc.
