Tutorials/&Tuto_DLCFaction_Orenetis_Title	Facção: O Domínio
Tutorials/&Tuto_DLCFaction_Orenetis_Description	O Senhor Protetor Orenetis governa o vale com mão de ferro. Se você prestar um bom serviço, ele lhe dará tudo que deseja e encherá você de riquezas. Porém, você terá que pagar um preço em outra moeda: ele não tolera desobediências e poderá ordenar que você cumpra atos que vão contra seus princípios.
Tutorials/&Tuto_DLCFaction_Forge_Title	Facção: A Forja
Tutorials/&Tuto_DLCFaction_Forge_Description	Assim como os Catadores na Coroa do Magistrado, a Forja coleta espólios para que você não precise se preocupar em carregá-los. Eles também guardam riquezas e tesouros mágicos de todo o vale, além de segredos exclusivos: até mesmo receitas raras para criar itens fabulosos.
Tutorials/&Tuto_DLCFaction_Rebellion_Title	Facção: A Rebelião
Tutorials/&Tuto_DLCFaction_Rebellion_Description	A Rebelião é um grupo organizado que planeja destronar Orenetis e o Domínio. Eles pedirão para você confrontar diretamente as autoridades e arriscar sua vida pela causa deles. Felizmente, eles prometem recompensar você com informações sobre Marin Ving e ajudar a encontrar uma saída do vale. Além disso, eles também podem lhe ofertar tesouros mágicos antigos.
Tutorials/&Tuto_DLCFaction_People_Title	Facção: O Povo
Tutorials/&Tuto_DLCFaction_People_Description	O povo do vale quer simplesmente viver a vida sem sofrer com a tirania de Orenetis. Eles pedirão que você acabe com o sofrimento deles, mas não têm muitas riquezas para oferecer. Por outro lado, são os cidadãos locais e são mais numerosos do que todos os exércitos do Domínio.
Tutorials/&Tuto_DLCFaction_Mask_Title	Facção: A Máscara
Tutorials/&Tuto_DLCFaction_Mask_Description	A Máscara é uma organização ultrassecreta. Ninguém sabe exatamente quais os objetivos dela, mas parecem ter uma liderança ambiciosa que quer conquistar o poder. Eles pedirão que você espalhe a discórdia e o caos no vale, e oferecem em troca... algo misterioso para você.
Tutorials/&Tuto_DLC_Companions	Companheiros
Tutorials/&Tuto_DLC_Companions_Description	No Vale Perdido, todos os NPCs podem morrer. Alguns podem entrar para o seu grupo por um tempo, e se você deixá-los morrer, poderá continuar jogando normalmente.\n \n Você só pode contratar um membro da companhia de Helia Belgume, mesmo que tenha desbloqueado mais.
Tutorials/&Tutorial_DLC_PushTree_Title	Empurrar Objetos
Tutorials/&Tutorial_DLC_PushTree_Description	Nas suas aventuras, muitas vezes você precisará mover objetos e abrir caminho para seus heróis. Um dos exemplos de objetos movíveis mais comuns são as árvores na floresta, mas também as rochas, colunas e outros.\n \n Alguns caminhos continuarão intransponíveis se você não tiver a perícia Preparo Físico ou magias como Salto, Voo e Teleporte.
Tutorials/&Tutorial_DLC_ShootTree_Title	Acionamento Remoto
Tutorials/&Tutorial_DLC_ShootTree_Description	A maioria dos objetos interativos pode ser acionada com uma arma de combate à distância (um arco, balestra ou até mesmo um dardo). Também é possível acioná-los com truques de ataque.\n Mas lembre-se que você ainda precisará acertar para acionar!
Tutorials/&Tutorial_DLC_HiddenMinorGate_Title	Portal Menor Oculto
Tutorials/&Tutorial_DLC_HiddenMinorGate_Description	O Portal Menor está oculto entre as folhagens. Destrua as folhagens para acessar o portal e utilizá-lo.
Tutorials/&Tuto_Attack_Neutral_Title	Como Atacar Personagens Neutros
Tutorials/&Tuto_Attack_Neutral_Description	Para atacar um personagem neutro, ponha o grupo no modo cautela, aproxime-se do alvo e selecione uma opção de ataque ou uma magia. Mire no personagem-alvo, depois confirme. Se o alvo for aliado, a relação será prejudicada, despertando um ódio que pode culminar em retaliação.
