Class/&CharacterClassSubTitle	Класс персонажа
Class/&CharacterRaceSubTitle	Наследие персонажа
Class/&ClericDescription	Жрецы — слуги избранного ими божества. За свою веру и службу они получают чудесные возможности — при условии, что придерживаются пути своего бога и выполняют ритуалы своей религии.
Class/&ClericTitle	Жрец
Class/&FighterDescription	Воины обучены искусству битвы. Они владеют многими видами оружия, но часто предпочитают какое-то одно. Все воины могут носить доспехи и щиты, а также пользоваться стрелковым оружием.
Class/&FighterTitle	Воин
Class/&PaladinDescription	Паладины — элитные воины, давшие вечные святые клятвы бороться со злом. Кроме оружия и доспехов, они обладают божественными силами и заклинаниями жрецов.
Class/&PaladinTitle	Паладин
Class/&RangerDescription	Следопыты странствуют по дикой природе Соласты. Они обучены выживать, яростны в бою и незаметны на охоте. Следопыты отлично распознают следы и стреляют из лука, а также могут читать некоторые заклинания.
Class/&RangerTitle	Следопыт
Class/&RogueDescription	Плуты — прежде всего мастера на все руки. Они используют свои врождённые таланты, чтобы овладевать различными навыками и находить пути к процветанию. Плуты ловки, находчивы и способны проводить смертоносные скрытные атаки.
Class/&RogueTitle	Плут
Class/&WizardDescription	Волшебники проводят свою жизнь за изучением магии, постигая всё более мощные и чудесные заклинания. Они уязвимы в рукопашном бою, но крайне опасны своими магическими способностями.
Class/&WizardTitle	Волшебник
Class/&SorcererDescription	Заклинатели с рождения способны пропускать тайную магию, обычно через предметы сверхъестественного происхождения. Заклинатели также способны изменять структуру магии с помощью очков колдовства.
Class/&SorcererTitle	Заклинатель
Class/&BarbarianDescription	Варвары — это бесстрашные воины с окраин цивилизации. Их боевая ярость делает их крайне опасными противниками.
Class/&BarbarianTitle	Варвар
Class/&DruidDescription	Друиды являются частью древнего ордена, служащего природе. Их силы и заклинания связаны с животными, растениями и силами стихий.
Class/&DruidTitle	Друид
