EnvironmentEffect/&CollapsingRoofTitle	Рушащаяся крыша
EnvironmentEffect/&CollapsingRoofDescription	На землю падают несколько камней и булыжников
EnvironmentEffect/&DisturbingRunesTitle	Тревожащие руны
EnvironmentEffect/&DisturbingRunesDescription	Эти руны влияют на душу и разум и заставляют вести себя непредсказуемо
EnvironmentEffect/&DeathGlyphTitle	Глиф смерти
EnvironmentEffect/&DeathGlyphDescription	При наступлении на него вызывает некротический урон и ужас
EnvironmentEffect/&FireBurstTitle	Огненный порыв
EnvironmentEffect/&FireBurstDescription	Взрыв наносит огненный урон
EnvironmentEffect/&GroundSpikesTitle	Подземные шипы
EnvironmentEffect/&GroundSpikesDescription	Из-под земли поднимаются шипы, наносящие колющий урон
EnvironmentEffect/&LightningDischargeTitle	Разряд молнии
EnvironmentEffect/&LightningDischargeDescription	Ударяет молния, наносящая электрический урон
EnvironmentEffect/&PoisonCloudTitle	Облако яда
EnvironmentEffect/&PoisonCloudDescription	Ядовитое облако наносит урон ядом и накладывает статус «отравлен»
