LootPack/&CR0_Loot_PackTitle	Трофеи РО0
LootPack/&CR1_Loot_PackTitle	Трофеи РО1
LootPack/&CR2_Loot_PackTitle	Трофеи РО2
LootPack/&CR3_Loot_PackTitle	Трофеи РО3
LootPack/&CR4_Loot_PackTitle	Трофеи РО4
LootPack/&CR5_Loot_PackTitle	Трофеи РО5
LootPack/&1D2Scrolls	Свитки 1К2
LootPack/&1Potion1Poison	Зелье + яд
LootPack/&1WondrousItem	Чудесный предмет
LootPack/&1Recipe1Ingredient	Рецепт + ингредиент
LootPack/&1D3Food1D3MundaneItems	Еда 1К3 + обыкновенные предметы 1К3
LootPack/&1LegendaryItem	Легендарный предмет
LootPack/&1MagicArmorPlus1	Магические доспехи +1
LootPack/&1MagicArmorPlus2	Магические доспехи +2
LootPack/&1MagicWeaponPlus1	Магическое оружие +1
LootPack/&1MagicWeaponPlus2	Магическое оружие +2
LootPack/&RandomAmmo	Случайные боеприпасы
