Modal/&AssertionFailedTtitle	Подтверждение провалено
Modal/&CampaignSelectionButtonTitle	Выбрать
Modal/&CampaignSelectionTitle	Кампания
Modal/&CampCaptionMultipleHoursFormat	Отряд разбивает лагерь для отдыха на {0} ч.
Modal/&CampCaptionSingleHourFormat	Отряд разбивает лагерь для отдыха на один час.
Modal/&CancelButtonTitle	Отмена
Modal/&CancelPrepareDescription	Отмена всех изменений, сделанных в этом окне.
Modal/&CancelPrepareTitle	Отмена
Modal/&CharacterReviveMessageCancel	Отмена
Modal/&CharacterReviveMessageContent	Эта возможность активируется в течение продолжительного времени, что может повлияет на другие временные параметры. Продолжить?
Modal/&CharacterReviveMessageTitle	Внимание
Modal/&CharacterReviveMessageValidate	Принять
Modal/&CharacterReviveModalHeaderPluralTitle	Оживить всех мёртвых персонажей
Modal/&CharacterReviveModalHeaderSingularTitle	Оживить мёртвого персонажа
Modal/&CharacterReviveModalSubTitle	Нельзя продолжать приключение, если один или несколько персонажей мертвы. Выберите вариант.
Modal/&CharacterReviveModalTooLateFormat	Слишком поздно оживлять персонажа {0}.
Modal/&DefeatDescription	У отряда нет возможности оживить мертвых участников. Игра окончена! Попробуйте дать свитки заклинания «Оживление» персонажам, которые умеют ими пользоваться.
Modal/&DefeatTitle	Игра окончена
Modal/&DeleteButtonTitle	Удалить
Modal/&EquipementSelectionDescription	Выберите желаемые параметры снаряжения.
Modal/&EquipementSelectionTitle	Выбор снаряжения
Modal/&ErrorModalContinuePlayingTitle	Продолжить игру
Modal/&ErrorModalCopyToClipboardTitle	Скопировать в буфер обмена
Modal/&ErrorModalIgnoreErrorTitle	Игнорировать эту ошибку
Modal/&ErrorModalQuitTitle	Выйти из игры
Modal/&ErrorModalTitle	Произошла серьёзная ошибка.
Modal/&ExceptionModalTitle	Произошла критическая ошибка.
Modal/&FactionRedeemCostDescription	Сдавать предметы часто бывает выгоднее, чем продавать торговцам
Modal/&FactionRedeemInstructionsDescription	Сдавая предметы фракции «{0}», вы заработаете деньги и улучшите свои отношения с ней.
Modal/&FactionRedeemRelationDescription	Ваши отношения с этой фракцией улучшаются
Modal/&FactionRedeemRelationGainFormat	{0} — отношение
Modal/&FactionRedeemSelectTitle	Выберите предмет для сдачи
Modal/&HigherLevelFeaturesTitle	Возможности более высокого уровня
Modal/&InterruptCraftingCompleteTitle	Прерывать, когда создан предмет.
Modal/&InterruptLevelUpAvailableTitle	Прерывать, когда персонаж может получить новый уровень.
Modal/&InterruptLongRestCompleteTitle	Прерывать, когда завершён долгий отдых.
Modal/&LoadButtonTitle	Загрузка
Modal/&LoadGameHeader	Загрузка
Modal/&LoadGamePlaceholder	Выберите сохранённую игру.
Modal/&LoadingProceedButtonTitle	Щёлкните или нажмите любую клавишу, чтобы начать.
Modal/&LoadingTitle	Идет загрузка. Пожалуйста, подождите.
Modal/&LoadLastSaveDescription	Продолжить игру с последнего сохранения
Modal/&LoadLastSaveTitle	Начать заново с последнего сохранения
Modal/&MonsterListingCaption	{0} концентрируется, чтобы почувствовать чудовищ поблизости... 
Modal/&MonsterListingFavoredEnemyTitle	Главный враг
Modal/&MonsterListingNotPerceivedTitle	Нет
Modal/&MonsterListingPerceivedTitle	Присутствует
Modal/&NumberSelectionInstructionTitle	Сколько очков?
Modal/&NumberSelectionValidateTitle	Утвердить
Modal/&PartyWaitMinutesPluralFormat	Отряд ждёт {0} мин.
Modal/&PartyWaitMinutesSingleFormat	Отряд ждёт {0} минуту.
Modal/&RequiredRestsMultipleFormat	Долгих отдыхов: {0}
Modal/&RequiredRestsNoneFormat	Нет
Modal/&RequiredRestsSingleFormat	1 долгий отдых
Modal/&RequiredRestsTitle	Нужно отдыхов
Modal/&ResetDefaultsDescription	Щёлкните, чтобы сменить настройки путешествия на стандартные.
Modal/&ResetDefaultsTitle	Сбросить на стандартные
Modal/&SaveButtonTitle	Сохранить
Modal/&SaveGameHeader	Сохранить
Modal/&SaveGamePlaceholder	Введите имя файла или выберите сохранённую игру.
Modal/&SelectCharacterMultipleTitle	Выберите одного или нескольких персонажей.
Modal/&SelectCharacterSingleTitle	Выберите персонажа
Modal/&SelectTitle	Выбрать
Modal/&StartTravelDescription	Начинает путешествие к выбранному месту.
Modal/&StartTravelTitle	Начать путешествие
Modal/&TravelDurationLessThanADayFormat	Меньше дня
Modal/&TravelDurationMultipleFormat	{0} д.
Modal/&TravelDurationSingleFormat	1 день
Modal/&TravelDurationTitle	Длительность
Modal/&TravelFromTitle	Откуда
Modal/&TravelPaceNormalTitle	Нормальный
Modal/&TravelPaceTitle	Темп путешествия
Modal/&TravelSettingsButtonDescriptionTitle	Щёлкните, чтобы сменить настройки путешествия и отдыха.
