MonsterAttacks/&Attack_Bite_Title	Укус
MonsterAttacks/&Attack_Claws_Title	Когти
MonsterAttacks/&Attack_DreadfulGlare_Title	Жуткий взгляд
MonsterAttacks/&Attack_GhoulishClaw_Title	Коготь упыря
MonsterAttacks/&Attack_PoisonousBite_Title	Ядовитый укус
MonsterAttacks/&Attack_RottingFist_Title	Гниющий кулак
MonsterAttacks/&Attack_Shrieker_Description	Проклятый клинок, выкованный древними кузнецами Сорр-Аккат в кузнях Тирмара и благословлённый Сорр-Тарром.
MonsterAttacks/&Attack_Shrieker_Title	Клинок Неккеша
MonsterAttacks/&Attack_Spine_Title	Ядовитый хребет
MonsterAttacks/&Attack_Spit_Title	Плевок
MonsterAttacks/&Attack_Talons_Title	Когти
MonsterAttacks/&Attack_Web_Title	Ядовитая паутина
MonsterAttacks/&Attack_Slam_Title	Толчок
MonsterAttacks/&Attack_Ghost_Blade_Title	Губительный клинок
MonsterAttacks/&Attack_Ghost_Touch_Title	Губительное прикосновение
MonsterAttacks/&Attack_Beak_Title	Удар клювом
MonsterAttacks/&Attack_SkeletalMarksman_Bow	Некротическая стрела
MonsterAttacks/&Attack_SkeletalMarksman_Sword	Ржавый короткий меч
MonsterAttacks/&Attack_Fire_Touch	Обжигающее прикосновение
MonsterAttacks/&Attack_Grimblade	Ледяной клинок
MonsterAttacks/&Attack_Grimblade_IceDagger	Ледяной кинжал
MonsterAttacks/&Attack_AcidSpit	Кислотный плевок
MonsterAttacks/&Attack_AcidBite	Кислотный укус
MonsterAttacks/&Attack_Freeze_Title	Заморозка
MonsterAttacks/&Attack_Fire_Title	Прикосновение
MonsterAttacks/&Attack_ShockingAntenna_Title	Электрические усики
MonsterAttacks/&Attack_ShockingAntenna_Description	Адепты могут выпускать мощный электрический разряд с помощью усиков.
MonsterAttacks/&Attack_PheromoneSpray_Title	Распыление феромонов
MonsterAttacks/&Attack_PheromoneSpray_Description	Пилигримы могут распылять в сторону цели феромоны, которые обжигают кожу и заставляют его союзников обезуметь.
MonsterAttacks/&Attack_Tail_Title	Хвост
MonsterAttacks/&AttackNecroticBite_Title	Некротический укус
MonsterAttacks/&Attack_Orenetis_Touch_Title	Шокирующее прикосновение
MonsterAttacks/&Attack_Charge_Title	Рывок
MonsterAttacks/&Attack_Gore_Title	Месиво
MonsterAttacks/&Attack_Necrotic_Axe_Title	Некротический двуручный топор
MonsterAttacks/&Attack_WightLordSword_Title	Некротический клинок
MonsterAttacks/&Attack_Beetle_Spray_Title	Кислотный залп
MonsterAttacks/&Attack_Beetle_Spray_Description	Огромные жуки могут выплёвывать маленькое ядовитое облако.
MonsterAttacks/&Attack_TossRock_Title	Камень
MonsterAttacks/&Attack_Punch_Title	Удар кулаком
MonsterAttacks/&Attack_Slam_Description	Использовать толчок
