Tutorial/&Factions_Title	Отношения фракций
Tutorial/&Factions_Description	<b>Пять</b> фракций Совета имеют представителей в Каэр Кифлене. У них можно купить экипировку, заклинания и многое другое. Чем лучше ваши отношения с фракцией, тем больше предметов будет доступно для покупки. Также вы будете получать скидки.\nОднако фракции соперничают друг с другом, поэтому всем угодить не удастся. Выполняя второстепенные задания, вы сможете улучшить отношения с определённой фракцией.\nСледите за разделом фракций в <b>дневнике</b>.
Tutorial/&LightAsAWeapon_Title	Да будет свет!
Tutorial/&PartyStash_Title	Тайник отряда
Tutorial/&PartyStash_Description	Этот сундук принадлежит вам. Никто не сможет его вскрыть, внутри помещается до 50 предметов. Многие искатели приключений пользуются услугами Утильщиков для хранения вещей.
Tutorial/&QuickShopping_Title	Быстрая покупка
Tutorial/&QuickShopping_Description	Рядом с торговцем находится пункт «Быстрая покупка». Таким образом вы пропустите диалог и сразу увидите меню с товарами. При необходимости вы по-прежнему можете поговорить с торговцем.
Tutorial/&LightAsAWeapon_Description	Не забывайте, что свет играет решающее значение при битвах с определёнными врагами в Solasta.\nНапример, сораки становятся сильнее при тусклом свете и ещё сильнее в темноте.\nЭто крайне важно для выживания. Используйте освещающие заклинания и факелы, ищите держатели факелов!
Tutorial/&DiffSettings_Title	Настройки сложности
Tutorial/&DiffSettings_Description	Уровень сложности игры можно менять на ходу. Откройте меню, измените настройки и вернитесь к игре — изменения подействуют сразу же.\n\nМожно выбрать заданный уровень сложности либо настроить разные параметры игры отдельно.
Tutorial/&Tutorial_Highlight_Title	Подсветка активных элементов
Tutorial/&Tutorial_Highlight_Description	Нажмите и удерживайте Alt, чтобы подсвечивать разные активные объекты: двери, сундуки и т.п.
Tutorial/&EgoPuzzle_Title	Безумная головоломка
Tutorial/&EgoPuzzle_Description	Это раздел уровня — для любителей головоломок. Внимание! Если пойти направо, вас ждёт обычное приключение. Если же вы готовы к вращающемуся и цветастому трёхмерному испытанию, идите налево после трофеев Сознания мастера. Если передумаете, придётся загрузить игру заново. Кстати, мы только что сделали автосохранение.
Tutorial/&PartyStash_Description_DLC3	Этот сундук принадлежит вам, никто не сможет его вскрыть. Внутри помещается до 50 предметов.
Tutorial/&Tutorial_HighlightXbox_Description	Одновременно зажмите <sprite index={8}> и <sprite index={9}>, чтобы подсветить разные активные объекты: двери, сундуки и т.п.
