Validator/&ParameterMonsterTitle	Монстр
Validator/&ParameterMonsterDescription	Выберите монстра для этого инструмента проверки
Validator/&ParameterItemTitle	Предмет
Validator/&ParameterItemDescription	Выберите предмет для этого инструмента проверки
Validator/&ParameterMonsterQuantityTitle	Сколько?
Validator/&ParameterMonsterQuantityDescription	Определяет количество заданного элемента
Validator/&ParameterItemQuantityTitle	Сколько?
Validator/&ParameterItemQuantityDescription	Определяет количество заданного элемента
Validator/&ParameterLocationTitle	Место
Validator/&ParameterLocationDescription	Название отслеживаемого места
Validator/&ParameterRestTypeTitle	Короткий = 0; Длинный = 1
Validator/&ParameterRestTypeDescription	Тип ожидаемого отдыха
Validator/&ParameterSpellNameTitle	Название заклинания
Validator/&ParameterSpellNameDescription	Точное внутреннее название (на английском с соблюдением ограничений) заклинания для уточнения
Validator/&ParameterCompletionDelayTitle	Задержка (сек.)
Validator/&ParameterCompletionDelayDescription	Задержка перед выполнением (секунды). Допустимы десятичные значения
Validator/&ParameterVariableTitle	Переменная
Validator/&ParameterVariableDescription	Переменная для проверки
Validator/&ParameterVariableTestVariableTitle	Переменная
Validator/&ParameterVariableTestVariableDescription	Переменная для расчёта
Validator/&ParameterVariableTestTypeTitle	Тип проверки
Validator/&ParameterVariableTestTypeDescription	Тип проверки, применяемый к переменной
Validator/&ParameterVariableTestTypeIsEqualToTitle	Равенство
Validator/&ParameterVariableTestTypeIsEqualToDescription	Допустимо, если значение переменной соответствует определённому значению
Validator/&ParameterVariableTestTypeIsDifferentFromTitle	Отличие
Validator/&ParameterVariableTestTypeIsDifferentFromDescription	Допустимо, если значение переменной отличается от определённого значения
Validator/&ParameterVariableTestTypeIsGreaterThanTitle	Превышение
Validator/&ParameterVariableTestTypeIsGreaterThanDescription	Допустимо, если значение переменной превышает определённое значение или соответствует ему
Validator/&ParameterVariableTestTypeIsGreaterStrictlyThanTitle	Исключительно превышение
Validator/&ParameterVariableTestTypeIsGreaterStrictlyThanDescription	Допустимо, если значение переменной превышает определённое значение
Validator/&ParameterVariableTestTypeInferiorToTitle	Меньше
Validator/&ParameterVariableTestTypeInferiorToDescription	Допустимо, если значение переменной меньше определённого значения или соответствует ему
Validator/&ParameterVariableTestTypeIsInferiorStrictlyToTitle	Исключительно меньше
Validator/&ParameterVariableTestTypeIsInferiorStrictlyToDescription	Допустимо, если значение переменной меньше определённого значения
Validator/&ParameterVariableTestValueIntTitle	Значение проверки
Validator/&ParameterVariableTestValueIntDescription	Целочисленное значение для сравнения во время проверки
Validator/&ParameterVariableTestValueBoolTitle	Значение проверки
Validator/&ParameterVariableTestValueBoolDescription	Логическое значение для сравнения во время проверки
Validator/&ParameterVariableTestValueStringTitle	Значение проверки
Validator/&ParameterVariableTestValueStringDescription	Строчное значение для сравнения во время проверки
